dates,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0014,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0018,nzd0181-0019,nzd0181-0020,nzd0181-0021,nzd0181-0022,nzd0181-0023,satname
2018-10-02 22:05:23+00:00,227.29,307.96999999999997,318.51666666666665,316.205,302.2633333333333,293.34999999999997,300.5466666666667,305.72,313.09999999999997,241.95,322.18,325.1066666666666,327.53666666666663,324.37,292.53999999999996,303.3,285.76666666666665,318.92333333333335,336.4066666666667,339.7,343.3,306.735,277.62,295.95500000000004,L8
2018-10-18 22:05:53+00:00,227.29,311.8625,321.89,317.03,303.9575,296.39750000000004,303.0025,305.7966666666667,315.19,241.95,324.36,327.07,328.9475,324.67,293.53,304.64750000000004,286.7775,319.48,336.7075,338.96,343.58000000000004,305.9866666666667,277.51666666666665,297.33,L8
2018-11-03 22:05:33+00:00,,309.38000000000005,312.76,305.58,297.1625,288.40999999999997,296.5025,296.1266666666666,309.0,259.33,319.045,323.2125,325.09000000000003,320.10749999999996,295.395,298.35,282.51,314.725,332.65749999999997,332.29333333333335,339.8675,294.2966666666667,278.155,299.545,L8
2019-01-06 22:05:53+00:00,,323.18333333333334,323.85,305.58,304.515,298.77750000000003,304.82,299.4525,316.22249999999997,276.71,325.3725,328.2825,329.7775,323.61749999999995,298.67,304.8725,288.94,318.4325,335.985,334.0,343.05,298.635,279.6133333333333,296.87333333333333,L8
2019-04-12 22:05:30+00:00,228.09,325.34666666666664,324.9125,304.70666666666665,305.12250000000006,299.65000000000003,305.7425,300.9475,317.2025,276.71,326.16499999999996,328.5775,330.19,324.3575,298.51000000000005,306.61,291.135,320.0425,337.3425,335.5075,344.16499999999996,301.22499999999997,282.2733333333333,295.805,L8
2019-06-15 22:05:27+00:00,228.09,315.0266666666667,321.85,314.84,303.90000000000003,296.2166666666667,303.8066666666667,309.52,313.68666666666667,258.18,323.0133333333333,326.6933333333333,328.3933333333334,324.60999999999996,300.01,306.8733333333333,292.01666666666665,321.63000000000005,338.4066666666667,337.55,344.91,312.8299999999999,284.755,291.53,L8
2019-07-17 22:05:35+00:00,228.09,298.40666666666664,306.30333333333334,314.84,291.3433333333333,273.94,298.40999999999997,309.61,309.125,258.18,319.42499999999995,318.73333333333335,321.3433333333333,320.05,294.8,296.46,283.75666666666666,317.14000000000004,334.30999999999995,334.92,341.3433333333333,314.01,286.98,,L8
2019-09-19 22:05:56+00:00,228.09,305.30999999999995,313.14,316.98,296.2875,282.545,303.44666666666666,309.58500000000004,313.6333333333333,289.845,323.97999999999996,322.46,324.715,322.4225,300.505,301.05499999999995,286.625,319.3925,336.80999999999995,336.7525,343.25,313.345,284.95500000000004,304.03,L8
2019-11-06 22:06:24+00:00,,303.97249999999997,312.0475,316.83000000000004,294.7275,281.3575,300.96666666666664,306.04499999999996,312.0566666666667,300.2366666666667,322.72999999999996,322.065,324.685,321.9675,301.24,299.615,285.255,318.0375,336.15999999999997,335.93,342.645,308.86,281.425,299.505,L8
2019-11-22 22:05:57+00:00,,303.97249999999997,312.0475,316.83000000000004,294.7275,281.3575,300.96666666666664,306.04499999999996,323.01,314.8675,332.98249999999996,329.072,331.40999999999997,327.848,301.24,310.03599999999994,285.255,325.736,340.486,339.79,345.12600000000003,308.86,281.425,299.505,L8
2020-01-09 22:05:49+00:00,,309.7875,321.2975,316.3766666666667,301.3725,289.25,309.45,306.4733333333333,330.7775,330.76,337.985,331.70400000000006,335.506,330.34000000000003,299.1766666666667,314.82,289.9125,328.58000000000004,343.71999999999997,343.256,346.992,305.59999999999997,278.94666666666666,295.6166666666667,L8
2020-01-25 22:05:45+00:00,,320.32,332.08,316.5025,310.855,304.2375,309.955,306.955,328.752,328.92199999999997,336.42199999999997,336.12199999999996,339.688,333.298,299.4625,321.506,294.55,331.80199999999996,346.996,345.87399999999997,349.262,307.305,280.7625,295.6166666666667,L8
2020-02-10 22:05:40+00:00,,319.878,331.466,316.19,311.71400000000006,304.17600000000004,310.462,307.08,327.4633333333333,327.53833333333336,335.30833333333334,335.08,339.19166666666666,332.84166666666664,299.084,320.925,294.758,330.795,346.40166666666664,345.47,348.9316666666667,308.406,282.02,292.885,L8
2020-03-13 22:05:30+00:00,209.27,319.1933333333333,330.78000000000003,315.4066666666667,311.4633333333333,303.79,310.44166666666666,307.0933333333333,326.7885714285714,326.4142857142857,334.7285714285714,334.5728571428571,338.37142857142857,332.3328571428571,298.63666666666666,320.01714285714286,294.325,330.70142857142855,347.2957142857143,345.8085714285714,349.3171428571428,308.185,283.76666666666665,291.802,L8
2020-09-21 22:05:54+00:00,,294.2,300.41,279.15,287.41,274.94,288.33,274.0,298.24,270.87,312.8,319.08,317.78,316.12,,294.77,278.02,312.38,331.1,330.42,337.65,288.54,,,L8
