dates,satname,nzd0181-0000,nzd0181-0001,nzd0181-0002,nzd0181-0003,nzd0181-0004,nzd0181-0005,nzd0181-0006,nzd0181-0007,nzd0181-0008,nzd0181-0009,nzd0181-0010,nzd0181-0011,nzd0181-0012,nzd0181-0013,nzd0181-0015,nzd0181-0016,nzd0181-0017,nzd0181-0021,nzd0181-0022,nzd0181-0023,nzd0181-0014,nzd0181-0018,nzd0181-0019,nzd0181-0020
2005-10-30 21:54:03.531000,L5,417.87,353.58,360.27,349.41,309.14,311.90,309.22,314.54,316.04,327.83,340.63,349.16,352.64,341.74,308.90,319.27,310.43,311.41,245.53,271.12,338.89,331.89,326.71,337.26
2006-02-19 21:56:15.936000,L5,398.26,360.35,359.35,346.38,345.53,342.13,342.38,341.40,347.99,360.35,364.18,361.36,364.43,358.49,335.20,340.33,339.06,338.76,324.67,315.56,351.82,346.35,338.96,348.84
2006-02-19 21:56:39.909000,L5,395.83,357.90,360.07,346.29,345.86,342.17,342.85,342.22,348.30,360.42,365.37,361.52,365.14,359.58,335.35,342.12,339.08,338.33,325.37,317.76,351.92,346.99,339.72,349.20
2006-04-08 21:57:12.628000,L5,366.37,334.83,345.23,335.57,318.60,315.72,318.21,325.51,320.86,335.66,337.96,341.95,342.31,327.93,296.67,304.40,309.94,325.75,258.34,274.51,324.25,339.05,333.54,345.33
2006-04-08 21:57:36.601000,L5,,,,,,,,,,,,,,,,,,282.11,226.36,,,306.06,302.25,324.29
2006-06-27 21:58:24.681000,L5,190.86,302.55,322.48,289.91,,,,,,,,,,,,,288.16,187.49,230.59,,,319.71,315.92,327.98
2006-06-27 21:58:48.654000,L5,185.27,303.09,320.84,287.23,,,,,,,,,,,,,,288.92,229.05,,,318.52,314.89,326.96
2006-07-13 21:59:02.335000,L5,157.14,298.59,312.67,281.32,,,,,,,,,,,,,,283.73,,,,317.88,312.11,332.10
2006-08-23 21:53:23.469000,L5,,,,,,,,,,,,,,,,,,277.58,,,,303.77,302.01,323.67
2006-10-10 21:53:56.892000,L5,,,,,,,,,,,,,,,,,,311.15,251.80,265.46,,,330.67,345.11
