dates,satname,nzd0227-0000,nzd0227-0001,nzd0227-0002,nzd0227-0003,nzd0227-0004,nzd0227-0005,nzd0227-0006,nzd0227-0007,nzd0227-0008,nzd0227-0009,nzd0227-0010,nzd0227-0011,nzd0227-0012,nzd0227-0013,nzd0227-0014,nzd0227-0015,nzd0227-0016,nzd0227-0017,nzd0227-0018,nzd0227-0019,nzd0227-0020,nzd0227-0021,nzd0227-0022,nzd0227-0023,nzd0227-0024,nzd0227-0025,nzd0227-0026,nzd0227-0027,nzd0227-0028,nzd0227-0029,nzd0227-0030,nzd0227-0031,nzd0227-0039,nzd0227-0040,nzd0227-0041,nzd0227-0042,nzd0227-0036,nzd0227-0037,nzd0227-0038,nzd0227-0032,nzd0227-0033,nzd0227-0035,nzd0227-0034
2003-12-30 21:32:24.694000,L5,333.21,318.53,295.39,290.10,295.52,309.26,314.00,302.39,302.27,307.43,306.29,296.23,294.97,288.31,291.53,301.03,299.49,287.71,280.74,278.95,276.07,273.73,287.26,292.57,282.83,290.29,283.55,271.02,247.00,,,,298.90,298.27,291.39,301.05,,,279.15,,,,
2004-01-15 21:32:26.348000,L5,343.88,328.66,312.25,298.78,303.15,320.38,324.97,318.50,321.13,324.52,323.77,306.29,308.14,295.02,299.55,307.46,302.25,287.71,280.54,278.63,284.22,282.05,296.39,360.74,341.51,365.77,302.28,275.96,258.05,,,,302.22,302.44,293.85,295.27,,289.76,298.31,,,,
2004-01-22 21:38:40.402000,L5,350.40,333.23,320.14,326.32,329.54,342.80,340.44,336.99,338.09,337.33,339.87,336.54,324.92,321.27,317.80,322.48,322.23,313.60,309.30,308.79,307.28,309.00,312.64,314.14,299.74,304.42,297.66,287.91,282.22,282.78,308.75,,311.67,307.10,302.48,306.87,290.58,285.22,299.31,,,301.25,
2004-04-04 21:33:01.582000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.12,293.60,282.97,275.09,,,,,,,
2004-06-07 21:34:54.755000,L5,338.72,328.30,313.36,292.93,297.08,301.67,310.26,298.70,,,,,,,,,,,,279.05,281.71,278.96,279.61,289.26,298.48,298.90,293.17,284.72,271.97,258.99,236.40,,,,,,,,,,,,
2004-06-30 21:41:46.478000,L5,337.18,322.59,306.08,288.21,293.38,301.55,308.85,,,301.25,305.62,303.47,283.42,288.65,282.61,287.39,,,,276.03,277.47,270.71,280.60,282.12,294.56,296.06,288.62,283.05,266.57,247.74,,,,,,,,,,,,,
2004-07-25 21:36:14.167000,L5,346.71,331.05,315.44,304.58,294.94,302.40,316.65,300.97,306.04,305.47,313.71,307.35,289.49,294.18,293.65,301.66,283.29,,279.82,284.88,286.28,271.56,288.16,290.84,295.63,301.03,294.78,288.85,273.43,262.06,,,,,,,,,,,,,
2004-08-26 21:36:59.731000,L5,343.20,325.62,303.33,283.18,291.07,,,,,303.17,312.68,300.95,283.62,287.99,290.53,300.61,,,,,,,275.07,277.76,295.16,293.97,291.63,279.92,270.49,260.21,,,303.13,304.00,296.24,281.23,,281.59,286.72,,,,
2004-09-18 21:43:46.845000,L5,333.43,316.70,305.43,292.88,292.22,301.81,307.44,303.95,302.54,307.86,312.68,304.33,291.89,300.10,298.31,303.84,296.26,281.07,275.54,283.49,282.52,265.55,279.11,288.51,289.77,295.76,288.82,279.94,271.92,264.60,,,305.37,298.68,291.54,290.42,,279.55,289.11,,,,
2004-10-20 21:44:28.706000,L5,326.84,312.69,286.15,,,,,,,301.24,304.05,292.37,285.23,291.63,293.27,296.69,285.28,,,,,,269.55,269.57,285.77,283.66,286.40,280.21,260.29,256.25,,,308.87,303.83,301.67,297.85,,274.50,282.64,,,,
2004-12-07 21:45:24.093000,L5,334.59,327.50,294.22,286.45,294.21,295.77,,,,,,,,,276.53,299.30,291.49,284.00,279.46,273.34,272.53,268.27,283.32,266.12,281.41,279.60,281.61,264.25,247.24,260.59,,,295.00,292.02,309.66,313.00,,,,,,,
2005-01-24 21:46:06.161000,L5,346.15,332.26,319.99,312.27,322.71,335.86,330.39,336.50,332.16,336.57,338.45,325.87,326.91,317.13,334.48,337.28,328.28,319.73,319.87,312.15,322.11,313.65,312.68,305.40,316.35,310.65,307.25,291.01,287.48,308.97,,,314.51,310.90,321.64,320.50,281.92,285.29,299.45,,,,
2005-02-18 21:40:18.476000,L5,374.18,351.07,336.18,343.61,365.23,361.84,373.58,374.08,371.07,393.02,368.28,351.79,356.93,338.09,337.80,332.72,346.37,338.39,330.47,320.32,342.39,326.55,332.60,342.05,339.85,323.07,321.18,308.45,306.91,319.22,301.42,290.29,320.25,316.62,314.94,319.96,312.28,306.16,305.28,310.41,322.15,307.76,315.40
2005-04-30 21:47:03.060000,L5,352.47,377.95,330.08,298.44,299.65,325.58,320.81,317.43,315.19,329.22,321.00,297.84,297.96,294.76,296.03,298.86,,,,,,,270.55,276.28,284.14,289.74,285.68,270.17,245.28,,,,300.83,299.67,301.83,283.59,,,279.81,,,,
2005-05-09 21:40:56.205000,L5,386.36,356.12,355.54,342.77,358.03,370.46,374.60,382.17,374.22,374.90,371.01,362.59,356.62,348.04,347.96,361.46,350.93,345.02,344.35,334.70,351.41,333.79,348.39,349.95,343.10,344.32,333.17,326.84,311.28,317.29,309.93,320.13,322.81,317.41,313.40,297.83,292.29,299.21,304.82,320.16,307.37,304.48,
2005-06-10 21:41:12.271000,L5,348.63,329.59,311.31,298.28,306.75,317.56,324.80,309.32,306.37,314.03,320.05,307.54,296.89,294.32,300.38,313.76,306.80,294.25,291.48,283.31,282.30,282.27,293.39,288.15,305.87,305.91,304.17,291.02,274.89,250.78,,,,,,,,,,,,,
2005-06-26 21:41:16.724000,L5,349.99,333.81,321.17,308.10,314.69,338.24,329.92,325.82,319.55,326.67,331.76,339.33,313.87,305.16,312.44,317.30,311.68,301.58,294.41,294.05,299.42,288.80,295.79,295.57,303.53,307.03,304.51,288.47,276.14,263.24,,,,,,,,,,,,,
2005-08-29 21:41:46.875000,L5,347.81,328.82,303.89,289.74,293.48,314.13,313.15,313.08,312.18,311.03,322.30,305.94,291.11,290.50,301.29,304.41,298.93,276.01,,,274.49,273.66,283.69,290.45,296.36,304.00,300.12,276.09,258.81,246.12,,,302.42,299.86,296.07,284.00,,283.73,295.64,,,,
2005-11-08 21:48:04.756000,L5,339.45,330.45,311.31,305.95,313.79,320.69,314.17,320.94,321.54,326.44,326.48,326.92,317.64,321.13,316.60,326.31,325.32,307.78,325.19,284.36,280.69,288.33,295.54,297.36,295.89,306.49,310.58,298.24,307.83,288.79,,,320.83,319.30,316.91,313.49,,287.66,300.53,,,,
2005-11-17 21:42:07.585000,L5,332.26,322.33,298.54,299.36,301.66,314.29,307.35,319.15,317.63,317.59,312.34,292.58,,,,,,,,276.35,277.53,276.06,285.85,291.28,297.72,302.40,281.35,273.23,254.41,,,,295.95,297.12,292.00,291.50,,279.61,287.14,,,,
