dates,satname,nzd0278-0000,nzd0278-0001,nzd0278-0002,nzd0278-0003,nzd0278-0004,nzd0278-0005,nzd0278-0006,nzd0278-0007,nzd0278-0008,nzd0278-0009,nzd0278-0010,nzd0278-0011,nzd0278-0012,nzd0278-0013,nzd0278-0014,nzd0278-0015,nzd0278-0016,nzd0278-0017,nzd0278-0018,nzd0278-0019,nzd0278-0020,nzd0278-0021,nzd0278-0022,nzd0278-0023,nzd0278-0024,nzd0278-0025,nzd0278-0026,nzd0278-0027,nzd0278-0028,nzd0278-0029,nzd0278-0030,nzd0278-0031,nzd0278-0039,nzd0278-0040,nzd0278-0041,nzd0278-0042,nzd0278-0043,nzd0278-0044,nzd0278-0045,nzd0278-0046,nzd0278-0047,nzd0278-0037,nzd0278-0038,nzd0278-0050,nzd0278-0051,nzd0278-0052,nzd0278-0053,nzd0278-0058,nzd0278-0059,nzd0278-0060,nzd0278-0061,nzd0278-0032,nzd0278-0033,nzd0278-0034,nzd0278-0035,nzd0278-0048
2013-12-30 22:14:01.261000,L8,311.65,310.39,281.19,280.22,277.98,262.88,278.43,,,,,,,,,,,277.94,283.24,281.68,285.51,283.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24 22:07:33.459000,L8,,,,,,,,,,,,,,,,,284.21,281.88,289.24,289.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31 22:13:40.710000,L8,299.74,309.92,269.97,248.80,238.02,231.08,233.98,232.42,231.19,230.63,222.62,234.34,250.01,248.79,250.97,251.53,257.28,248.89,250.57,249.07,254.90,261.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-16 22:13:26.728000,L8,290.97,287.64,,,,,,,254.80,242.61,252.83,246.93,234.66,258.27,252.23,276.38,255.11,280.60,267.65,275.21,285.13,286.38,296.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04 22:13:10.937000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,152.23,177.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-05 22:12:46.606000,L8,,279.12,261.65,247.15,234.43,220.75,216.92,217.32,216.51,217.15,220.02,219.17,229.98,236.75,309.76,297.42,315.32,310.93,304.64,313.74,321.73,308.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-21 22:12:30.084000,L8,,,,,,,,,,,,,,,,242.23,236.81,238.91,236.38,237.53,237.59,240.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-07 22:12:13.957000,L8,272.48,234.62,213.50,226.42,215.22,201.51,195.99,178.91,187.97,166.01,179.42,198.48,204.89,211.70,217.00,218.32,213.61,206.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-28 22:12:44.815000,L8,,,,,,,,,,,,,,,,,,,,298.68,297.30,321.08,245.65,241.04,259.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-14 22:12:50.618000,L8,290.63,275.64,258.36,247.19,228.26,221.82,216.71,218.52,208.92,211.22,216.79,210.19,222.36,226.94,234.66,233.26,232.89,237.37,229.63,225.51,219.92,230.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-01 22:12:48.222000,L8,293.36,283.48,265.25,249.23,235.57,224.84,223.71,215.12,212.31,206.74,217.53,214.02,222.43,229.17,233.62,236.97,237.04,240.04,236.60,226.20,233.01,241.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02 22:12:38.872000,L8,342.25,315.12,292.51,273.94,260.50,247.02,258.10,244.60,259.73,234.36,,,,,,,,286.49,273.28,264.15,275.04,284.33,305.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-18 22:12:36.610000,L8,281.61,234.46,212.98,215.37,202.60,191.76,186.85,161.53,177.32,170.80,166.68,201.02,212.48,220.56,224.34,224.78,223.66,222.82,224.04,213.44,213.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27 22:06:23.288000,L8,,,,,,,,,,,,,,,,,,260.14,226.47,265.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19 22:12:25.623000,L8,273.25,233.99,,215.36,205.09,197.45,187.49,161.69,,161.52,185.75,196.52,212.06,212.60,219.08,219.52,213.70,215.70,213.37,208.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-07 22:12:18.123000,L8,270.90,226.60,,208.38,197.96,196.28,176.34,,,,,219.70,213.51,223.87,225.35,237.12,237.79,218.16,229.87,214.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23 22:12:09.042000,L8,292.84,263.36,219.68,221.86,221.82,208.04,243.30,245.89,188.46,200.81,200.50,207.58,213.12,220.16,224.99,213.63,232.91,227.74,248.33,219.16,219.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
