dates,satname,nzd0578-0000
2023-10-31 22:13:33.669000,L9,121.65
2023-11-09 22:07:24.721000,L9,121.88
2023-11-17 22:07:27.133000,L8,173.97
2023-11-24 22:13:15.871000,L8,119.25
2023-11-24 22:13:39.830000,L8,122.72
2023-11-25 22:07:32.484000,L9,182.13
2023-12-10 22:13:09.269000,L8,121.80
2023-12-10 22:13:33.227000,L8,122.25
2023-12-18 22:13:20.978000,L9,168.93
2023-12-18 22:13:44.941000,L9,129.67
2023-12-19 22:07:27.073000,L8,167.78
2024-01-03 22:13:39.786000,L9,167.11
2024-01-11 22:13:08.314000,L8,122.96
2024-01-11 22:13:32.277000,L8,110.10
2024-01-12 22:07:30.793000,L9,211.88
2024-01-28 22:07:30.090000,L9,171.68
2024-02-04 22:13:19.606000,L9,135.38
2024-02-04 22:13:43.561000,L9,226.50
2024-02-05 22:07:19.904000,L8,128.13
2024-02-12 22:13:06.098000,L8,177.89
2024-02-12 22:13:30.056000,L8,111.03
2024-02-20 22:13:07.958000,L9,122.32
2024-02-20 22:13:31.917000,L9,120.66
2024-02-21 22:07:17.333000,L8,154.95
2024-02-28 22:13:00.104000,L8,123.98
2024-02-28 22:13:24.063000,L8,124.41
2024-02-29 22:07:23.348000,L9,203.14
2024-03-15 22:12:49.841000,L8,204.81
2024-03-15 22:13:13.795000,L8,113.48
2024-03-16 22:07:23.404000,L9,227.70
2024-04-17 22:07:03.684000,L9,114.48
2024-05-02 22:12:20.382000,L8,115.19
2024-05-02 22:12:44.341000,L8,112.81
2024-05-03 22:06:49.872000,L9,235.02
2024-05-10 22:12:36.648000,L9,77.76
2024-05-10 22:13:00.607000,L9,213.13
2024-05-11 22:06:27.762000,L8,112.64
2024-05-19 22:06:42.049000,L9,186.06
2024-05-26 22:12:24.082000,L9,118.24
2024-05-26 22:12:48.041000,L9,117.29
2024-06-03 22:12:05.524000,L8,212.18
2024-06-03 22:12:29.487000,L8,188.20
2024-06-04 22:06:35.804000,L9,102.93
2024-06-11 22:12:18.141000,L9,108.49
2024-06-11 22:12:42.100000,L9,234.20
2024-06-27 22:12:04.918000,L9,108.02
2024-06-27 22:12:28.885000,L9,110.81
2024-06-28 22:06:31.354000,L8,112.59
2024-07-05 22:12:21.266000,L8,218.29
2024-07-05 22:12:45.229000,L8,112.01
2024-07-06 22:06:32.918000,L9,113.64
2024-08-06 22:12:33.326000,L8,118.24
2024-08-06 22:12:57.285000,L8,222.82
2024-08-23 22:06:59.383000,L9,115.43
2024-08-31 22:07:03.291000,L8,120.25
2024-09-24 22:07:01.359000,L9,225.52
2024-10-10 22:07:10.262000,L9,118.67
2024-10-18 22:07:18.673000,L8,113.46
2024-11-02 22:13:05.642000,L9,181.82
2024-11-02 22:13:29.609000,L9,113.99
2024-11-10 22:13:01.543000,L8,230.72
2024-11-10 22:13:25.502000,L8,172.42
2024-11-11 22:07:15.564000,L9,226.12
2024-11-19 22:07:19.849000,L8,183.85
2024-12-04 22:13:36.311000,L9,126.98
2024-12-05 22:07:21.239000,L8,122.85
2024-12-12 22:13:00.078000,L8,182.49
2024-12-13 22:07:21.847000,L9,170.19
2025-01-05 22:13:06.930000,L9,165.84
2025-01-05 22:13:30.889000,L9,168.81
2025-01-06 22:07:18.443000,L8,172.50
2025-01-13 22:13:30.339000,L8,122.38
2025-01-21 22:13:13.111000,L9,126.20
2025-01-21 22:13:37.070000,L9,226.87
2025-01-22 22:07:13.469000,L8,170.47
2025-02-06 22:13:07.305000,L9,117.27
2025-02-07 22:07:17.137000,L8,115.60
2025-02-14 22:13:00.313000,L8,121.82
2025-02-14 22:13:24.276000,L8,213.76
2025-02-22 22:13:09.242000,L9,226.70
2025-02-22 22:13:33.201000,L9,226.60
2025-02-23 22:07:07.365000,L8,109.56
2025-03-02 22:12:52.152000,L8,220.59
2025-03-02 22:13:16.115000,L8,225.85
2025-03-10 22:13:04.148000,L9,113.19
2025-03-19 22:07:06.727000,L9,112.29
2025-03-26 22:12:53.328000,L9,228.32
2025-03-26 22:13:17.287000,L9,171.62
2025-04-11 22:12:53.551000,L9,110.35
2025-04-11 22:13:17.506000,L9,189.24
2025-04-12 22:06:48.304000,L8,190.31
2025-05-05 22:12:24.502000,L8,113.01
2025-05-05 22:12:48.453000,L8,112.33
2025-05-06 22:06:54.456000,L9,112.07
2025-05-21 22:12:27.926000,L8,180.19
2025-05-21 22:12:51.885000,L8,113.88
2025-05-22 22:06:43.734000,L9,182.02
2025-05-29 22:12:27.625000,L9,101.95
2025-05-29 22:12:51.583000,L9,187.53
2025-05-30 22:06:42.533000,L8,182.31
2025-06-06 22:12:30.719000,L8,64.48
2025-06-06 22:12:54.682000,L8,200.57
2025-06-07 22:06:40.959000,L9,114.59
2025-06-14 22:12:59.081000,L9,116.36
2025-06-22 22:12:43.606000,L8,108.65
2025-06-22 22:13:07.565000,L8,186.60
2025-06-23 22:06:54.196000,L9,112.91
