dates,satname,nzd0364-0000,nzd0364-0001,nzd0364-0002,nzd0364-0003,nzd0364-0004,nzd0364-0005,nzd0364-0006,nzd0364-0007,nzd0364-0008,nzd0364-0009,nzd0364-0010,nzd0364-0011,nzd0364-0012,nzd0364-0013,nzd0364-0014,nzd0364-0015,nzd0364-0016,nzd0364-0017,nzd0364-0018
2023-08-13 22:07:07.940000,L8,356.35,369.04,364.43,359.74,345.33,341.06,335.03,,328.80,343.43,327.37,325.87,335.76,394.69,322.41,334.97,333.40,365.12,356.02
2023-08-21 22:07:04.005000,L9,397.04,384.43,378.99,372.66,366.71,369.29,367.54,353.62,349.49,338.37,332.56,352.03,342.05,360.75,323.25,344.19,354.22,368.80,360.13
2023-08-29 22:07:14.014000,L8,389.67,369.36,364.77,360.84,348.41,339.19,334.05,,324.67,331.63,321.72,325.09,334.29,335.91,322.26,341.60,348.35,363.89,358.20
2023-09-06 22:07:14.613000,L9,350.74,358.95,347.10,344.62,334.71,331.33,325.44,,,322.67,315.41,320.47,327.52,327.80,316.37,330.96,300.97,358.47,352.01
2023-09-30 22:07:21.548000,L8,406.54,377.16,372.97,370.82,365.59,360.07,344.47,351.63,340.44,338.84,330.83,331.60,340.88,345.29,324.29,345.20,354.44,370.59,365.17
2023-10-08 22:07:22.193000,L9,352.71,362.69,354.28,343.58,336.22,330.29,325.67,,,,,321.42,327.75,330.76,317.33,329.63,344.15,358.92,352.26
2023-10-24 22:07:27.973000,L9,355.93,364.57,356.57,348.67,345.31,340.39,334.06,,324.35,327.12,323.71,326.71,337.09,338.30,321.56,338.06,349.41,363.79,357.46
2023-11-17 22:07:27.133000,L8,352.29,349.96,346.28,341.49,336.12,333.03,326.76,,,,315.04,326.76,333.21,333.91,318.28,332.19,344.24,320.46,353.88
2023-11-25 22:07:32.484000,L9,387.71,357.41,364.67,350.63,341.61,345.19,335.10,,326.70,330.92,320.77,335.35,366.32,364.95,356.23,363.14,,,
2023-12-19 22:07:27.073000,L8,350.49,347.68,346.26,338.02,330.96,328.13,324.07,,,,312.44,322.71,328.16,330.29,317.56,328.54,304.02,362.12,351.50
2024-01-12 22:07:30.793000,L9,355.97,350.05,351.52,344.31,339.45,338.87,334.33,317.98,,,320.81,326.37,334.29,335.88,320.61,332.97,349.27,366.94,353.95
2024-01-28 22:07:30.090000,L9,354.02,346.99,348.27,343.31,333.89,332.92,330.85,,,,317.30,324.69,329.00,331.66,318.78,332.96,348.43,365.68,353.14
2024-02-05 22:07:19.904000,L8,355.25,352.87,357.70,347.71,339.77,338.82,336.72,,,,321.19,329.33,334.65,337.62,323.48,333.61,350.83,367.19,355.95
2024-02-13 22:07:29.811000,L9,346.02,337.12,335.50,334.20,327.82,319.80,,,,,,,,323.29,314.36,325.33,300.08,355.92,344.34
2024-02-29 22:07:23.348000,L9,348.22,340.13,341.10,336.35,328.02,322.01,,,,,311.47,321.09,325.04,329.44,315.24,326.97,305.97,357.68,347.13
2024-03-08 22:07:05.574000,L8,389.76,352.66,354.97,345.96,337.56,340.08,333.55,,,,318.29,330.34,330.88,337.20,319.56,332.89,352.67,366.24,356.35
2024-03-16 22:07:23.404000,L9,356.41,358.72,360.07,362.21,338.22,335.32,334.09,,,,318.63,325.98,329.06,334.93,317.47,331.85,348.24,366.23,352.83
2024-04-17 22:07:03.684000,L9,370.48,373.64,371.05,369.54,357.67,363.05,358.00,353.33,340.38,335.82,328.11,336.80,338.42,340.86,330.01,340.22,358.12,370.22,356.97
2024-05-03 22:06:49.872000,L9,353.97,360.36,357.25,353.65,340.19,335.12,330.54,,,,313.34,322.26,326.66,331.01,319.01,329.70,303.22,361.67,349.69
2024-05-11 22:06:27.762000,L8,349.23,358.81,356.05,347.18,336.82,331.97,327.60,,,,312.08,321.00,325.34,325.95,315.58,328.20,304.41,358.56,348.86
