dates,satname,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0018,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0044,nzd0506-0045,nzd0506-0046,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043
2015-11-18 22:14:44.822000,L8,226.16,254.43,254.68,257.74,256.56,258.41,255.52,258.17,,,,,,,,,,,261.02,269.49,271.22,280.43,275.69,278.30,283.78,276.44,275.86,273.81,264.91,274.85,278.83,286.30,290.16,298.09,305.99,310.21,308.86,302.35,300.22,301.34,307.72,307.43,309.80,302.12,303.56,298.42,285.65
2016-01-05 22:14:40.992000,L8,230.29,254.28,259.15,258.26,260.43,258.55,257.45,257.50,,,,,,,,,,,,,,269.51,270.88,276.89,274.77,271.09,271.07,137.43,269.53,282.53,270.10,271.83,275.59,282.27,291.69,297.24,294.29,287.61,289.20,293.11,298.45,305.09,306.34,302.67,302.55,300.22,293.40
2016-04-26 22:14:08.933000,L8,,248.15,256.58,259.45,258.78,257.76,255.79,254.72,,,,,,,,,,,,,,,,,,,270.99,284.47,272.41,284.77,271.36,274.43,276.02,283.36,292.52,299.12,295.71,286.62,287.73,294.50,300.08,307.02,306.48,306.96,306.44,303.32,292.95
2016-05-12 22:14:08.416000,L8,,261.40,301.94,296.54,291.00,296.71,283.43,291.47,297.02,280.12,293.80,277.20,282.16,283.51,282.51,281.14,268.83,280.94,279.27,286.57,297.60,294.74,299.05,296.27,295.83,303.50,303.63,308.99,302.83,309.10,300.52,292.04,309.92,305.07,314.15,316.55,310.63,312.41,304.00,304.82,311.77,325.23,329.47,328.07,326.18,325.46,316.90
2016-07-15 22:14:34.059000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.28,281.08,282.34,285.21,289.76,297.11,291.17,273.77,,
2016-08-16 22:14:41.427000,L8,,248.93,258.00,264.53,257.83,262.71,259.80,256.27,,,,,,,,,,,,,,269.31,270.87,277.82,275.58,270.43,273.25,297.72,273.26,286.81,269.99,276.77,274.38,288.09,284.35,292.16,291.25,288.43,288.01,292.56,300.27,304.78,307.73,306.73,306.54,309.89,305.16
2017-01-23 22:14:43.048000,L8,225.47,257.30,257.35,258.70,256.62,254.48,258.01,254.80,,,,,,,,,,,,,,,,274.32,278.07,271.31,270.35,288.80,280.39,286.65,274.01,277.06,277.20,282.20,282.70,286.84,287.59,286.16,287.23,291.52,296.64,298.89,301.31,301.50,302.56,302.71,297.37
2017-02-08 22:14:34.654000,L8,222.99,255.36,254.73,256.21,256.86,253.49,255.74,255.42,,,,,,,,,,,,,,,,273.70,276.30,270.85,270.11,285.99,275.06,285.66,273.19,275.02,276.17,280.87,281.37,286.05,283.55,285.80,301.24,290.73,294.27,296.49,301.27,300.54,301.37,300.78,295.48
2017-02-15 22:20:43.526000,L8,225.30,257.44,261.72,264.04,264.79,280.59,346.89,274.95,265.23,,,,,,,,,,262.06,273.52,273.59,268.73,277.22,279.43,285.63,287.63,282.17,297.32,287.13,298.54,282.09,282.02,277.78,280.92,284.19,295.67,291.04,291.83,295.35,296.77,303.36,307.88,308.66,308.61,306.57,305.84,301.05
2017-04-04 22:20:20.280000,L8,,303.51,258.53,259.32,256.92,255.00,258.85,261.33,,,,,,,,,,,,,,,266.65,272.82,274.46,268.72,269.62,140.64,270.11,284.66,280.29,273.44,275.52,279.21,282.19,286.89,286.64,281.76,285.11,289.93,296.08,298.59,301.56,301.07,300.20,299.09,293.05
