dates,nzd0214-0000,nzd0214-0001,nzd0214-0002,nzd0214-0003,nzd0214-0004,nzd0214-0005,nzd0214-0006,nzd0214-0007,nzd0214-0008,nzd0214-0009,nzd0214-0010,nzd0214-0011,nzd0214-0012,nzd0214-0013,satname
2005-06-08 21:53:33+00:00,339.95181818181817,337.77272727272725,338.16545454545457,299.9227272727273,312.8572727272727,318.3236363636364,320.24,319.38272727272727,324.89,317.45799999999997,260.60875,175.33,,,L5
2005-10-30 21:54:03+00:00,335.70000000000005,333.87333333333333,339.21000000000004,289.69666666666666,303.23,314.3066666666666,312.8066666666667,319.0733333333333,325.60999999999996,319.185,274.95,175.33,,,L5
2005-11-08 21:48:04+00:00,335.70000000000005,335.435,339.6975,294.7625,312.955,318.51,317.0075,321.69000000000005,328.5925,320.45666666666665,271.9166666666667,175.33,,,L5
2005-11-24 21:48:28+00:00,335.70000000000005,335.71,339.288,295.786,313.51599999999996,319.48199999999997,318.48400000000004,322.516,327.996,321.0675,277.4175,175.33,,,L5
2006-01-27 21:49:58+00:00,327.48,334.865,339.1175,304.515,324.07,326.265,327.3875,326.7825,332.1925,321.1375,270.345,,,,L5
2006-02-03 21:56:19+00:00,334.505,335.21999999999997,338.852,304.166,322.314,326.09000000000003,327.754,327.068,332.312,321.754,273.166,,,,L5
2006-02-19 21:56:39+00:00,336.5733333333333,335.545,339.15500000000003,304.21999999999997,321.2133333333333,325.42,327.40000000000003,326.5933333333333,331.1366666666667,321.585,276.0933333333333,,,,L5
2006-02-28 21:50:40+00:00,337.85749999999996,336.28285714285715,339.5728571428572,304.48,320.99142857142857,325.28142857142853,327.8614285714286,326.50857142857143,331.5014285714286,322.0657142857143,275.9057142857143,,,,L5
2006-04-08 21:57:36+00:00,338.658,336.21375,338.9525,304.28875,320.17125,324.70625,327.85,326.35875,331.33500000000004,321.9925,277.44875,,,,L5
2006-06-27 21:58:48+00:00,341.926,338.1716666666667,338.86,304.3,317.92833333333334,325.26,328.0683333333333,326.47333333333336,332.7216666666667,324.1166666666667,282.065,179.43,,,L5
2006-07-06 21:52:45+00:00,340.86833333333334,337.9428571428571,336.6328571428572,301.6471428571428,315.18142857142857,325.01142857142855,327.12857142857143,325.40714285714284,332.3771428571429,322.95142857142855,278.37,179.43,,,L5
