dates,nzd0508-0000,nzd0508-0001,nzd0508-0002,nzd0508-0012,nzd0508-0013,nzd0508-0014,nzd0508-0015,nzd0508-0016,nzd0508-0007,nzd0508-0008,nzd0508-0009,nzd0508-0010,nzd0508-0017,nzd0508-0021,nzd0508-0022,nzd0508-0003,nzd0508-0004,nzd0508-0005,nzd0508-0006,nzd0508-0011,nzd0508-0018,nzd0508-0019,nzd0508-0020,nzd0508-0023,nzd0508-0024,nzd0508-0025
2019-09-10 22:14:51+00:00,,,,,,258.89,255.35,263.76,,,281.0,,264.44,266.64,273.04,,,,,,269.46,271.95,263.6,279.46,293.55,284.87
2019-09-26 22:14:56+00:00,,,,,,269.565,261.365,264.355,263.03,,283.985,,267.015,268.69,273.61,,,,,,270.33,273.24,267.415,280.12,294.13,286.33000000000004
2020-01-23 22:20:55+00:00,288.93,304.53,305.83,307.65,304.47,280.23,272.95666666666665,271.96,263.03,302.65,291.21000000000004,305.82,274.57666666666665,274.99666666666667,279.62,285.33,263.32,290.96,292.36,305.51,277.95,279.1766666666667,273.84666666666664,286.3766666666666,299.49666666666667,293.58
2020-03-11 22:20:40+00:00,288.395,305.28999999999996,306.74,308.16999999999996,305.035,294.98,287.1566666666667,279.7366666666667,282.52,302.78,298.94,306.105,283.20666666666665,282.0933333333333,285.6433333333333,287.16499999999996,264.855,291.515,292.425,306.16999999999996,286.2733333333333,285.02666666666664,281.16333333333336,292.15666666666664,304.70000000000005,301.31333333333333
2020-05-30 22:20:16+00:00,288.395,305.28999999999996,306.74,308.16999999999996,305.035,302.35,297.045,287.13,302.01,302.78,304.925,306.105,290.015,287.77,285.73333333333335,287.16499999999996,264.855,291.515,292.425,306.16999999999996,293.81,290.275,286.13,279.49,309.69500000000005,308.07500000000005
2020-06-08 22:14:11+00:00,288.395,305.28999999999996,306.74,308.16999999999996,305.035,302.35,297.045,273.3066666666667,302.01,302.78,304.925,306.105,290.015,287.77,285.73333333333335,287.16499999999996,264.855,291.515,292.425,306.16999999999996,279.76,268.7733333333333,286.13,279.49,309.69500000000005,308.07500000000005
2020-07-26 22:14:32+00:00,287.86,306.05,307.65,308.69,305.6,303.14,291.48,266.1066666666666,302.01,302.91,304.19,306.39,280.26,278.3,281.48333333333335,289.0,266.39,292.07,292.49,306.83,275.25666666666666,259.2766666666667,271.03,273.7966666666667,302.22,308.07
2020-11-22 22:21:06+00:00,,,,317.93,318.7,312.92,296.27,269.82,311.75,313.4,317.28,317.93,283.435,285.09000000000003,285.34666666666664,293.11,274.72,306.45,303.52,318.36,278.18333333333334,262.29333333333335,275.745,278.94,307.67999999999995,318.31
2021-05-26 22:14:18+00:00,,,,251.03,253.03,,248.67,253.08,257.14,,,,236.5,,236.86,,,,233.21,,277.74,237.11,,241.99,293.64,253.81
2021-08-14 22:14:45+00:00,,,,251.37,249.33499999999998,,251.235,259.22,260.265,,286.37,,250.26,260.6,243.425,,,,234.28,256.88,277.45000000000005,253.34,262.72,260.265,293.75,254.39499999999998
2021-08-30 22:14:49+00:00,,,,251.18666666666664,249.60999999999999,,252.54333333333332,261.50333333333333,260.33666666666664,,286.485,,248.66333333333333,264.525,243.9466666666667,,,,235.53333333333333,254.58499999999998,277.3233333333333,259.18333333333334,257.505,266.49333333333334,293.62333333333333,259.62666666666667
2021-09-22 22:21:05+00:00,,,,252.655,251.105,280.97,254.8125,263.6725,260.33666666666664,,286.485,,253.9775,266.6566666666667,248.4925,,,,235.53333333333333,260.05,277.42,262.6825,258.9533333333333,269.5125,292.2975,265.9175
2021-12-11 22:21:08+00:00,,,,253.8725,249.6125,270.58500000000004,256.86,267.2033333333333,261.935,,286.485,,259.80333333333334,267.6075,255.3225,,,,236.695,260.05,276.3525,270.2075,261.34000000000003,276.7,290.7075,273.74
2022-01-28 22:20:55+00:00,286.78,306.1,,253.8725,249.6125,280.6066666666666,267.01750000000004,273.5575,276.23333333333335,305.75,293.19,307.02,267.4225,272.038,261.07,285.36,264.95,296.4,236.695,272.11,280.468,274.43600000000004,266.616,279.18,293.162,280.228
2022-02-13 22:20:52+00:00,286.78,306.1,,264.2375,250.9366666666667,282.48,275.125,277.045,283.62,297.505,295.8,297.235,271.23,275.65600000000006,265.996,285.36,264.95,284.095,256.53,281.33,282.106,276.59000000000003,269.166,279.012,292.80199999999996,287.87
2022-02-22 22:14:38+00:00,286.78,306.1,,264.2375,251.04000000000002,280.55,270.86199999999997,274.954,281.425,291.2733333333333,292.52250000000004,292.60999999999996,270.43,274.57166666666666,265.32,285.36,264.95,284.095,256.53,277.562,280.815,275.6566666666667,268.24833333333333,277.16833333333335,291.2833333333333,286.71166666666664
2022-04-02 22:20:31+00:00,286.78,306.1,,269.8966666666667,254.41666666666666,280.568,273.05,277.9475,285.72,289.3725,293.545,291.15999999999997,277.8,276.512,270.75600000000003,285.36,264.95,284.095,255.71000000000004,284.1125,282.06,276.97799999999995,272.46,276.308,290.77,290.188
2022-04-10 22:20:41+00:00,286.78,306.1,,269.8966666666667,254.41666666666666,280.568,273.05,277.9475,285.72,289.3725,293.545,291.15999999999997,277.8,275.8833333333333,269.99166666666673,285.36,264.95,284.095,255.71000000000004,284.1125,282.06,276.03999999999996,271.7916666666667,276.2633333333334,290.4166666666667,287.40333333333336
2022-05-05 22:14:18+00:00,286.78,306.1,,269.8966666666667,254.41666666666666,280.568,273.05,277.9475,285.72,263.822,268.442,265.08000000000004,277.8,275.8833333333333,269.99166666666673,285.36,264.95,284.095,255.71000000000004,284.1125,282.06,276.03999999999996,271.7916666666667,276.2633333333334,290.4166666666667,287.40333333333336
2022-08-09 22:14:46+00:00,,,,276.89500000000004,258.09499999999997,280.66333333333336,264.90333333333336,273.0566666666667,279.3500000000001,234.93200000000002,240.75200000000004,235.17199999999997,273.64000000000004,273.77,267.9275,,,271.79,255.71000000000004,276.05333333333334,279.96666666666664,274.41999999999996,268.63250000000005,274.435,288.06,283.285
2023-01-15 22:21:05+00:00,,312.87,314.46,,301.58,297.43,,285.68,311.44,161.3,168.15,157.48,287.04,284.69,278.73,287.27,268.75,308.0,,298.52,291.69,286.04,280.09,284.18,295.33,301.73
2023-02-24 22:21:03+00:00,,312.87,314.46,,301.58,297.43,,285.68,311.44,,,,287.04,276.37,263.98,287.27,268.75,308.0,,298.52,291.69,272.65,263.815,265.94,287.515,283.39
2023-03-12 22:20:56+00:00,,312.87,314.46,,301.58,297.43,,285.68,311.44,,,,287.04,277.26,267.5566666666667,287.27,268.75,308.0,,298.52,288.895,275.8566666666666,268.89666666666665,271.1466666666667,288.19,286.25
2023-04-06 22:14:33+00:00,,312.87,314.46,252.12,276.55,271.88,236.71,268.775,240.79,169.07,176.7,180.24,274.8,276.21000000000004,266.645,287.27,268.75,251.235,225.22,275.115,285.5466666666667,272.71,267.7625,272.0075,286.5575,286.25
2023-04-14 22:14:09+00:00,,312.87,314.46,252.12,268.62333333333333,263.6766666666667,237.37,268.775,217.54,168.95,177.35,179.675,258.4066666666667,275.08000000000004,266.312,287.27,268.75,232.2266666666667,226.00500000000002,265.9866666666667,285.5466666666667,265.51,267.454,271.12,285.554,282.345
2023-04-29 22:20:31+00:00,,312.87,314.46,252.16500000000002,265.0525,245.36,238.08,262.25666666666666,205.4025,168.41333333333333,176.99,179.19333333333336,255.24,272.97833333333335,265.5183333333334,287.27,268.75,223.445,226.26333333333335,262.03,283.8125,262.37333333333333,263.81166666666667,263.98499999999996,284.90833333333336,276.822
2023-05-15 22:20:23+00:00,,312.87,314.46,252.16500000000002,265.0525,245.36,238.08,262.25666666666666,205.4025,168.41333333333333,176.99,179.19333333333336,255.24,263.5814285714286,265.5183333333334,287.27,268.75,223.445,226.26333333333335,262.03,283.8125,262.37333333333333,263.81166666666667,263.98499999999996,284.90833333333336,276.822
2023-05-24 22:14:04+00:00,,312.87,314.46,227.42999999999998,249.48200000000003,233.56,227.3275,262.25666666666666,196.06799999999998,167.54250000000002,174.5975,176.835,252.42200000000003,257.29375,265.82428571428574,287.27,268.75,218.35999999999999,226.26333333333335,262.03,282.956,259.06428571428575,264.8228571428571,263.98499999999996,284.48285714285714,276.822
2023-06-01 22:13:55+00:00,,312.87,314.46,227.42999999999998,249.48200000000003,233.56,227.3275,262.25666666666666,196.06799999999998,167.54250000000002,174.5975,176.835,252.42200000000003,250.22111111111113,265.82428571428574,287.27,268.75,218.35999999999999,226.26333333333335,262.03,282.956,253.1725,264.8228571428571,263.98499999999996,284.48285714285714,276.822
2023-06-09 22:14:00+00:00,,312.87,314.46,214.1225,238.50666666666666,223.78833333333333,216.744,262.25666666666666,196.06799999999998,167.54250000000002,174.5975,176.448,252.42200000000003,245.446,265.82428571428574,287.27,268.75,218.35999999999999,226.26333333333335,262.03,275.66833333333335,249.37,264.8228571428571,259.2914285714286,284.48285714285714,276.822
2023-07-03 22:14:15+00:00,,312.87,314.46,204.682,232.02142857142857,217.97,215.13333333333333,257.8,196.06799999999998,179.272,172.404,176.43500000000003,250.04333333333332,242.34727272727275,266.055,287.27,268.75,214.89333333333335,226.34250000000003,262.03,273.52,247.323,265.7025,260.3975,284.27875,273.0183333333334
