dates,satname,nzd0517-0000,nzd0517-0001,nzd0517-0002,nzd0517-0003,nzd0517-0004,nzd0517-0005,nzd0517-0006,nzd0517-0007,nzd0517-0008,nzd0517-0009,nzd0517-0010,nzd0517-0011,nzd0517-0012,nzd0517-0013,nzd0517-0014,nzd0517-0015,nzd0517-0016,nzd0517-0017,nzd0517-0018,nzd0517-0019,nzd0517-0020,nzd0517-0021,nzd0517-0022,nzd0517-0023,nzd0517-0024,nzd0517-0025,nzd0517-0026,nzd0517-0027,nzd0517-0028,nzd0517-0029,nzd0517-0030,nzd0517-0031,nzd0517-0032,nzd0517-0033,nzd0517-0034,nzd0517-0035,nzd0517-0036,nzd0517-0037,nzd0517-0038,nzd0517-0039,nzd0517-0040,nzd0517-0041,nzd0517-0042,nzd0517-0043,nzd0517-0044,nzd0517-0045,nzd0517-0046,nzd0517-0047
2013-08-29 22:35:12.017000,L8,,307.79,281.52,257.16,217.45,268.19,271.28,249.52,275.96,278.78,281.24,233.89,276.83,244.98,216.80,291.66,281.53,233.91,271.12,218.13,,,,,,209.91,262.37,279.73,258.61,265.94,266.30,269.46,232.63,241.72,227.12,244.92,239.86,,,,205.19,281.82,265.38,182.87,286.36,235.94,233.29,222.07
2013-09-23 22:28:51.997000,L8,393.10,401.99,371.89,358.63,293.38,314.35,224.41,243.66,227.78,164.32,225.13,,,,,326.17,321.32,319.91,223.02,197.57,,,,252.01,301.65,314.91,321.53,321.41,328.71,309.58,313.30,315.74,311.49,310.49,324.09,325.99,328.11,319.72,324.90,325.97,332.26,325.36,322.06,325.69,328.07,332.20,332.78,358.05
2013-11-26 22:28:34.840000,L8,312.16,320.30,325.24,220.48,281.34,305.37,306.11,309.66,343.53,306.57,306.68,313.81,315.33,317.75,328.15,331.27,335.20,349.06,332.71,313.59,322.51,315.11,327.71,317.11,258.80,254.37,246.14,313.08,313.58,308.42,316.85,322.32,315.80,329.67,324.75,334.11,331.33,333.45,346.46,307.68,326.94,303.20,317.59,320.56,300.16,329.08,332.25,388.17
2013-12-03 22:34:46.544000,L8,359.94,375.36,349.56,326.97,327.67,348.36,343.55,343.86,348.58,343.80,340.47,342.96,348.59,348.06,363.83,376.94,371.85,366.76,390.99,373.88,385.64,360.60,360.22,358.16,358.58,362.52,369.52,366.90,370.29,374.40,367.32,356.82,358.83,369.33,368.56,371.99,365.82,368.37,373.64,368.91,363.62,357.78,356.49,362.55,365.89,361.34,363.17,404.22
2013-12-28 22:28:23.669000,L8,353.26,369.06,353.54,339.52,342.99,372.15,369.43,417.47,420.02,356.50,357.05,360.38,373.70,365.76,369.23,374.43,375.80,367.80,380.28,364.94,362.75,357.22,427.29,401.62,360.44,438.56,442.35,460.27,445.89,448.12,380.95,378.16,382.70,382.85,412.12,412.32,377.43,390.21,394.40,365.46,378.81,393.35,401.23,397.00,376.53,380.87,387.07,409.02
2014-02-05 22:34:08.735000,L8,401.20,333.60,322.99,306.22,302.39,308.83,314.29,315.28,309.13,309.71,311.94,313.66,314.83,315.80,324.97,329.59,329.28,336.66,335.05,329.13,330.41,318.75,311.78,314.22,337.69,321.29,331.52,325.66,314.52,314.80,322.63,325.21,319.50,329.56,334.56,332.42,336.54,332.82,337.08,331.61,344.07,335.16,325.40,328.87,337.67,338.27,339.24,383.20
2014-07-15 22:33:01.426000,L8,,309.61,284.10,256.36,220.84,,,,,,,,,,,,,,,,,,,,,,,,234.76,228.18,233.31,,,161.17,192.60,164.36,234.27,,,,,,,,,,,
2014-10-12 22:27:11.441000,L8,406.26,332.30,329.98,298.07,297.53,308.95,309.53,305.47,309.02,307.18,304.85,305.18,309.31,306.63,323.66,329.13,327.14,327.71,330.22,325.14,324.02,309.56,311.34,313.14,318.24,317.83,322.70,323.89,312.68,315.26,322.51,322.00,318.02,326.95,324.35,330.44,332.62,325.33,322.54,323.43,329.56,327.20,326.36,326.82,329.50,335.69,331.35,374.00
2014-10-28 22:27:08.358000,L8,309.71,332.70,323.48,297.80,296.87,309.84,309.91,305.42,309.16,304.77,305.39,305.16,308.68,309.40,319.64,328.16,328.77,330.20,329.81,326.29,325.52,310.75,313.08,315.59,328.62,319.07,324.66,329.33,313.92,321.52,320.97,321.69,317.14,330.00,324.56,329.25,333.67,324.50,323.15,323.50,326.47,326.59,317.97,325.08,328.82,332.56,330.16,359.34
2014-12-15 22:27:04.889000,L8,310.81,329.16,319.10,302.47,294.59,308.46,307.77,305.53,307.36,306.12,306.34,306.95,309.28,310.80,319.31,327.24,327.83,333.11,329.53,319.62,321.23,314.61,309.83,313.01,316.38,316.44,320.87,318.12,310.86,307.24,315.37,318.36,315.26,323.47,325.20,327.70,327.93,323.60,322.66,323.34,325.29,326.23,322.36,325.34,329.00,331.92,331.60,365.90
2015-01-07 22:33:12.225000,L8,401.48,401.86,375.34,328.95,341.17,370.22,362.73,359.39,349.77,347.80,344.28,344.95,348.09,357.69,371.67,372.76,370.99,372.36,370.52,368.54,372.98,370.76,365.29,359.62,366.89,366.66,366.38,364.36,377.85,381.06,381.11,380.42,383.55,382.22,380.75,372.29,368.29,360.69,370.80,363.31,364.87,364.34,369.30,371.98,383.23,376.23,377.64,400.85
2015-01-16 22:26:59.157000,L8,258.02,289.76,235.77,260.10,,,,,,,,,,,296.58,295.33,315.88,320.53,321.37,312.62,314.31,302.66,297.34,298.84,302.46,301.77,308.17,306.90,299.03,299.00,305.45,305.06,302.67,308.39,312.06,314.79,315.15,312.99,313.39,314.21,312.58,316.77,305.10,316.03,320.94,318.89,323.24,333.69
2015-02-24 22:32:57.004000,L8,288.84,314.33,306.70,285.11,283.54,296.44,296.59,294.43,297.61,295.70,297.77,294.30,295.84,298.22,309.93,316.84,317.83,317.92,318.21,309.41,310.55,298.98,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-06 22:26:20.815000,L8,,308.23,285.80,270.16,226.60,282.72,282.46,283.10,284.45,289.03,290.54,255.18,285.99,255.04,231.97,304.51,301.13,246.36,311.02,238.97,,224.26,212.46,211.81,209.04,226.08,295.48,300.17,287.97,293.49,285.87,297.55,292.38,285.12,292.12,305.33,255.72,202.43,301.85,299.47,244.86,296.27,285.00,207.64,304.57,309.12,249.22,320.62
2015-04-22 22:26:19.104000,L8,,307.42,280.24,260.92,226.98,272.45,267.79,209.35,275.95,285.32,280.37,224.25,262.00,238.76,214.63,184.30,278.72,228.07,263.33,213.94,,,,,,,254.52,299.36,249.64,281.31,278.31,290.27,236.54,243.82,221.35,246.74,238.66,143.16,225.40,,192.07,283.50,274.70,201.06,276.53,202.24,236.81,186.68
2015-07-11 22:26:29.559000,L8,,321.28,319.56,273.94,271.70,298.70,295.17,279.95,286.20,301.46,285.46,261.83,290.98,286.72,250.08,294.93,272.69,264.51,250.59,216.60,,,,,,,185.14,190.56,249.43,236.64,225.88,192.35,211.08,239.72,250.37,247.57,266.59,279.80,286.44,248.09,258.26,285.39,292.88,251.06,304.37,305.36,253.85,291.88
2015-08-19 22:32:54.011000,L8,,297.45,135.03,243.98,176.96,,,,,,,,,,,,,,,,,,,,,,,,,,,150.47,199.90,233.00,200.81,170.31,234.83,,,,,,,,,,,
2015-09-20 22:33:07.479000,L8,,307.51,285.95,266.23,269.58,280.58,287.95,277.79,285.00,287.36,287.84,281.55,287.98,265.96,295.63,304.02,302.24,271.15,300.74,259.63,249.17,245.45,219.00,238.99,285.97,261.33,282.80,293.19,283.25,284.61,281.69,287.86,280.66,276.32,274.56,270.52,282.34,241.87,298.87,,245.02,286.01,280.98,218.73,307.23,308.30,259.69,311.04
2016-01-19 22:27:03.476000,L8,304.85,328.62,317.00,299.55,303.60,310.05,333.92,322.55,316.86,318.16,312.17,306.26,295.90,266.09,,,,,,,,,,,,,228.46,297.57,303.64,306.75,320.71,326.82,322.03,331.64,331.53,335.55,346.70,345.02,345.06,343.28,335.04,329.11,323.09,327.60,333.33,331.42,332.15,374.39
2016-02-04 22:27:00.087000,L8,351.46,360.58,359.74,329.20,362.10,471.31,414.69,336.04,338.40,329.78,357.01,359.41,365.79,447.03,461.20,440.92,472.80,456.16,448.78,397.26,461.49,463.65,487.12,431.51,487.85,435.90,443.91,470.06,476.79,432.17,425.13,340.10,347.04,364.26,466.53,413.03,418.87,357.63,350.81,364.94,360.39,363.31,476.48,513.95,461.52,421.11,365.78,465.74
2016-04-08 22:26:35.612000,L8,,301.00,272.22,235.63,147.47,,,,,,,,,,,,,,,,,,,,,,,,,,,273.55,297.71,297.64,302.04,308.43,317.68,315.73,315.43,316.43,314.16,319.19,303.65,314.15,319.59,317.37,319.43,329.98
2016-07-04 22:33:01.882000,L8,,310.65,308.51,256.74,226.68,277.49,261.19,,,,,158.50,246.00,237.97,204.52,175.40,205.88,203.36,,,,,,,,,,,234.31,236.33,232.40,152.21,201.03,167.06,205.96,177.12,244.68,,,,,241.86,261.23,211.91,165.65,201.87,238.80,
2016-08-05 22:33:10.735000,L8,,309.72,277.50,255.57,204.44,163.09,261.89,,273.19,242.63,273.18,215.05,256.03,230.49,203.91,169.09,,,,,,,,,,,,,234.06,252.60,240.37,162.51,194.29,149.42,201.11,171.61,237.09,,,,,267.91,258.75,195.59,150.87,,,
2016-08-30 22:27:09.042000,L8,249.58,308.81,281.92,258.11,223.18,272.83,271.19,247.20,277.18,280.64,289.49,242.72,274.45,245.77,282.08,292.52,288.28,228.85,291.43,219.02,,,,,,,262.87,290.01,249.51,275.79,274.18,275.99,233.75,233.14,223.31,214.43,242.06,189.25,236.15,,198.87,283.08,271.87,193.84,297.65,234.41,235.98,194.34
2016-11-09 22:33:28.622000,L8,298.40,320.51,308.02,282.56,283.10,293.95,295.39,294.80,296.53,293.10,297.00,297.58,296.41,300.82,298.67,295.16,269.93,318.10,317.20,275.65,,,,,,,,,,300.62,310.83,298.04,299.18,313.04,313.91,316.94,313.36,309.03,296.34,302.66,151.65,321.15,198.80,160.99,211.81,322.94,319.54,258.30
2016-12-04 22:27:17.474000,L8,309.92,332.89,323.27,300.45,299.07,307.97,307.71,309.42,308.11,308.72,310.28,309.20,312.52,316.21,324.08,328.67,329.13,333.67,329.86,321.89,322.42,312.88,311.76,311.26,316.29,322.51,320.51,317.74,310.49,308.40,317.20,319.72,315.64,327.88,325.30,330.44,334.38,324.07,323.76,325.15,330.61,327.12,324.21,327.91,336.23,333.55,336.49,370.06
2017-02-22 22:26:52.098000,L8,340.23,354.38,327.60,310.08,316.51,344.98,339.94,328.66,327.78,318.57,319.72,332.21,337.65,337.37,357.74,363.00,362.25,369.79,356.37,357.33,340.49,346.81,331.05,343.24,342.49,343.75,346.68,339.90,331.98,321.13,325.60,333.32,339.64,338.40,339.67,352.01,356.18,352.66,346.36,353.35,349.64,346.81,347.71,350.32,352.79,359.04,356.08,387.50
