dates,satname,nzd0291-0000,nzd0291-0001,nzd0291-0009,nzd0291-0010,nzd0291-0011,nzd0291-0012,nzd0291-0013,nzd0291-0014,nzd0291-0007,nzd0291-0008,nzd0291-0002,nzd0291-0003,nzd0291-0004,nzd0291-0005,nzd0291-0006
2014-11-10 21:54:18.528000,L8,313.61,323.67,331.06,327.93,324.12,321.33,321.63,336.27,330.07,333.53,306.79,307.37,303.79,304.98,327.92
2014-12-03 22:00:25.829000,L8,316.78,325.60,333.57,328.83,324.78,323.19,323.82,341.56,331.29,332.42,305.42,308.41,296.34,305.60,328.22
2015-01-04 22:00:17.911000,L8,313.75,323.14,332.73,327.82,324.65,322.25,321.88,336.04,334.53,332.84,301.88,307.64,296.50,303.34,327.28
2015-03-09 21:59:54.511000,L8,350.85,334.34,338.41,332.65,378.46,359.65,325.85,337.48,340.18,340.60,344.40,359.08,357.35,342.77,375.09
2015-03-18 21:53:39.323000,L8,,,318.73,317.22,310.35,314.43,312.00,323.69,310.78,315.55,,,,,
2015-04-03 21:53:26.876000,L8,311.90,324.29,332.78,329.61,326.23,323.13,321.08,333.58,331.66,334.80,289.09,282.31,288.51,312.35,327.42
2015-04-03 21:53:50.839000,L8,,,334.18,330.89,327.46,324.26,321.92,334.11,332.41,336.36,,,,313.70,328.35
2015-04-19 21:53:26.711000,L8,314.28,326.31,331.37,328.46,325.09,324.99,321.90,335.18,336.32,335.19,290.50,284.84,290.14,304.45,328.65
2015-05-05 21:53:12.716000,L8,,,317.91,317.33,309.17,311.66,310.34,324.90,315.37,311.52,,,,,
2015-05-05 21:53:36.670000,L8,,,,,326.00,323.91,325.05,340.35,,,,,,,
2015-05-12 21:59:17.028000,L8,,,331.19,326.74,323.38,320.95,321.38,342.53,334.67,333.94,279.89,279.97,290.70,304.67,328.21
2015-06-06 21:53:16.624000,L8,,,322.40,321.27,314.72,319.44,314.72,333.83,321.56,321.48,,,,,
2015-07-15 21:59:48.397000,L8,,,331.92,330.33,324.95,322.32,324.55,350.49,336.96,335.63,,277.32,293.03,309.39,332.82
2015-08-25 21:53:51.592000,L8,315.51,325.31,330.41,327.45,324.30,324.64,322.35,363.68,335.13,335.06,287.35,286.28,288.98,302.80,329.62
2015-10-03 22:00:16.404000,L8,315.58,325.05,328.78,326.79,321.22,322.48,321.54,336.43,330.65,332.89,292.47,300.97,297.16,307.40,328.02
2015-10-12 21:54:05.008000,L8,319.98,325.18,329.81,328.92,324.52,324.92,325.40,357.20,330.41,332.16,295.18,297.38,293.00,303.04,328.37
2015-10-28 21:54:10.619000,L8,359.56,357.19,358.08,368.69,366.68,370.54,362.18,374.09,371.71,363.06,349.70,349.61,349.65,352.87,373.53
2015-11-13 21:54:10.716000,L8,311.82,323.17,325.25,325.30,319.46,320.86,318.81,335.30,327.40,328.17,292.90,288.81,286.82,298.93,325.17
2015-12-15 21:54:12.402000,L8,317.54,324.53,330.58,327.80,322.36,322.60,321.92,340.35,334.58,331.59,295.75,304.71,292.89,307.64,328.35
2016-01-16 21:54:09.540000,L8,312.28,322.22,327.01,324.68,319.85,319.98,318.58,333.83,328.74,326.08,291.48,288.71,288.99,303.21,324.99
2016-01-16 21:54:33.494000,L8,,,,,309.38,311.98,310.84,323.24,,,,,,,
2016-01-23 22:00:20.166000,L8,314.27,324.63,331.62,332.54,325.97,326.38,323.41,342.54,330.71,337.48,295.17,304.16,296.70,309.71,329.97
2016-02-01 21:54:07.333000,L8,315.27,324.13,328.25,327.47,323.53,322.85,319.10,334.61,326.64,334.92,292.20,293.10,293.03,309.10,327.60
2016-02-17 21:53:58.323000,L8,313.11,323.99,327.68,327.09,321.44,323.16,319.51,337.12,332.49,332.49,293.29,294.45,291.67,308.09,327.76
2016-02-24 22:00:08.984000,L8,318.12,325.59,331.34,330.13,324.77,325.64,321.45,338.18,332.59,334.93,295.38,303.00,302.66,312.94,329.85
2016-03-04 21:53:57.602000,L8,315.62,325.06,331.16,330.56,323.35,325.01,322.47,338.35,334.82,333.32,294.54,300.92,293.71,310.61,328.46
2016-03-04 21:54:21.556000,L8,,,328.62,328.47,320.21,322.56,321.41,336.52,,,,,,,
