dates,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
2016-05-05 22:06:50+00:00,,,,,,,,,,,,,,,,362.42,,331.618,336.91,314.14750000000004,323.6042857142857,285.9314285714286,273.5266666666667,253.54,234.53
2016-06-06 22:06:54+00:00,206.23,188.59,,190.89,190.98,202.08,175.7,,,,,,,,,355.21000000000004,,328.77,330.0,311.7025,322.34857142857146,289.58500000000004,272.87833333333333,253.24428571428572,235.30285714285714
2016-07-24 22:07:13+00:00,206.23,188.59,,190.89,190.98,202.08,175.7,,,,,,,,,355.21000000000004,,326.784,330.0,311.7025,322.3966666666667,289.03000000000003,272.91833333333335,253.5557142857143,235.6114285714286
2016-09-10 22:07:27+00:00,206.23,188.59,,190.89,190.98,202.08,175.7,,,,,,371.38,,,353.395,,325.886,330.14,311.6425,324.94,292.08,272.2716666666667,253.58833333333337,234.04166666666666
2016-10-12 22:07:33+00:00,206.23,188.59,,190.89,190.98,202.08,175.7,,,,,,371.38,,,353.395,,326.27833333333336,332.68199999999996,311.88800000000003,326.548,298.9633333333333,272.18666666666667,252.975,233.05999999999997
2016-12-15 22:07:29+00:00,,,,,,,,,,,376.71,,375.46500000000003,381.89,,365.48,336.68,327.45500000000004,338.2233333333333,313.84666666666664,328.18,302.46,272.565,252.885,229.85
2017-01-16 22:07:22+00:00,,,,,,,,,,,379.705,,379.17333333333335,383.51,,369.8,340.985,331.154,338.5375,314.4675,329.9175,301.1933333333333,274.218,255.102,229.85
2017-03-05 22:07:02+00:00,,,,,,,,,,,380.5566666666667,,379.17333333333335,383.51,,372.44,343.3833333333334,334.20799999999997,339.466,315.096,331.142,300.7725,276.412,256.338,227.84
2017-04-06 22:06:45+00:00,,,,,,,,,,,380.5566666666667,,383.07,383.51,,376.99,343.3833333333334,336.0,340.8725,321.072,332.3375,300.7725,277.98999999999995,258.642,229.96499999999997
2017-04-22 22:06:36+00:00,,,,,,,,,,,383.695,,383.07,383.51,,376.99,343.3833333333334,338.635,343.78000000000003,323.168,335.5,303.1925,278.86400000000003,262.524,237.89499999999998
2017-05-08 22:06:35+00:00,,,,,,,,,,,383.695,,383.07,383.51,,376.99,343.3833333333334,338.635,343.78000000000003,322.33166666666665,337.464,305.608,279.50166666666667,265.2633333333333,242.6933333333333
2017-05-24 22:06:46+00:00,369.07,362.21,332.7,,,,,,346.06,,383.695,293.98,383.07,383.51,341.56,376.99,336.8375,338.635,336.108,322.33166666666665,333.21999999999997,305.608,276.1657142857143,265.2633333333333,235.3825
2017-06-09 22:06:54+00:00,369.07,362.21,332.7,,,,,,346.06,,385.13199999999995,343.515,385.84666666666664,384.3033333333333,359.33000000000004,378.8525,337.75,337.01599999999996,337.4216666666667,321.10714285714283,333.7914285714286,305.9866666666667,277.2425,266.9685714285714,239.02399999999997
2017-08-28 22:07:19+00:00,369.07,362.21,332.7,,,,,,346.06,,389.08750000000003,363.67333333333335,400.48,393.78,367.9433333333333,387.2166666666667,335.5933333333333,344.8875,344.528,324.87333333333333,337.24833333333333,317.462,277.90714285714284,271.31333333333333,241.60166666666666
2017-10-31 22:07:31+00:00,369.07,362.21,332.7,,,,,,346.06,,390.0566666666667,363.67333333333335,400.48,393.78,378.255,390.6450000000001,329.29999999999995,350.575,341.66,322.1266666666666,337.28000000000003,321.82,277.168,275.855,245.132
2017-11-16 22:07:28+00:00,369.07,362.21,332.7,,,,,,346.06,,389.4375,363.67333333333335,400.48,393.78,378.255,390.6450000000001,329.29999999999995,350.14000000000004,341.0875,322.15000000000003,335.678,319.52,276.13800000000003,274.59499999999997,244.632
2018-01-19 22:07:14+00:00,,,,,,,,,,,388.95666666666665,403.99,409.56,401.67,397.17999999999995,396.85,,359.94000000000005,357.46999999999997,326.345,337.98,316.72499999999997,278.38,274.04,251.2175
2018-03-24 22:06:44+00:00,,,,,,,,,,,391.6166666666666,399.1,394.19,397.11,396.84000000000003,387.7,,352.66999999999996,348.33000000000004,324.995,336.59000000000003,308.0025,277.07,272.525,249.76999999999998
2018-04-25 22:06:26+00:00,,,,,,,,,,,393.355,399.63,392.44,397.655,391.64000000000004,388.355,,360.11999999999995,352.02333333333337,329.9433333333333,339.178,310.05,278.98400000000004,273.79,251.32
2018-05-27 22:06:04+00:00,,,,,339.48,,,,343.21,,389.2366666666667,388.28000000000003,384.3933333333334,387.6433333333334,372.1566666666667,379.06333333333333,319.88,365.54499999999996,358.3500000000001,335.80499999999995,338.42,308.97999999999996,273.925,266.2825,245.61999999999998
