dates,nzd0534-0000,nzd0534-0001,nzd0534-0002,nzd0534-0003,nzd0534-0004,nzd0534-0005,nzd0534-0006,nzd0534-0007
2024-10-24 22:20:57+00:00,256.67499999999995,249.204,239.47875,248.52428571428572,259.59,252.0225,295.16285714285715,310.7425
2024-11-08 22:26:59+00:00,261.69999999999993,252.8416666666667,240.6875,257.62428571428575,269.05222222222227,252.98499999999999,298.42571428571426,311.2025
2024-11-16 22:27:05+00:00,261.69999999999993,252.8416666666667,240.6875,257.74625000000003,269.05222222222227,252.86777777777777,296.94,309.84555555555556
2024-11-17 22:20:50+00:00,261.69999999999993,252.8416666666667,242.32777777777775,259.6711111111111,274.619,252.86777777777777,299.7366666666667,309.84555555555556
2024-11-24 22:27:09+00:00,262.27166666666665,251.92142857142858,242.064,259.32800000000003,274.619,252.344,298.387,308.746
2024-11-25 22:21:03+00:00,262.15999999999997,251.40625,242.28636363636363,259.8281818181818,278.4981818181818,253.04181818181817,299.59272727272725,309.9381818181818
2024-12-10 22:26:57+00:00,259.8457142857143,249.735,243.901,263.4827272727273,282.868,252.53,298.46166666666664,308.7809090909091
2025-01-12 22:20:57+00:00,262.4483333333333,252.07857142857145,245.5111111111111,269.89181818181817,293.299,252.53,300.6576923076923,308.7809090909091
2025-02-20 22:27:08+00:00,269.26166666666666,257.80285714285714,248.68555555555557,272.7518181818182,310.6111111111111,254.717,304.59666666666664,309.613
2025-04-09 22:26:50+00:00,269.5057142857143,256.1,247.87888888888887,271.87636363636364,311.28499999999997,257.45444444444445,305.13818181818186,309.43111111111114
2025-04-10 22:20:22+00:00,267.17625,253.32875,246.544,270.6775,303.2366666666667,256.423,303.96000000000004,309.79200000000003
2025-04-18 22:20:37+00:00,265.3833333333333,251.25444444444443,244.75900000000001,269.46,293.62444444444446,254.72199999999998,301.3958333333333,308.504
2025-04-25 22:26:41+00:00,265.00444444444446,251.03875,244.88111111111115,269.8390909090909,283.6466666666667,252.369,298.4266666666667,305.87399999999997
2025-05-03 22:26:22+00:00,265.00444444444446,251.03875,244.88111111111115,269.8390909090909,278.321,252.69727272727275,296.99692307692305,305.35181818181815
2025-05-04 22:20:29+00:00,263.694,249.12111111111113,243.40900000000002,268.52500000000003,274.0963636363636,252.07916666666665,296.29285714285714,305.88416666666666
