dates,satname,nzd0354-0000,nzd0354-0001,nzd0354-0003,nzd0354-0004,nzd0354-0005,nzd0354-0006,nzd0354-0007,nzd0354-0008,nzd0354-0009,nzd0354-0010,nzd0354-0011,nzd0354-0013,nzd0354-0014,nzd0354-0015,nzd0354-0025,nzd0354-0026,nzd0354-0027,nzd0354-0028,nzd0354-0029,nzd0354-0030,nzd0354-0031,nzd0354-0032,nzd0354-0033,nzd0354-0034,nzd0354-0035,nzd0354-0036,nzd0354-0037,nzd0354-0038,nzd0354-0039,nzd0354-0040,nzd0354-0041,nzd0354-0042,nzd0354-0043,nzd0354-0044,nzd0354-0045,nzd0354-0046,nzd0354-0047,nzd0354-0048,nzd0354-0049,nzd0354-0050,nzd0354-0051,nzd0354-0052,nzd0354-0053,nzd0354-0054,nzd0354-0055,nzd0354-0056,nzd0354-0057,nzd0354-0058,nzd0354-0002,nzd0354-0012,nzd0354-0016,nzd0354-0017,nzd0354-0018,nzd0354-0019,nzd0354-0020,nzd0354-0021,nzd0354-0022,nzd0354-0023,nzd0354-0024,nzd0354-0059,nzd0354-0060,nzd0354-0061,nzd0354-0062,nzd0354-0063,nzd0354-0064,nzd0354-0065
2008-02-25 21:57:37.029000,L5,,,,,,,,,,,,,,,,409.34,413.29,406.31,392.22,398.14,395.81,395.96,388.52,387.22,375.49,376.90,362.55,360.59,357.83,341.72,340.86,333.23,300.11,305.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-09 21:51:18.382000,L5,,,,,,,,,,,,,,,,,,,,,300.44,366.00,392.32,385.12,304.36,320.23,345.47,349.76,279.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-25 21:51:46.135000,L5,,,,,,,,,,,,,,,382.34,389.67,381.90,387.36,374.31,378.74,383.26,338.27,,,335.99,349.69,322.98,323.67,334.07,318.17,,,,,,,,,,,,,,,,,,,,,,,,,,,409.91,398.33,393.04,,,,,,,
2010-01-29 21:58:05.346000,L5,,,,,,,,,,,,,,,,,413.81,406.04,397.79,398.89,400.33,393.68,391.99,394.98,374.70,372.48,365.53,366.25,361.82,346.90,341.34,338.19,299.79,314.59,285.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-12 21:57:13.086000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.06,394.28,390.20,376.43,375.23,361.76,361.89,351.45,349.67,341.29,334.62,331.91,338.34,327.27,320.67,,,,,,,,,,,,313.07,309.06,304.09,297.40,,,
2011-01-16 21:57:09.950000,L5,,,,,,,,,,,,,,,,,405.62,402.63,394.62,392.44,397.29,389.61,392.09,398.77,380.00,377.72,371.81,371.93,364.36,332.37,324.44,327.39,276.41,302.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-02-17 21:57:12.898000,L5,,,,,,,,,,,,,,,410.79,413.35,408.75,411.24,400.82,405.14,404.83,394.40,399.92,397.20,369.09,370.17,363.02,364.10,355.39,333.90,329.08,339.16,291.87,298.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-13 21:55:45.838000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,416.01,407.97,405.61,397.59,384.58,388.14,382.29,381.99,376.21,383.50,366.22,353.31,345.31,343.94,345.51,345.48,336.91,320.82,337.88,333.82,319.75,315.38,,,,,,,,,,,,308.46,299.12,289.37,,,,
2013-04-11 22:09:26.995000,L8,,,,,,,,,,,,,,,407.64,408.57,404.93,396.63,388.01,386.80,387.40,381.65,379.96,377.83,364.48,362.61,355.33,353.23,355.17,328.52,311.53,330.21,312.76,301.12,286.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13 22:09:11.169000,L8,,,375.08,351.54,353.86,336.79,360.09,345.80,344.68,330.75,326.57,334.55,352.50,391.93,370.85,364.46,378.14,366.56,359.09,340.25,361.75,358.61,354.53,343.95,332.74,329.67,,,,,,,,,,,,,,,,,,,,,,,,318.77,326.31,404.64,386.89,396.98,397.26,384.72,395.92,385.86,357.87,,,,,,,
2013-05-29 22:09:17.297000,L8,,,,332.85,351.79,375.00,359.04,332.51,344.75,334.24,317.43,336.86,350.09,315.66,374.78,369.55,380.67,369.31,359.50,346.55,366.61,361.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.66,294.93,,,,405.82,398.01,402.00,391.87,360.40,,,,,,,
