dates,nzd0298-0000,nzd0298-0001,nzd0298-0002,nzd0298-0003,nzd0298-0004,nzd0298-0005,nzd0298-0006,nzd0298-0007,nzd0298-0008,nzd0298-0009,satname
2016-01-23 22:00:44+00:00,292.2625,294.6375,313.61199999999997,325.068,310.28000000000003,304.56000000000006,298.64,278.354,321.87199999999996,316.784,L8
2016-02-24 22:00:32+00:00,293.4075,300.2325,314.486,323.698,310.338,305.1066666666667,300.47999999999996,285.26,321.87,317.41400000000004,L8
2016-03-04 21:54:21+00:00,293.4075,299.95,314.6333333333333,324.4116666666667,310.7066666666667,305.1066666666667,300.47999999999996,282.88,322.29833333333335,317.41400000000004,L8
2016-03-20 21:54:15+00:00,293.288,300.325,316.01,328.6716666666667,311.84833333333336,308.74666666666667,304.29999999999995,278.312,324.2516666666666,325.166,L8
2016-04-21 21:54:00+00:00,293.26250000000005,299.952,316.2916666666667,328.7966666666667,310.84999999999997,287.1,304.29999999999995,279.0,325.35599999999994,324.212,L8
2016-04-28 22:00:13+00:00,292.226,296.10999999999996,316.02714285714285,328.64285714285717,310.35857142857145,267.4075,304.29999999999995,278.31666666666666,324.945,323.45166666666665,L8
2016-05-14 21:59:48+00:00,291.7525,294.38399999999996,314.32428571428574,326.6028571428571,309.9933333333334,267.4075,304.29999999999995,278.99,325.38,320.7183333333333,L8
2016-05-23 21:54:05+00:00,291.7525,294.38399999999996,314.51,326.8525,309.9933333333334,262.564,304.29999999999995,278.50500000000005,325.49666666666667,320.53714285714284,L8
2016-06-15 22:00:21+00:00,291.7525,294.38399999999996,314.07666666666665,326.2577777777778,308.94428571428574,269.2966666666667,304.29999999999995,282.3542857142857,325.49666666666667,320.15375,L8
2016-07-01 22:00:30+00:00,291.7525,294.38399999999996,313.503,325.70799999999997,308.21375,273.0214285714286,304.29999999999995,282.3542857142857,325.49666666666667,317.9544444444444,L8
2016-07-17 22:00:13+00:00,291.7525,294.38399999999996,312.92,324.34909090909093,307.1411111111111,275.73375,304.29999999999995,282.3542857142857,325.49666666666667,315.40099999999995,L8
2016-07-26 21:54:28+00:00,291.7033333333333,289.764,312.7672727272727,324.6381818181818,307.0222222222222,279.48333333333335,305.8533333333333,289.45571428571424,325.62666666666667,315.255,L8
2016-08-11 21:54:30+00:00,291.7033333333333,289.764,312.03833333333336,324.6381818181818,307.0222222222222,279.48333333333335,305.8533333333333,289.45571428571424,325.62666666666667,315.255,L8
