dates,satname,nzd0349-0000,nzd0349-0001,nzd0349-0002,nzd0349-0003,nzd0349-0004,nzd0349-0005,nzd0349-0006,nzd0349-0007,nzd0349-0008,nzd0349-0009,nzd0349-0010,nzd0349-0011,nzd0349-0012,nzd0349-0013,nzd0349-0014,nzd0349-0015,nzd0349-0016,nzd0349-0017,nzd0349-0018,nzd0349-0019
2021-02-21 22:01:05.416000,L8,357.28,344.34,345.57,350.34,352.44,331.97,321.50,324.62,330.47,334.40,339.90,335.42,333.94,343.30,332.22,354.35,347.24,342.60,361.00,368.52
2021-07-31 22:01:06.526000,L8,373.19,359.14,366.98,364.37,364.26,344.58,333.83,332.22,342.12,344.93,359.05,357.60,350.57,334.19,338.54,355.82,345.25,339.04,358.62,366.07
2021-09-01 22:01:17.106000,L8,396.31,374.44,378.27,378.48,378.34,358.44,356.23,357.90,362.72,361.47,364.09,368.09,355.39,356.64,367.93,369.11,364.71,362.58,375.29,383.59
2021-11-18 22:00:34.762000,L9,379.28,373.81,372.47,375.40,372.01,360.17,343.03,344.39,360.96,356.41,356.29,354.07,355.76,350.92,359.54,365.31,363.94,366.53,375.31,379.88
2021-12-30 22:01:20.361000,L9,357.04,349.56,351.15,361.46,356.56,334.03,310.79,307.30,318.94,328.87,338.21,320.53,330.75,330.14,323.92,344.30,346.88,351.18,364.16,368.79
2022-01-07 22:01:17.661000,L8,369.60,361.27,362.52,368.90,364.68,338.88,338.12,341.75,344.74,347.35,352.74,350.72,346.25,343.47,353.25,353.57,351.27,356.32,362.36,367.52
2022-01-15 22:01:17.704000,L9,,,,,,378.76,369.43,373.69,369.55,369.42,374.74,377.24,376.61,379.03,,391.78,374.59,375.62,382.97,390.17
2022-02-16 22:01:14.119000,L9,345.47,335.27,336.18,347.24,356.48,328.07,313.56,304.70,318.52,317.75,328.39,313.40,288.01,314.36,319.48,333.94,333.94,344.24,359.08,354.54
2022-03-04 22:01:04.617000,L9,347.56,337.28,339.30,353.25,348.44,326.87,311.53,310.33,317.55,315.18,330.56,318.84,316.53,320.49,321.71,341.28,345.17,343.69,345.39,363.08
2022-04-21 22:00:48.097000,L9,367.95,367.76,359.99,372.59,368.32,356.04,342.55,347.52,359.93,357.03,358.35,357.47,351.51,346.99,376.37,383.19,359.21,382.71,380.04,370.97
2022-04-29 22:00:49.264000,L8,,,,,,,,,382.34,378.50,379.28,373.13,367.86,353.74,356.75,365.06,371.58,381.54,,
2022-05-23 22:00:33.752000,L9,377.80,363.21,362.66,368.36,375.13,354.84,348.55,353.35,358.52,350.38,352.40,347.52,337.51,333.37,338.84,349.29,345.78,346.72,358.72,368.31
2022-05-31 22:01:02.606000,L8,324.83,319.14,329.57,306.23,,,,,,,,,,294.16,304.83,317.25,314.25,320.32,325.21,338.76
2022-07-02 22:01:17.924000,L8,378.93,372.05,368.86,377.86,368.24,348.97,340.69,341.18,353.74,358.96,354.46,350.52,347.74,338.36,344.24,368.24,346.39,354.23,366.58,373.62
2022-08-03 22:01:30.192000,L8,342.73,332.59,336.28,342.88,345.36,322.78,,,,,,,315.75,314.14,328.34,338.49,328.10,337.04,343.44,351.43
2022-08-11 22:01:13.680000,L9,344.04,333.56,345.13,335.58,343.79,321.00,,,,,,,314.58,312.03,323.44,334.74,326.31,338.03,341.23,347.53
2022-09-12 22:01:19.280000,L9,345.20,337.03,342.95,340.55,341.18,322.04,,,,,,,313.12,268.91,320.09,337.97,338.93,339.71,336.28,347.71
2022-10-22 22:01:39.081000,L8,,,,,,366.98,371.85,359.91,372.00,367.39,372.88,372.70,360.29,364.42,357.91,363.14,361.06,364.04,376.57,385.57
2022-11-07 22:01:40.727000,L8,385.71,377.00,386.36,379.77,371.54,359.76,340.40,355.52,362.32,350.11,367.00,360.05,354.09,350.46,357.09,377.02,365.45,365.66,373.73,379.91
2022-11-23 22:01:36.006000,L8,366.16,353.09,362.16,362.56,360.92,339.36,313.89,,321.29,328.44,341.31,334.46,333.16,332.25,336.90,351.28,348.32,350.93,368.94,368.67
2023-02-03 22:01:32.711000,L9,348.27,339.99,345.23,344.25,345.15,319.84,,,311.91,324.23,331.68,325.85,321.71,319.29,322.47,331.35,328.76,333.02,356.12,363.88
2023-02-19 22:01:25.048000,L9,,,385.51,368.60,374.64,363.68,345.11,353.96,362.35,355.68,363.81,362.63,359.57,355.29,358.73,368.26,364.12,367.38,377.56,382.77
2023-03-07 22:01:13.298000,L9,351.39,347.02,347.79,347.82,344.81,340.81,319.18,310.29,264.82,334.57,337.64,328.61,333.25,331.97,332.76,347.75,346.56,350.43,361.14,369.21
2023-03-15 22:01:00.423000,L8,368.89,362.44,364.14,365.02,363.78,344.46,339.03,337.54,350.43,357.43,361.43,352.90,350.87,346.56,352.44,355.32,365.48,362.69,372.52,380.37
2023-04-16 22:00:35.409000,L8,330.36,326.22,332.99,304.14,330.04,280.87,,,,,,,298.57,301.97,306.38,318.07,317.50,322.21,331.66,340.96
2023-04-24 22:00:52.245000,L9,341.73,332.53,338.15,291.10,336.44,311.96,,,,,,,312.25,311.85,314.87,321.54,329.52,332.44,341.22,354.54
2023-07-13 22:00:39.192000,L9,322.63,317.16,311.22,275.38,,,,,,,,,291.62,306.73,313.21,320.72,322.66,324.87,341.87,342.89
2023-07-29 22:00:43.244000,L9,352.57,334.44,343.04,340.73,,,,,,298.23,331.10,322.05,317.44,317.64,324.08,323.08,326.12,335.21,364.35,354.64
2023-08-14 22:00:49.451000,L9,345.35,334.28,347.94,336.69,,,,,269.52,295.34,332.88,321.96,319.75,318.26,330.99,324.33,327.01,345.27,368.60,362.64
2023-08-30 22:00:59.462000,L9,352.63,354.85,351.47,320.75,343.78,342.67,,,264.45,300.13,335.08,328.07,322.73,322.24,330.82,324.79,330.98,351.72,358.41,368.52
2023-09-07 22:01:01.793000,L8,344.11,331.80,347.58,313.79,339.38,320.77,,,,263.63,330.54,320.32,316.94,316.08,321.66,320.19,326.12,340.60,350.28,366.31
2023-09-15 22:01:08.032000,L9,348.50,352.59,347.05,287.57,340.06,332.84,,,267.20,293.17,328.93,322.82,319.38,323.24,328.21,328.75,336.71,348.38,360.00,367.78
2023-11-10 22:01:11.260000,L8,359.95,363.20,361.71,365.34,358.99,346.92,316.18,,315.02,320.86,355.94,340.47,341.31,336.75,333.34,328.09,347.82,353.29,364.75,372.55
2023-11-26 22:01:17.763000,L8,369.08,359.32,363.90,362.72,367.43,351.38,332.37,312.70,337.08,354.97,353.58,347.47,344.62,332.96,339.18,330.90,345.45,349.07,359.83,375.14
2023-12-20 22:01:23.578000,L9,346.40,341.60,339.46,340.65,338.22,314.04,303.97,,314.69,314.71,326.93,319.17,312.94,312.80,316.67,308.23,323.92,332.61,345.10,347.66
2024-01-13 22:01:10.918000,L8,345.85,344.66,344.32,348.88,348.44,317.54,316.59,314.38,320.49,318.77,329.35,319.83,313.60,311.23,315.66,300.93,320.85,334.97,340.16,343.46
2024-02-06 22:01:22.045000,L9,329.23,323.40,321.37,321.99,322.81,300.03,298.29,282.23,,,,,,,,,,,,
2024-02-14 22:01:07.227000,L8,345.26,333.43,341.84,348.80,340.39,316.57,319.99,316.44,319.94,316.22,334.37,318.94,311.87,308.57,312.22,291.90,314.76,325.34,334.19,335.76
2024-03-09 22:01:13.999000,L9,372.33,375.31,370.91,379.88,371.46,360.76,344.76,349.31,359.38,358.46,364.04,358.75,349.08,345.38,349.94,353.88,354.45,359.72,362.28,383.92
2024-04-02 22:00:39.887000,L8,351.43,339.00,348.13,360.79,348.50,327.35,317.07,316.72,321.38,322.37,336.61,328.75,316.10,314.49,325.05,319.93,329.28,336.75,346.02,353.67
2024-04-18 22:00:30.907000,L8,382.88,379.03,375.64,392.00,387.59,,,,,379.02,372.39,365.04,359.30,358.90,364.97,368.83,366.20,366.31,378.15,380.90
2024-04-26 22:00:40.750000,L9,380.33,366.33,370.33,374.62,376.82,362.63,356.87,362.40,366.11,363.45,359.02,350.76,348.45,344.56,355.30,358.26,352.48,352.55,361.84,374.05
2024-05-04 22:00:22.085000,L8,396.06,384.08,380.13,384.83,385.72,374.52,,,,381.26,374.03,365.61,352.74,350.44,358.57,363.25,359.54,354.39,367.27,372.92
2024-05-28 22:00:24.522000,L9,,,,,,,,,,,,,,,318.96,300.79,320.58,329.46,339.24,343.78
2024-06-21 22:00:17.143000,L8,379.96,375.81,374.43,371.26,371.21,355.25,343.70,334.99,349.90,345.18,354.16,350.99,344.26,337.44,349.38,352.99,351.28,357.86,371.93,374.88
2024-07-23 22:00:39.758000,L8,371.14,354.08,361.18,365.30,371.59,352.59,349.01,352.40,359.99,359.00,361.95,363.61,346.53,323.18,340.14,354.55,353.77,347.83,359.29,362.81
2024-09-09 22:00:56.721000,L8,324.04,325.17,328.16,,,,,,,,,,,296.76,311.92,300.73,320.91,328.57,338.81,349.64
2024-09-17 22:00:52.686000,L9,,,,,,372.34,372.96,371.58,376.40,370.56,369.78,378.72,382.50,,,,,,,
