dates,nzd0477-0000,nzd0477-0001,nzd0477-0002,nzd0477-0003,nzd0477-0004,nzd0477-0005,nzd0477-0006,nzd0477-0007,nzd0477-0008,nzd0477-0009,nzd0477-0010,nzd0477-0011,nzd0477-0012,nzd0477-0013,nzd0477-0014,nzd0477-0015,nzd0477-0016,nzd0477-0017,nzd0477-0018,nzd0477-0019,nzd0477-0020,nzd0477-0021,nzd0477-0022,nzd0477-0023,nzd0477-0024,nzd0477-0025,nzd0477-0026,nzd0477-0027,nzd0477-0028,nzd0477-0029,nzd0477-0030,nzd0477-0031,nzd0477-0032,nzd0477-0033,nzd0477-0034
2013-12-30 22:16:01+00:00,342.74,313.434,308.51599999999996,306.046,307.80600000000004,317.654,322.07800000000003,327.326,325.426,320.202,315.394,289.825,285.962,280.004,280.77,306.01,302.63800000000003,312.10749999999996,316.62666666666667,317.1766666666667,296.21999999999997,293.376,290.87199999999996,311.2866666666667,306.008,305.414,310.922,312.28000000000003,301.166,293.7575,310.8425,295.9725,293.5675,325.62600000000003,366.808
2014-01-22 22:21:31+00:00,342.74,313.5025,309.77,306.44,307.54,317.1875,322.0325,326.12,324.94,319.4725,314.8075,282.91333333333336,279.7575,274.0225,275.455,307.27,298.735,309.48999999999995,316.24,317.88,292.3225,290.16749999999996,287.34999999999997,310.97,304.59749999999997,304.02750000000003,309.08500000000004,311.5225,300.2625,293.7575,318.84000000000003,304.13,293.5675,325.77200000000005,368.036
2014-02-23 22:21:08+00:00,342.74,313.204,310.684,307.22200000000004,308.36400000000003,316.704,321.7,326.512,325.158,319.85,315.582,291.5675,286.294,281.108,282.26000000000005,309.53999999999996,302.87399999999997,312.875,316.04,317.0333333333333,295.514,292.98999999999995,290.404,310.0833333333333,304.606,304.526,309.49,311.13199999999995,300.388,296.742,318.1333333333333,302.825,294.168,324.8383333333333,366.2816666666667
2014-03-11 22:20:55+00:00,343.355,314.39,312.77000000000004,311.048,314.21999999999997,319.18600000000004,322.3275,328.49,328.354,322.198,319.22200000000004,297.39,296.23,291.296,292.236,311.2833333333333,310.988,315.408,316.77750000000003,317.355,303.07,299.212,297.734,311.01250000000005,307.142,307.052,311.584,311.796,300.80600000000004,300.282,319.3883333333333,303.68333333333334,295.61800000000005,326.95666666666665,367.12833333333333
2014-03-20 22:14:37+00:00,343.355,314.0983333333333,312.77000000000004,311.6383333333333,314.21999999999997,319.18600000000004,325.748,328.68,330.03,322.198,319.22200000000004,300.3933333333334,299.145,294.12833333333333,294.615,310.89,312.12333333333333,315.408,316.77750000000003,316.846,303.07,299.212,298.76166666666666,310.652,307.7133333333333,307.36833333333334,311.4766666666667,312.01166666666666,300.8966666666667,301.42333333333335,318.4814285714286,302.76000000000005,295.77833333333336,326.5357142857143,367.2257142857143
2014-03-27 22:20:37+00:00,343.355,314.53166666666664,313.56399999999996,311.9783333333333,314.696,319.438,325.46799999999996,329.4266666666667,330.105,323.0,320.196,307.59666666666664,306.155,301.795,302.255,311.318,319.63500000000005,323.798,316.63,316.7583333333333,310.588,305.4,304.87833333333333,310.675,308.4733333333333,308.6566666666667,312.6933333333333,312.5733333333333,301.8833333333333,303.28999999999996,319.4171428571429,303.32714285714286,296.86333333333334,326.1014285714286,368.8285714285715
2014-05-23 22:13:42+00:00,343.355,311.25833333333327,313.385,312.146,315.14250000000004,312.96999999999997,321.368,325.70166666666665,326.035,318.32,315.37600000000003,313.49,310.665,307.6616666666667,306.74666666666667,307.87666666666667,319.15,323.71000000000004,316.45000000000005,316.40999999999997,310.3025,305.1875,304.67600000000004,310.514,305.1716666666667,303.745,309.425,310.0016666666666,298.975,303.308,320.105,301.7242857142857,294.43833333333333,325.81,367.045
2014-05-30 22:19:58+00:00,343.355,311.4542857142857,312.48,311.4816666666667,312.82800000000003,313.5883333333333,321.4483333333333,326.40714285714284,326.07142857142856,318.9316666666667,315.96,313.8528571428571,311.6457142857143,308.8671428571429,308.75428571428574,309.6528571428571,319.59166666666664,323.95000000000005,317.30600000000004,316.93666666666667,311.884,306.646,305.53000000000003,311.19166666666666,306.71714285714285,305.2,310.9357142857143,312.0885714285714,301.18857142857144,304.80333333333334,319.8385714285714,302.9275,296.11571428571426,327.42428571428576,369.87
2014-07-01 22:20:10+00:00,343.97,309.2057142857143,313.01250000000005,311.98199999999997,306.322,310.65833333333336,318.82166666666666,323.5514285714285,323.9742857142857,316.0366666666667,312.76,314.0566666666667,310.22285714285715,306.7885714285714,307.2357142857142,307.8442857142857,319.76,324.0675,317.85,316.87199999999996,311.95500000000004,307.08250000000004,305.42,311.338,304.3971428571429,301.79714285714283,308.85571428571427,310.65285714285716,299.4142857142857,306.534,321.09166666666664,301.8,294.13714285714286,329.1616666666667,372.40833333333336
2014-07-17 22:20:15+00:00,343.97,307.17125,313.01250000000005,311.98199999999997,298.83166666666665,309.20714285714286,316.8357142857143,321.44124999999997,321.915,313.9628571428571,310.13142857142856,314.0566666666667,308.19375,305.04125,304.91749999999996,307.8442857142857,319.76,324.0675,317.85,316.87199999999996,311.95500000000004,307.08250000000004,305.42,311.338,301.60125,299.46375,306.72125,309.22875,297.355,306.534,321.09166666666664,301.8,294.13714285714286,329.1616666666667,372.40833333333336
