dates,nzd0128-0000,nzd0128-0001,nzd0128-0002,nzd0128-0003,nzd0128-0004,nzd0128-0005,nzd0128-0006,nzd0128-0007,nzd0128-0008,nzd0128-0009,nzd0128-0010,nzd0128-0011,nzd0128-0012,nzd0128-0013,nzd0128-0014,nzd0128-0015,nzd0128-0016,nzd0128-0017,satname
2007-02-13 22:06:47+00:00,285.37,334.27,332.94,282.54,178.05,,314.94,292.45500000000004,314.64,,324.99,330.38,322.33,331.82500000000005,360.3433333333333,330.3566666666666,321.205,305.1666666666667,L5
2009-02-11 21:51:25+00:00,320.39,322.15,327.37,333.61,177.63,,327.3,334.18,331.68,338.06,342.73,365.09,356.28,357.56,369.68,357.29,338.28,332.94,L5
2010-01-13 21:56:25+00:00,323.33,286.11,,334.56,176.97,,337.1,316.67,334.58,336.91,345.55,361.16,359.31,358.22,363.67,359.24,338.6,335.17,L5
2010-02-21 22:02:44+00:00,332.335,312.855,343.43,335.53499999999997,169.965,,337.1,319.09000000000003,327.55499999999995,338.48,346.67,363.405,358.27,355.85,362.75,356.88,334.915,324.71000000000004,L5
2010-12-31 21:55:32+00:00,348.05,361.24,355.4,352.04,,277.95,340.73,335.06,338.33,341.57,349.56,373.69,365.5,365.08,369.82,361.82,346.46,338.76,L5
2011-01-07 22:01:44+00:00,341.95000000000005,357.47,353.30499999999995,349.35,203.13,277.95,335.765,329.34000000000003,334.075,337.44,344.34000000000003,365.8,361.96500000000003,363.005,366.325,359.31,341.7,335.315,L5
2011-04-13 22:01:34+00:00,320.40000000000003,357.47,347.39333333333326,333.4666666666667,185.095,277.95,327.58666666666664,318.1766666666667,328.34666666666664,327.81333333333333,338.87333333333333,357.56,352.6033333333333,353.91,357.56666666666666,350.28000000000003,332.3066666666667,325.24333333333334,L5
2011-09-04 22:00:27+00:00,274.28,331.71,333.575,301.7,167.06,,310.28,282.33500000000004,313.29499999999996,293.85,327.94,341.08,333.88,335.72,340.05,331.11,307.76,300.71000000000004,L5
2013-04-11 22:07:51+00:00,268.52,331.52,328.48,325.07,162.79,,319.71,303.96,316.31,322.47,320.27,337.43,334.21,337.95,346.23,337.28,316.86,323.42,L8
2013-04-27 22:07:23+00:00,266.39,331.35,328.70500000000004,323.0,164.39499999999998,,318.515,302.975,314.77,315.905,318.33,335.03999999999996,331.41999999999996,337.18,344.33000000000004,335.945,315.07500000000005,322.82500000000005,L8
2013-05-20 22:13:50+00:00,266.50333333333333,332.34,330.50333333333333,314.33666666666664,169.37333333333333,250.33,318.94666666666666,303.4066666666667,315.05,316.3933333333334,317.6766666666667,335.31666666666666,332.1033333333333,335.58666666666664,343.64000000000004,335.8633333333333,316.43666666666667,323.9266666666667,L8
2013-05-29 22:07:41+00:00,263.90999999999997,332.515,330.1125,315.0,171.6875,249.335,319.0875,303.98,315.48,317.185,318.0075,335.42,332.4275,336.27,343.9875,336.2625,317.78000000000003,324.9525,L8
2013-06-05 22:13:51+00:00,264.61,332.76599999999996,330.62800000000004,311.024,173.142,250.11333333333334,319.02,303.594,315.45799999999997,316.956,317.558,335.454,333.08000000000004,336.004,343.822,336.23199999999997,318.432,325.444,L8
2013-06-21 22:13:43+00:00,264.18833333333333,332.80833333333334,330.82666666666665,312.8833333333333,173.05166666666665,249.5625,318.88666666666666,302.9583333333333,315.2633333333333,316.39833333333337,317.15166666666664,335.37,333.19666666666666,335.53000000000003,343.58666666666664,336.165,318.8766666666667,325.9633333333333,L8
2013-06-30 22:07:36+00:00,261.74857142857144,332.49142857142857,330.59000000000003,312.8833333333333,172.81285714285715,249.5625,318.59000000000003,302.6471428571428,314.93857142857144,315.61571428571426,317.1257142857143,335.37,333.29571428571427,335.8385714285714,343.5142857142857,336.1914285714286,319.0757142857143,325.8285714285715,L8
2013-07-07 22:13:48+00:00,261.39375,332.525,330.4825,313.9714285714286,173.565,249.5625,318.05625,301.945,314.66375,315.3225,316.815,335.0175,333.05,335.60375,343.3325,336.045,318.90875,325.825,L8
2013-09-02 22:07:40+00:00,261.39375,333.7422222222222,332.1622222222222,316.25625,173.565,264.344,319.26222222222225,303.8977777777778,315.8255555555556,317.7966666666667,317.7655555555555,336.11777777777775,334.96777777777777,336.9322222222222,344.5877777777778,337.13666666666666,322.09777777777776,327.03555555555556,L8
2013-10-11 22:13:41+00:00,260.3757142857143,338.87333333333333,337.1933333333334,321.83375,175.1042857142857,280.5316666666667,323.8088888888889,309.8588888888889,320.33000000000004,322.0733333333333,321.15444444444444,339.7344444444445,339.73555555555555,340.27777777777777,348.0422222222222,340.7888888888889,327.18555555555554,332.5788888888889,L8
2013-11-05 22:07:22+00:00,261.8985714285714,339.41333333333336,337.46777777777777,322.0325,175.48142857142858,280.5316666666667,323.72,310.01666666666665,320.25333333333333,322.79555555555555,321.5777777777778,340.1055555555556,340.85777777777776,340.1411111111111,348.28333333333336,341.0788888888889,327.6333333333333,333.1166666666667,L8
2013-11-12 22:13:32+00:00,261.8985714285714,341.45500000000004,338.998,324.25333333333333,175.48142857142858,288.5942857142857,325.98100000000005,312.533,321.968,324.696,323.765,341.968,342.893,341.578,349.26200000000006,342.857,330.272,335.46,L8
2013-12-14 22:13:21+00:00,260.755,345.055,341.9875,334.9857142857143,172.8625,319.96200000000005,329.04,317.18125000000003,324.8825,329.04749999999996,326.98875,345.12875,346.87624999999997,344.52875,351.89375,345.81375,335.14625,338.89374999999995,L8
