dates,nzd0434-0000,nzd0434-0001,nzd0434-0002,nzd0434-0003,nzd0434-0004,nzd0434-0005,nzd0434-0006,nzd0434-0007,nzd0434-0008,nzd0434-0009,nzd0434-0010,nzd0434-0011,nzd0434-0012,nzd0434-0013,nzd0434-0014,nzd0434-0015,nzd0434-0016,nzd0434-0017,nzd0434-0018,nzd0434-0019,nzd0434-0020,nzd0434-0021,nzd0434-0022,nzd0434-0023,nzd0434-0024,nzd0434-0025,nzd0434-0033,nzd0434-0034,nzd0434-0035,nzd0434-0036,nzd0434-0029,nzd0434-0030,nzd0434-0031,nzd0434-0032,nzd0434-0026,nzd0434-0027,nzd0434-0028,satname
2022-01-11 22:26:24+00:00,331.04,330.8233333333333,246.57,255.23499999999999,269.03499999999997,263.265,259.83666666666664,261.26,238.575,253.435,264.345,240.93,222.275,234.53,234.92,230.81,195.24,,340.65,346.66,367.96,,366.9066666666667,382.96,375.73,358.78,,341.71,164.1225,322.5925,353.58500000000004,334.66,,,360.4866666666667,362.59000000000003,354.05,L9
2022-01-12 22:20:13+00:00,331.04,330.8233333333333,246.78666666666666,255.18999999999997,268.38666666666666,262.88000000000005,258.155,259.4866666666667,238.82666666666668,252.42,264.76,236.49,222.12666666666667,234.985,235.12,230.01333333333332,194.69333333333336,,340.65,346.66,367.96,,366.9066666666667,380.845,366.7366666666667,358.78,,341.71,164.466,320.038,359.42333333333335,334.66,,,360.4866666666667,356.73,354.05,L8
2022-01-19 22:26:22+00:00,328.1325,331.1,246.78666666666666,255.18999999999997,268.38666666666666,262.88000000000005,258.155,259.4866666666667,238.82666666666668,252.42,266.7825,242.2875,222.4875,235.15666666666667,233.46333333333334,227.29,193.68,358.23,349.27,356.75,371.0,380.76,367.29,379.94,365.43,356.2,,341.71,164.466,324.8283333333333,359.42333333333335,334.66,,,354.93,356.73,354.05,L8
2022-01-20 22:20:15+00:00,328.832,331.656,246.78666666666666,255.18999999999997,268.38666666666666,262.88000000000005,258.155,259.4866666666667,238.82666666666668,252.42,266.7825,242.2875,222.41199999999998,236.05,233.8425,228.414,193.754,358.23,354.8866666666666,356.75,372.04333333333335,380.76,367.29,379.94,362.548,356.2,,341.71,164.60833333333332,333.2342857142857,359.42333333333335,334.66,,,354.93,356.73,354.05,L9
2022-01-27 22:26:26+00:00,328.832,331.656,246.2875,254.5975,267.85749999999996,262.4175,256.856,258.465,238.4,251.7625,266.26599999999996,239.176,222.19333333333336,235.35,233.27799999999996,228.625,200.38,358.23,354.8866666666666,356.75,372.04333333333335,380.76,367.29,379.94,362.548,356.2,,341.71,164.60833333333332,333.2342857142857,359.42333333333335,334.66,,,354.93,356.73,354.05,L9
2022-01-28 22:20:07+00:00,328.832,331.656,246.12399999999997,254.192,267.454,262.346,255.69833333333335,258.184,238.026,251.61999999999998,265.67,241.96666666666667,221.84285714285716,234.9333333333333,233.48833333333334,228.89285714285714,199.09428571428572,358.23,354.8866666666666,356.75,372.04333333333335,380.76,367.29,379.94,362.548,356.2,,341.71,164.57999999999998,333.2342857142857,359.42333333333335,334.66,,,354.93,356.73,354.05,L8
2022-02-13 22:20:04+00:00,328.832,331.656,246.29666666666665,254.38833333333332,267.34666666666664,262.346,255.69833333333335,258.184,238.026,251.61999999999998,265.67,241.96666666666667,221.84285714285716,234.9333333333333,233.48833333333334,228.89285714285714,197.795,358.23,354.8866666666666,356.75,372.04333333333335,380.76,367.29,379.94,362.2,350.70666666666665,403.73,341.71,164.57999999999998,340.26375,357.32,350.615,370.53,386.99,352.912,352.315,346.91499999999996,L8
2022-02-20 22:26:12+00:00,330.4316666666667,334.72499999999997,246.29666666666665,254.26,267.0185714285714,262.08,255.62285714285713,257.34999999999997,237.76,250.27666666666664,265.14,240.06714285714287,221.255,233.6242857142857,232.13714285714286,225.82999999999998,196.90444444444444,358.23,354.8866666666666,356.75,372.04333333333335,380.76,367.29,379.94,362.2,350.70666666666665,403.73,341.71,164.57999999999998,343.43888888888887,360.634,357.5733333333333,373.82,396.78499999999997,352.912,352.47799999999995,350.142,L8
2022-03-01 22:20:00+00:00,330.4316666666667,334.72499999999997,245.89285714285714,253.60375,266.30125,261.4657142857143,254.95374999999999,256.1357142857143,237.24285714285716,249.28714285714287,264.58625,238.17874999999998,220.93,233.07125,230.51749999999998,225.39111111111112,195.778,358.23,354.8866666666666,356.75,372.04333333333335,380.76,367.29,379.94,362.2,350.70666666666665,403.73,341.71,164.57999999999998,343.43888888888887,360.634,357.5733333333333,373.82,396.78499999999997,352.912,352.47799999999995,350.142,L8
2022-03-09 22:20:01+00:00,332.63,334.72499999999997,245.89285714285714,253.60375,266.30125,261.4657142857143,254.95374999999999,256.1357142857143,237.24285714285716,249.28714285714287,264.58625,238.17874999999998,220.93,233.07125,230.51749999999998,225.39111111111112,198.56181818181815,358.23,354.8866666666666,356.75,372.04333333333335,380.76,367.29,379.94,362.2,350.70666666666665,403.73,341.71,164.2125,343.43888888888887,360.634,357.5733333333333,373.82,396.78499999999997,352.912,352.47799999999995,350.142,L9
