dates,nzd0422-0000,nzd0422-0001,nzd0422-0002,nzd0422-0003,nzd0422-0004,nzd0422-0005,nzd0422-0006,nzd0422-0007,nzd0422-0008,nzd0422-0009,nzd0422-0010,nzd0422-0011,nzd0422-0012,nzd0422-0013,nzd0422-0014,nzd0422-0015,nzd0422-0016,nzd0422-0017,nzd0422-0018,nzd0422-0019,nzd0422-0020,nzd0422-0021,nzd0422-0022,nzd0422-0023,nzd0422-0024,nzd0422-0025,nzd0422-0026,nzd0422-0027,nzd0422-0028,nzd0422-0029,nzd0422-0030,nzd0422-0031,nzd0422-0032,nzd0422-0033,nzd0422-0034,nzd0422-0035,nzd0422-0036,nzd0422-0037,nzd0422-0038,nzd0422-0039,nzd0422-0040,nzd0422-0041,nzd0422-0042,nzd0422-0043,nzd0422-0044,nzd0422-0045,nzd0422-0046,nzd0422-0047,nzd0422-0048,nzd0422-0049,nzd0422-0050,nzd0422-0051,nzd0422-0052,nzd0422-0053,nzd0422-0054,nzd0422-0055,nzd0422-0056,nzd0422-0057,nzd0422-0058,nzd0422-0059,nzd0422-0060,nzd0422-0061,nzd0422-0062,satname
2016-07-06 22:19:53+00:00,298.702,285.99,283.908,277.52,248.8675,242.14749999999998,238.6725,199.51749999999998,229.32250000000002,222.87,223.51749999999998,194.55,166.0,,,194.925,200.45000000000002,199.7725,189.6925,188.265,186.94333333333336,203.7875,221.005,221.88400000000001,223.09,226.08199999999997,211.738,189.138,175.254,181.084,168.715,,,,,,,,,,,,,,,,,,319.92,302.19,,,,,343.08000000000004,358.355,335.73,218.965,260.88,270.67,337.7,357.468,360.175,L8
2016-09-08 22:20:12+00:00,301.075,288.43,287.79249999999996,283.8175,250.12666666666667,245.29666666666665,241.48666666666668,205.7266666666667,231.69999999999996,225.67666666666665,231.03,198.10000000000002,,,,193.0666666666667,197.35,193.6,189.815,183.92333333333332,184.035,199.41333333333333,218.26,221.23749999999998,222.64499999999998,224.39249999999998,212.115,190.79500000000002,176.475,185.375,167.01666666666668,,,,,,,,,,,,,,,,,,319.92,302.19,,,,,323.24,339.34,335.73,223.365,264.605,270.73,353.75,354.83750000000003,363.3233333333333,L8
2017-02-15 22:19:55+00:00,294.915,282.87,280.90999999999997,264.63,254.215,244.715,244.01,227.515,236.05,227.47,234.495,201.04500000000002,167.21,187.09,225.76,189.94,191.82999999999998,182.57999999999998,165.96,176.36,182.72,200.86,214.42000000000002,219.91,222.765,223.01,212.825,192.19,177.505,190.44,163.62,,,,,,,,,,,,,,,,,,,,,,,,,,,230.15,267.42,266.49,323.77,345.93,352.31,L8
2017-04-20 22:19:23+00:00,289.995,281.045,278.85,264.26,261.25,247.15,242.815,227.89999999999998,235.01,227.44,235.575,196.765,167.21,188.655,226.3,191.01,213.395,204.365,167.59,173.05,179.615,201.735,223.16500000000002,216.33499999999998,223.3,222.9,215.90499999999997,194.515,178.735,187.85500000000002,164.14,,,,,,,,,,,,,,,,,,,,,,349.9,,350.01,366.07,371.22,,,266.49,323.77,356.16499999999996,365.015,L8
2017-06-07 22:19:38+00:00,291.3966666666667,282.9866666666667,282.1066666666666,269.15000000000003,256.56,246.29666666666665,241.32333333333335,217.91,233.26,226.0533333333333,230.21666666666667,196.765,167.21,188.655,226.3,191.01,213.395,204.365,167.59,173.05,177.28333333333333,197.76999999999998,223.16500000000002,216.33499999999998,223.3,222.9,213.62333333333333,193.04333333333332,178.91,187.85500000000002,164.14,,,,,,,,,,,,,,,,,,,,,,349.9,,350.01,366.07,371.22,,,266.49,323.77,356.6033333333333,361.73,L8
2017-11-30 22:20:08+00:00,285.51,274.37,277.21500000000003,268.365,253.05000000000004,248.825,241.93,214.775,234.385,226.155,229.245,189.69,,,,188.62,,,,,172.62,189.84,,,,,209.06,190.1,179.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.38,263.58,273.28,316.44,342.88,355.16,L8
2018-03-06 22:19:38+00:00,272.6,260.0,260.28499999999997,260.20000000000005,252.65500000000003,251.11,241.70499999999998,228.535,241.51,231.66,236.515,201.3,226.02,195.13,230.08,188.62,232.37,223.17,211.2,210.94,215.67,219.06,214.62,,221.58,,,,,200.55,,,,,,,,,,,,,,,,,,,,,,,349.18,306.26,336.67,,324.33,228.38,263.58,273.28,316.44,328.28,369.63,L8
2019-02-05 22:19:45+00:00,268.81,257.68,254.64,250.34,253.96,246.94,240.56,221.78,244.94,232.17,236.52,194.48,220.39,170.68,226.28,193.37,212.76,226.84,217.87,208.92,210.08,215.65,,169.13,186.1,202.39,224.61,189.37,188.46,186.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.62,262.46,271.77,322.88,338.47,338.03,L8
2019-05-12 22:19:32+00:00,281.72,269.645,259.385,263.63,262.07,258.44,243.11,224.615,244.945,236.51999999999998,240.425,212.64999999999998,228.27999999999997,170.68,226.28,194.405,200.225,226.84,217.87,208.92,210.08,215.65,,169.13,186.1,202.39,224.61,189.37,188.46,186.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.62,263.075,271.77,331.31,338.47,339.955,L8
2019-07-31 22:20:02+00:00,294.12,286.0,259.385,278.87000000000006,262.07,258.44,243.11,224.615,244.945,236.51999999999998,240.425,212.64999999999998,228.27999999999997,170.68,226.28,194.405,200.225,226.84,217.87,208.92,210.08,215.65,,169.13,186.1,202.39,224.61,189.37,188.46,186.56,,,,,300.17,,353.61,368.82,379.69,,,,,,,,,,,,,,,,,,,226.62,263.075,271.77,331.31,342.46500000000003,343.8633333333333,L8
2019-09-01 22:20:11+00:00,297.7333333333333,289.4633333333333,262.93,287.9166666666667,263.695,270.01,246.29500000000002,230.475,247.7,242.735,245.985,232.35,231.15499999999997,184.11,229.2,195.44,187.69,,,,,,249.63,,,,,,,,,,,,300.17,,353.61,368.82,379.69,428.51,444.56,438.62,437.91,,385.93,421.42,,,,,,,,346.09,,,,,263.69,,339.74,346.46,346.78,L8
2019-09-17 22:20:17+00:00,292.2025,284.25,261.4866666666667,280.5725,259.6566666666667,263.2866666666667,244.19333333333336,227.89333333333332,246.73333333333335,240.04666666666665,245.985,232.35,231.15499999999997,184.11,229.2,214.35,187.69,,188.12,199.8,197.79,196.42,215.39999999999998,173.63,174.3,177.79,180.5,174.06,,,,,,,300.17,,353.61,377.875,392.47,427.81,445.055,437.555,436.28,,397.89,422.14,,,,,,,,346.09,,,353.19,,263.69,,339.74,350.015,346.78,L8
