dates,nzd0573-0000,nzd0573-0001,nzd0573-0002,nzd0573-0003,nzd0573-0004,nzd0573-0006,nzd0573-0007,nzd0573-0008,nzd0573-0012,nzd0573-0014,nzd0573-0015,nzd0573-0016,nzd0573-0017,nzd0573-0018,nzd0573-0019,nzd0573-0024,nzd0573-0005,nzd0573-0009,nzd0573-0010,nzd0573-0011,nzd0573-0013,nzd0573-0020,nzd0573-0023,nzd0573-0021,nzd0573-0022,satname
2024-05-19 22:06:42+00:00,229.72200000000004,,227.76333333333332,222.32818181818183,221.92,214.1542857142857,222.17111111111112,218.13142857142856,177.465,227.1342857142857,222.00900000000001,228.09,229.27499999999998,219.14666666666668,213.67,222.47238095238095,216.38600000000002,202.17000000000002,215.84125,211.9311111111111,215.62733333333333,235.04000000000002,221.8835,237.3758823529412,228.891875,L9
2024-05-26 22:12:24+00:00,229.72200000000004,,228.50571428571428,222.32818181818183,221.92,212.96333333333334,222.23375,217.79166666666666,177.465,227.26500000000001,222.5395,228.24533333333332,229.6883333333333,219.14666666666668,213.67,221.42950000000002,216.38600000000002,202.17000000000002,215.86714285714285,212.56875,215.75,235.811,220.60263157894735,237.98529411764707,229.510625,L9
2024-06-03 22:12:29+00:00,229.72200000000004,,229.1525,223.0825,221.92,212.96333333333334,222.23375,217.79166666666666,177.465,227.26500000000001,223.00571428571428,229.285,230.1573684210526,219.14666666666668,213.67,221.7395238095238,216.38600000000002,202.17000000000002,215.86714285714285,212.56875,215.75,236.63545454545456,220.842,238.06888888888886,229.72411764705882,L8
2024-06-04 22:06:35+00:00,228.54166666666666,218.17,228.20777777777778,222.55538461538464,223.2275,213.54285714285717,222.06444444444443,211.69428571428574,149.78333333333333,227.39714285714285,222.7890909090909,228.88529411764705,229.6515,221.375,218.1575,220.59272727272727,216.65666666666667,202.17000000000002,216.0075,212.56875,215.75,235.4675,220.21761904761902,238.06888888888886,229.11055555555555,L9
2024-06-27 22:12:28+00:00,231.47799999999998,218.17,228.20777777777778,223.24307692307696,227.40666666666667,214.78714285714287,223.41285714285715,213.2057142857143,128.57999999999998,228.87285714285713,223.16809523809522,229.47823529411767,229.88599999999997,229.46666666666667,217.0566666666667,219.2181818181818,224.87833333333333,205.39499999999998,217.62,210.82714285714286,216.1776923076923,232.8969230769231,218.73857142857145,237.98470588235293,229.12823529411764,L9
2024-07-05 22:12:45+00:00,231.47799999999998,218.17,224.744,222.8757142857143,227.40666666666667,210.86375,222.8085714285714,213.365,122.24249999999999,228.58124999999998,223.26666666666668,229.07411764705884,229.44899999999998,229.46666666666667,217.0566666666667,217.9459090909091,224.09428571428572,205.39499999999998,216.93,209.32857142857142,215.80846153846153,231.5823076923077,217.4138095238095,238.08624999999998,229.34249999999997,L8
2024-07-06 22:06:32+00:00,229.42666666666665,218.17,219.34636363636363,222.40800000000002,227.0825,211.35333333333335,222.54375,213.25444444444443,117.81799999999998,228.12666666666667,222.92,228.6577777777778,228.90142857142854,229.95499999999998,219.71750000000003,216.9673913043478,223.44375000000002,205.39499999999998,216.63666666666666,208.0625,215.38357142857143,230.64357142857145,216.45545454545453,238.08624999999998,229.34249999999997,L9
2024-08-06 22:12:33+00:00,227.6157142857143,191.09000000000003,219.0918181818182,222.29199999999997,227.51800000000003,207.91,221.85857142857142,209.91,129.475,227.14222222222222,222.69473684210524,227.89733333333334,227.65277777777777,230.05,221.084,212.95105263157896,222.53375,204.3,215.3725,204.6314285714286,214.2618181818182,229.7246153846154,212.49277777777777,237.33999999999997,228.86454545454544,L8
2024-08-23 22:06:59+00:00,226.3057142857143,186.13333333333335,218.83545454545455,222.64466666666667,228.198,206.59285714285716,221.35857142857142,208.79833333333332,136.99285714285713,227.10555555555555,222.49555555555554,227.33933333333334,226.76333333333332,230.1,227.32000000000002,211.26166666666666,222.2,204.456,214.4975,203.07857142857145,213.08999999999997,228.44642857142858,212.4029411764706,237.48499999999999,229.11999999999998,L9
2024-09-24 22:07:01+00:00,226.3057142857143,186.13333333333335,218.83545454545455,222.05076923076925,228.198,209.44750000000002,220.22857142857143,212.00428571428571,136.99285714285713,227.10555555555555,221.60666666666665,226.27750000000003,225.57133333333334,230.1,227.32000000000002,208.65,222.2,204.456,214.4975,201.81714285714287,212.61181818181822,228.99733333333333,208.98461538461535,237.16428571428568,229.55857142857144,L9
