dates,nzd0388-0000,nzd0388-0001,nzd0388-0002,nzd0388-0003,nzd0388-0004,nzd0388-0005,nzd0388-0006,nzd0388-0007,nzd0388-0008,nzd0388-0009,nzd0388-0010,nzd0388-0011,nzd0388-0012,nzd0388-0014,nzd0388-0015,nzd0388-0016,nzd0388-0017,nzd0388-0013,nzd0388-0018,nzd0388-0019,nzd0388-0020,nzd0388-0021
2018-11-10 22:13:20+00:00,321.6275,320.09,316.3175,305.12,304.3225,300.865,290.50666666666666,290.5133333333333,286.77666666666664,294.38,300.59,306.50666666666666,,312.3633333333333,289.42499999999995,290.8225,287.4075,309.63,272.66,273.53999999999996,258.51,341.05
2019-01-04 22:19:27+00:00,320.54,319.942,313.398,303.746,303.58000000000004,302.844,291.3425,290.9575,286.9975,294.72799999999995,298.45799999999997,305.72749999999996,250.95,311.3425,289.544,290.496,287.072,294.67333333333335,275.4275,277.98333333333335,282.485,323.65
2019-02-05 22:19:21+00:00,319.1166666666667,317.945,306.34999999999997,303.746,301.9533333333333,300.56333333333333,289.346,288.902,283.716,292.7583333333333,298.45799999999997,305.72749999999996,246.14499999999998,309.03999999999996,288.16333333333336,289.63666666666666,286.28833333333336,283.505,276.036,279.345,286.44,313.54333333333335
2019-05-05 22:12:52+00:00,322.095,320.63,292.5525,306.37999999999994,307.39000000000004,307.8866666666667,296.31666666666666,296.37666666666667,290.56,295.19,299.57,309.0933333333333,246.14499999999998,312.3533333333333,299.49333333333334,300.13666666666666,294.90333333333336,280.8233333333333,281.1,285.1500000000001,300.405,313.54333333333335
2019-06-06 22:13:11+00:00,313.1275,311.3675,276.76250000000005,294.4166666666667,293.92,292.1566666666667,287.605,286.485,279.125,288.54333333333335,291.155,301.615,246.14499999999998,304.05499999999995,285.64000000000004,287.265,284.04999999999995,257.38,281.1,285.1500000000001,300.405,299.78999999999996
2019-07-24 22:13:48+00:00,312.835,309.15500000000003,277.7275,292.5,290.575,282.855,281.36,276.21500000000003,276.355,284.755,292.38,299.84,241.34,299.83,281.26,285.34,282.37,250.0,278.47,283.43,294.35,293.33
2019-07-31 22:19:38+00:00,312.78,309.504,282.846,293.2033333333333,291.7233333333333,286.7133333333333,281.135,272.18,280.0733333333333,285.8233333333333,292.985,299.90999999999997,241.34,299.83,281.26,285.34,282.37,250.0,278.47,283.43,294.35,293.33
2019-09-17 22:19:53+00:00,312.5,309.922,290.102,294.0625,291.94666666666666,287.0133333333333,279.01,267.51666666666665,282.1666666666667,287.59666666666664,292.985,299.7633333333333,,263.34,275.36,277.18,275.98,,270.72,273.96,285.83,
2020-03-27 22:19:19+00:00,310.15,308.8,298.51,,291.29,291.53,284.43,285.48,274.78,290.38,298.25,300.06,,283.27,279.84,279.22,278.14,232.95,277.75,278.45,288.34,
2020-06-08 22:13:23+00:00,309.135,309.57,302.7,291.51,291.29,291.53,284.43,285.48,274.78,290.38,298.25,300.06,,283.27,279.84,279.22,278.14,232.95,277.75,278.45,288.34,
2020-07-01 22:19:22+00:00,313.31333333333333,310.63666666666666,306.27,295.345,295.565,296.78499999999997,287.72,288.88,277.845,290.38,298.25,300.06,,283.27,279.84,279.22,278.14,232.95,277.75,278.45,288.34,
2020-07-17 22:19:28+00:00,312.6575,310.22249999999997,306.56,295.12333333333333,295.1933333333333,294.18,286.56666666666666,287.5,278.79,289.01,298.25,300.945,,283.27,279.84,279.22,278.14,232.95,277.75,278.45,288.34,
2020-07-26 22:13:44+00:00,312.526,310.236,306.036,294.595,293.8925,294.18,283.7725,287.29,280.0125,289.01,298.25,300.945,,283.27,279.84,279.22,278.14,232.95,277.75,278.45,288.34,
2020-08-11 22:13:23+00:00,312.7233333333333,310.21,306.445,292.3,294.83000000000004,294.825,284.284,287.182,281.05,288.85999999999996,296.95500000000004,301.12,,283.27,279.84,279.22,278.14,232.95,277.75,278.45,288.34,
2020-09-19 22:19:51+00:00,312.2642857142857,309.90000000000003,306.69428571428574,292.5266666666667,295.6066666666666,295.02200000000005,283.5783333333333,285.94666666666666,280.27,289.16499999999996,296.75666666666666,300.8775,,277.41499999999996,276.43499999999995,276.37,276.265,232.95,275.82,278.45,288.34,
2020-10-14 22:13:44+00:00,312.83,310.55,308.7857142857143,291.8,296.65333333333336,297.14,283.515,286.7233333333333,282.40833333333336,290.76,299.91,301.9275,235.14,273.4,280.095,280.28999999999996,278.79999999999995,254.13,276.82,286.01,301.79,284.42
2020-10-21 22:19:55+00:00,317.4375,315.14250000000004,312.7025,291.8,301.6171428571429,301.72166666666664,287.87,290.6685714285714,287.0357142857143,296.342,305.58500000000004,307.11800000000005,281.99,294.7633333333333,296.0733333333333,296.08,292.8433333333333,254.13,276.82,286.01,321.315,313.32000000000005
2020-12-24 22:19:54+00:00,318.1225,315.55875,311.9875,291.8483333333333,301.6171428571429,300.7142857142857,287.6375,290.99125,287.13,295.48333333333335,305.58500000000004,307.11800000000005,289.5733333333333,297.8275,294.85249999999996,294.79,291.1575,256.0,279.4733333333333,288.025,315.52666666666664,311.56666666666666
2021-01-25 22:19:43+00:00,325.0233333333333,324.03000000000003,319.9,288.0733333333333,313.994,302.798,290.088,292.84999999999997,295.345,301.65333333333336,308.588,315.246,300.3325,306.8,294.85249999999996,294.79,291.1575,256.0,279.4733333333333,288.025,315.52666666666664,311.56666666666666
2021-02-03 22:13:32+00:00,323.49571428571426,322.3342857142857,318.2728571428571,288.0733333333333,313.994,300.5183333333334,289.0316666666667,292.4883333333333,295.345,301.65333333333336,306.70666666666665,312.98,301.004,306.415,292.986,293.38,289.868,255.20000000000002,280.7025,286.9666666666667,311.3925,307.82
2021-08-14 22:13:33+00:00,291.02,298.6,301.91,,,,,,,283.21,,292.53,,,,,,,,,,
2021-08-30 22:14:02+00:00,301.095,303.18,305.92,,,296.28,277.51,264.24,281.83,286.74,296.61,296.445,,301.84,277.58,277.25,276.19,,281.71,275.11,,
