dates,satname,nzd0235-0000,nzd0235-0001,nzd0235-0002,nzd0235-0003,nzd0235-0005,nzd0235-0006,nzd0235-0007,nzd0235-0008,nzd0235-0009,nzd0235-0010,nzd0235-0011,nzd0235-0012,nzd0235-0013,nzd0235-0014,nzd0235-0015,nzd0235-0016,nzd0235-0017,nzd0235-0019,nzd0235-0020,nzd0235-0023,nzd0235-0024,nzd0235-0025,nzd0235-0026,nzd0235-0028,nzd0235-0029,nzd0235-0030,nzd0235-0031,nzd0235-0018,nzd0235-0021,nzd0235-0022,nzd0235-0027,nzd0235-0004
2013-10-06 21:55:33.702000,L8,357.83,335.09,315.11,318.55,230.83,272.17,199.65,361.98,381.27,381.70,393.83,385.88,382.68,376.57,388.50,408.05,410.24,396.16,392.09,389.60,330.70,341.92,327.55,337.21,328.69,354.93,347.24,403.39,400.54,395.51,339.78,
2013-12-09 21:55:16.438000,L8,381.22,351.59,333.89,331.05,230.44,285.87,231.16,360.43,380.92,380.81,396.30,388.51,386.31,387.71,409.27,401.40,405.54,380.32,389.75,369.93,340.04,338.99,327.35,325.22,328.83,334.26,376.85,384.15,384.57,392.76,330.91,
2014-01-10 21:54:55.235000,L8,360.37,336.87,320.86,320.32,218.43,269.90,197.93,357.81,378.00,377.12,386.21,381.56,377.74,374.99,382.10,390.73,384.79,367.82,369.45,365.46,334.69,337.66,326.03,323.82,327.42,330.90,345.88,376.98,372.97,380.61,329.00,
2014-02-11 21:54:32.873000,L8,356.66,332.34,320.10,319.49,218.37,284.02,208.36,359.87,380.64,379.25,390.48,384.16,377.62,375.39,387.67,417.58,410.14,399.54,381.97,395.75,332.93,337.27,322.19,351.79,327.72,370.44,378.56,402.21,402.84,405.27,323.96,
2014-03-31 21:53:53.631000,L8,351.11,329.32,315.99,312.66,,189.11,201.64,356.69,377.99,376.38,383.98,381.66,240.52,276.89,269.98,195.86,158.92,367.48,368.56,364.90,328.55,331.71,316.27,321.70,327.08,329.79,347.94,374.71,369.55,378.04,322.33,
2014-05-02 21:53:22.380000,L8,379.87,341.38,322.42,322.85,236.74,275.73,225.14,398.21,384.87,421.18,397.25,404.06,389.82,387.83,393.52,413.85,400.90,379.12,390.47,389.51,339.91,351.57,333.07,350.14,353.24,353.40,366.39,396.78,392.91,398.04,357.97,159.49
2014-05-18 21:53:11.680000,L8,367.46,339.50,331.69,323.47,243.39,289.40,210.94,370.96,400.76,395.90,395.57,395.91,395.96,385.13,401.20,412.48,409.70,387.35,390.69,387.36,341.91,353.56,339.93,340.43,345.86,357.30,367.82,405.81,386.87,395.55,347.23,158.90
2014-06-19 21:53:23.387000,L8,361.19,341.56,318.35,324.17,250.49,282.76,214.44,371.92,385.84,388.90,394.51,393.34,394.01,383.97,390.57,412.91,406.36,377.73,370.55,393.23,339.67,353.66,345.50,345.70,343.69,353.73,366.71,402.16,384.53,403.28,344.77,164.35
2014-07-05 21:53:29.728000,L8,333.77,324.00,308.38,310.74,229.59,267.95,196.11,359.89,378.00,381.21,387.44,382.13,377.23,373.76,379.79,396.20,391.22,371.30,364.10,369.51,332.28,345.47,332.22,328.14,333.06,353.63,365.64,381.01,367.89,385.14,335.88,
2014-07-21 21:53:33.067000,L8,389.14,389.55,330.50,340.09,269.05,337.10,413.15,418.20,428.04,427.45,430.98,420.44,415.66,418.81,413.13,429.87,416.22,416.29,421.48,410.75,402.10,370.20,372.39,371.23,364.59,391.24,383.17,413.19,419.32,415.07,374.50,311.07
2014-08-06 21:53:41.801000,L8,361.87,339.42,310.75,324.07,256.25,284.19,203.35,377.04,383.67,387.22,414.09,400.83,390.05,381.16,400.62,417.51,415.47,396.20,370.47,392.37,347.35,355.71,345.89,352.09,368.07,385.39,385.27,389.91,387.06,405.17,342.48,165.17
