dates,nzd0019-0000,nzd0019-0001,nzd0019-0002,nzd0019-0003,nzd0019-0004,nzd0019-0005,nzd0019-0006,nzd0019-0007,nzd0019-0008,nzd0019-0011,nzd0019-0009,nzd0019-0010,satname
2021-03-30 22:17:22+00:00,386.605,363.99999999999994,365.3533333333333,365.51,345.23,359.65333333333336,333.46500000000003,299.69,,346.5333333333333,,257.72,L8
2021-04-15 22:17:16+00:00,387.036,364.626,365.5825,366.7075,346.59666666666664,364.845,325.99666666666667,300.48333333333335,192.53,346.22999999999996,,258.1175,L8
2021-05-01 22:17:07+00:00,387.2716666666667,364.8633333333333,365.75,367.366,346.525,368.17600000000004,326.3125,300.37,192.53,346.318,,257.284,L8
2021-05-17 22:17:12+00:00,386.48857142857145,363.6871428571429,365.75,359.3866666666666,339.264,368.17600000000004,326.3125,300.37,192.53,344.6766666666667,,257.284,L8
2021-05-26 22:11:07+00:00,385.815,361.03999999999996,359.76500000000004,357.2114285714286,339.555,368.06166666666667,329.0,302.43,205.42000000000002,345.36,,262.0083333333334,L8
2021-07-04 22:17:29+00:00,387.54555555555555,362.50555555555553,361.85857142857145,359.53875,339.555,371.76142857142855,329.0,302.43,205.42000000000002,345.9325,374.12,262.0083333333334,L8
2021-10-24 22:18:01+00:00,388.36,360.604,354.375,352.742,335.9775,380.9833333333333,331.7366666666667,303.58,218.31,344.36800000000005,374.12,262.83666666666664,L8
2021-12-19 22:17:52+00:00,392.97333333333336,368.1033333333333,361.98333333333335,362.6766666666667,345.56,393.96,320.995,299.56,192.06,344.1466666666667,374.12,252.67500000000004,L9
2022-02-21 22:17:43+00:00,388.98,365.82,358.44,358.15000000000003,346.25,,312.4433333333333,299.86333333333334,192.06,340.78333333333336,,254.0066666666667,L9
2022-04-18 22:17:25+00:00,391.805,369.495,365.0875,363.49,346.25,401.03,312.4433333333333,299.86333333333334,192.06,340.78333333333336,,254.0066666666667,L8
2022-05-04 22:17:26+00:00,392.7166666666667,364.8625,371.1766666666667,366.57666666666665,346.19,401.03,304.56499999999994,299.775,192.06,341.525,,256.5450000000001,L8
2022-05-12 22:17:13+00:00,392.77,366.084,371.3425,368.1775,361.08,394.83,325.94666666666666,312.18666666666667,192.06,343.7966666666666,366.63,258.52333333333337,L9
2022-06-05 22:17:39+00:00,392.588,366.4483333333333,370.746,368.648,367.6825,390.8966666666667,331.84,309.62,192.06,343.7025,366.63,258.78000000000003,L8
2022-06-13 22:17:12+00:00,392.99,366.5657142857143,370.17,368.67333333333335,365.702,388.4,335.25199999999995,308.206,192.06,342.42999999999995,366.63,258.63800000000003,L9
2022-06-14 22:11:35+00:00,391.31,364.02,366.03000000000003,365.65714285714284,366.56333333333333,385.344,337.81333333333333,308.206,192.06,344.2,366.63,263.71333333333337,L8
