dates,nzd0249-0000,nzd0249-0001,nzd0249-0002,nzd0249-0003,nzd0249-0004,nzd0249-0005,nzd0249-0006,nzd0249-0007,nzd0249-0008,nzd0249-0009,nzd0249-0010,nzd0249-0011,nzd0249-0012,nzd0249-0013,nzd0249-0014,nzd0249-0015,satname
2014-01-10 21:55:19.190,296.94875,298.84125,285.845,293.3825,294.4175,293.47375,294.55375,282.4025,291.3175,278.67375,277.46125,266.39,294.51625,307.97875,296.6075,283.66249999999997,L8
2014-02-11 21:54:32.873,296.30625,299.5575,287.6175,293.97249999999997,294.41249999999997,293.37249999999995,294.05875,281.13125,290.555,277.93875,277.055,264.9725,294.0225,307.0875,296.42625000000004,282.72625,L8
2014-02-11 21:54:56.823,295.64000000000004,299.12444444444446,287.0155555555556,293.77,293.96888888888884,292.8588888888888,293.7444444444444,280.3966666666667,290.17555555555555,277.32666666666665,276.50888888888886,264.02666666666664,293.93,306.48555555555555,296.3788888888889,282.73,L8
2014-03-15 21:54:10.286,292.41875,296.26375,285.98,294.65625,293.9125,292.43625,293.5625,278.74,289.44,276.245,276.4525,263.2825,293.7425,306.81624999999997,297.135,283.51125,L8
2014-03-15 21:54:34.241,292.7233333333333,296.1255555555556,285.73,294.73333333333335,293.9144444444444,292.5888888888889,293.8644444444444,278.7855555555555,289.7855555555555,276.59777777777776,277.1122222222223,264.4511111111111,294.1088888888889,307.31666666666666,297.3755555555556,283.87,L8
2014-03-31 21:53:53.631,292.64099999999996,295.725,285.37300000000005,294.40999999999997,293.50300000000004,292.21799999999996,293.804,278.71,289.60499999999996,276.32599999999996,276.788,263.929,294.09000000000003,307.309,297.256,283.723,L8
2014-05-02 21:53:22.380,289.575,293.33875,282.6625,289.83000000000004,289.1411111111111,287.55555555555554,289.7522222222222,273.8222222222222,288.49625,271.8311111111111,275.72125,257.61555555555555,291.2355555555556,303.9844444444444,293.99555555555554,278.69444444444446,L8
2014-05-02 21:53:46.331,289.575,293.33875,282.6625,289.83000000000004,287.953,286.012,287.106,271.99399999999997,288.49625,269.454,275.72125,254.839,289.737,302.78799999999995,292.457,277.08900000000006,L8
2014-05-18 21:53:11.680,291.5466666666667,294.82444444444445,283.63222222222225,290.50300000000004,288.8209090909091,286.9372727272727,288.0354545454545,273.2418181818182,289.2322222222222,270.2990909090909,276.25333333333333,256.1527272727273,290.7718181818182,303.5881818181818,293.02727272727276,278.3390909090909,L8
2014-05-18 21:53:35.635,292.755,295.333,283.929,290.75454545454545,289.2808333333333,287.4875,288.64166666666665,273.97999999999996,289.59000000000003,270.7625,276.367,256.965,291.16833333333335,304.05333333333334,293.35333333333335,279.1125,L8
2014-06-19 21:53:23.387,295.668,297.49,285.71000000000004,291.75,290.12666666666667,288.16166666666663,289.4941666666667,274.995,290.74399999999997,271.5675,276.67499999999995,257.74583333333334,291.9666666666667,304.53333333333336,293.6716666666667,280.36833333333334,L8
2014-06-19 21:53:47.342,296.2036363636364,298.30545454545455,285.8963636363637,291.8983333333333,290.75,288.7007692307692,290.23692307692306,275.6953846153846,291.2754545454545,272.1946153846154,276.75454545454545,258.54615384615386,292.4207692307692,304.7169230769231,293.98538461538465,280.9238461538461,L8
2014-07-05 21:53:29.728,296.51,298.74083333333334,285.9325,291.9923076923077,291.02214285714285,289.11642857142857,290.5407142857143,276.2014285714286,291.4133333333333,272.48785714285714,276.8141666666666,259.16285714285715,292.54857142857145,304.825,294.15000000000003,281.19357142857143,L8
2014-07-05 21:53:53.692,296.7130769230769,299.02384615384614,285.9030769230769,292.0571428571428,291.2246666666667,289.448,290.78799999999995,276.606,291.50461538461536,272.71333333333337,276.83384615384614,259.6766666666667,292.63666666666666,304.8906666666666,294.27333333333337,281.38666666666666,L8
2014-07-21 21:53:33.067,299.1333333333333,301.51500000000004,285.43333333333334,292.31538461538463,291.6892857142857,290.085,290.72785714285715,277.04857142857145,292.4525,272.8592857142857,277.6166666666667,260.87571428571425,292.9814285714286,305.2242857142857,294.56142857142856,282.71642857142854,L8
2014-07-21 21:53:57.022,299.91692307692307,302.26307692307694,285.21153846153845,292.1928571428571,291.62466666666666,290.26599999999996,291.0506666666667,277.22666666666663,292.58,273.15066666666667,277.78153846153845,261.45666666666665,293.032,305.3713333333333,294.5953333333334,282.8146666666667,L8
2014-08-06 21:53:41.801,300.23285714285714,302.4957142857143,285.50357142857143,292.214,291.968125,290.7575,291.783125,277.67375,292.8157142857143,273.69937500000003,277.9864285714286,262.020625,293.116875,305.5575,294.815,283.123125,L8
2014-08-06 21:54:05.764,300.5866666666667,302.7853333333333,285.794,292.2525,292.305294117647,291.2229411764706,292.4658823529412,278.09117647058827,293.05266666666665,274.21,278.21066666666667,262.5576470588235,293.2147058823529,305.76,295.03000000000003,283.4305882352941,L8
2014-09-07 21:53:48.789,301.8464285714286,303.65,286.3307142857143,292.128,292.6375,291.57,292.994375,278.67,294.02500000000003,274.59875000000005,279.1792857142857,263.42625,293.040625,306.034375,294.745625,283.091875,L8
2014-09-07 21:54:12.743,301.5226666666667,303.386,286.2973333333333,291.99125,292.6229411764706,291.5,293.2658823529412,278.55529411764707,294.014,274.66823529411766,279.18933333333337,263.44235294117647,292.86470588235295,305.7576470588235,294.5323529411765,282.59000000000003,L8
2014-09-23 21:53:45.463,301.94714285714286,304.0242857142857,286.6092857142857,291.49733333333336,292.38,291.1275,293.00812499999995,278.27875,294.0521428571429,273.949375,278.64642857142854,262.081875,292.223125,304.68,293.7,281.39874999999995,L8
2014-09-23 21:54:09.418,301.44800000000004,303.4566666666667,286.5286666666667,291.474375,292.3058823529412,291.0647058823529,293.135294117647,278.1241176470588,293.888,273.8876470588235,278.6066666666666,262.1035294117647,292.12176470588236,304.38882352941175,293.5341176470588,280.84882352941173,L8
2014-10-25 21:53:52.818,301.822,303.66200000000003,286.75,291.4975,292.4288235294118,291.14588235294116,293.2788235294118,278.02882352941174,294.18333333333334,273.77529411764704,278.94,262.12352941176465,292.13235294117646,304.3523529411765,293.51411764705887,280.4394117647059,L8
2014-10-25 21:54:16.772,301.56812499999995,303.148125,286.693125,291.5311764705882,292.43888888888887,291.1688888888889,293.44722222222225,278.0572222222222,294.10187499999995,273.69666666666666,278.961875,261.9994444444444,292.25,304.5261111111111,293.6672222222222,280.1788888888889,L8
2014-11-10 21:53:54.574,300.84,302.5164705882353,286.25117647058823,292.1205882352941,294.02235294117645,293.3176470588235,297.11,280.48411764705884,293.84823529411767,276.45941176470586,278.7352941176471,265.35352941176467,294.14176470588234,305.8164705882353,295.3094117647058,281.83941176470586,L8
2014-11-10 21:54:18.528,300.22722222222217,301.9844444444445,285.9166666666667,291.94777777777773,293.7416666666666,293.05055555555555,296.90944444444443,280.00888888888886,293.65666666666664,276.0327777777777,278.57222222222225,264.5988888888889,294.0038888888889,305.57388888888886,295.12722222222214,281.3711111111111,L8
2014-12-28 21:54:07.841,298.8146666666666,300.64533333333327,285.242,291.18333333333334,292.548,292.21000000000004,296.42533333333336,278.7933333333333,293.01666666666665,275.07800000000003,278.28266666666667,262.67400000000004,292.7126666666666,304.692,294.48266666666666,279.3666666666667,L8
2015-01-13 21:53:42.692,298.47214285714284,299.925,285.7035714285714,290.8057142857143,291.9957142857143,291.55857142857144,296.58,278.0521428571429,292.74642857142857,274.5057142857143,278.13357142857143,261.48857142857145,292.34785714285715,304.5021428571428,294.3292857142857,278.66,L8
2015-01-29 21:53:37.750,296.2730769230769,297.85076923076923,286.30846153846153,290.9984615384615,291.76384615384615,290.9669230769231,296.35692307692307,277.3046153846154,292.13,274.1107692307692,275.79076923076923,261.12923076923073,289.9661538461538,303.81666666666666,294.01666666666665,277.2216666666667,L8
2015-03-18 21:53:39.323,294.15111111111105,295.5177777777778,285.6255555555556,288.561,286.73400000000004,289.3177777777778,294.5422222222222,271.165,290.83222222222224,269.12699999999995,271.85200000000003,255.12600000000003,287.06899999999996,302.18888888888887,292.3355555555556,274.1588888888889,L8
2015-04-03 21:53:02.921,294.14625,295.84000000000003,283.93875,288.16555555555556,285.99111111111114,288.98875,293.96875,269.76444444444445,289.6125,266.99888888888887,270.5811111111111,252.7744444444444,286.76222222222225,302.96125,292.85749999999996,275.7475,L8
2015-04-03 21:53:26.876,294.3077777777778,296.2033333333333,282.61555555555555,288.396,286.329,288.93111111111114,293.7033333333333,269.678,288.90333333333336,266.085,270.821,252.426,287.243,302.96125,292.85749999999996,275.7475,L8
2015-04-19 21:53:02.761,295.01300000000003,296.207,282.1,288.7845454545455,286.81454545454545,289.16999999999996,293.668,270.25636363636363,288.755,265.73727272727274,271.40272727272725,252.75363636363636,287.7218181818182,303.71,293.4533333333333,277.2033333333333,L8
2015-04-19 21:53:26.711,295.44272727272727,296.15090909090907,281.5354545454545,289.0683333333333,287.1641666666667,289.28363636363633,293.5772727272727,270.5975,288.55727272727273,265.3275,271.82916666666665,252.92999999999998,288.07416666666666,304.216,293.867,278.257,L8
2015-05-05 21:52:48.765,294.879,296.09399999999994,279.86899999999997,288.75363636363636,286.4636363636364,288.79800000000006,293.043,269.47090909090906,287.375,263.45454545454544,270.46181818181816,251.39636363636362,287.3172727272727,303.7311111111111,293.47111111111116,279.5488888888889,L8
2015-05-05 21:53:12.716,295.08181818181816,296.0,279.6581818181818,289.0783333333333,286.81583333333333,288.8,293.1736363636364,269.91833333333335,287.3618181818182,263.12833333333333,270.6666666666667,251.52583333333334,287.79583333333335,304.101,293.745,280.315,L8
