dates,satname,nzd0171-0000,nzd0171-0001,nzd0171-0002,nzd0171-0003,nzd0171-0004,nzd0171-0006,nzd0171-0007,nzd0171-0005,nzd0171-0008,nzd0171-0009
2017-06-25 22:05:47.638000,L8,316.67,328.69,300.90,294.73,286.23,285.47,288.99,284.77,253.41,271.87
2017-08-03 22:11:47.949000,L8,311.19,280.24,296.18,275.99,284.38,276.44,286.60,281.24,266.66,268.81
2017-08-19 22:11:53.133000,L8,311.10,298.26,290.63,249.08,277.10,276.48,279.95,278.29,237.06,264.60
2017-12-02 22:05:46.939000,L8,326.26,325.29,303.03,297.35,290.57,284.39,291.84,285.56,275.71,272.71
2017-12-02 22:06:10.894000,L8,313.54,305.19,241.22,210.23,283.86,271.81,285.76,251.49,241.40,262.01
2017-12-18 22:05:49.621000,L8,319.64,315.89,299.71,293.70,285.78,259.55,196.38,252.93,199.42,222.05
2018-01-19 22:05:38.704000,L8,328.22,329.62,305.93,298.93,292.26,279.50,288.69,270.10,243.88,270.13
2018-01-19 22:06:02.658000,L8,318.50,315.89,296.88,253.39,285.60,269.20,282.60,,,
2018-02-20 22:05:24.255000,L8,318.62,310.35,297.98,252.43,286.79,272.79,286.82,247.32,242.17,
2018-03-08 22:05:39.901000,L8,313.29,305.09,242.33,250.71,282.50,270.56,250.51,,,
2018-03-31 22:11:15.901000,L8,307.63,292.78,,,,234.61,,245.26,,
2018-04-25 22:04:50.953000,L8,386.27,521.04,507.28,471.64,535.20,290.58,321.52,497.47,277.61,350.36
2018-04-25 22:05:14.903000,L8,316.26,290.63,294.36,286.48,,,,,,
2018-05-02 22:10:57.873000,L8,273.88,,287.89,246.20,270.13,,,,,
2018-07-05 22:10:54.795000,L8,308.99,216.41,292.69,248.88,281.72,205.24,284.18,267.26,226.24,267.31
2018-08-06 22:11:10.291000,L8,309.59,302.26,292.55,248.68,281.90,275.48,284.80,273.47,238.76,266.82
2018-08-31 22:05:11.322000,L8,,,241.08,241.37,,276.80,286.78,,,
2018-08-31 22:05:35.273000,L8,,,278.30,234.92,,275.21,286.18,,,
2018-09-07 22:11:24.397000,L8,309.12,229.93,289.53,246.59,179.19,191.09,278.80,221.31,265.37,
2018-09-16 22:05:15.874000,L8,317.02,310.92,297.52,292.79,287.40,283.41,290.35,283.98,273.25,270.85
2018-09-16 22:05:39.825000,L8,311.46,284.30,290.70,251.07,282.88,276.25,285.87,,,
2018-10-18 22:05:29.751000,L8,313.99,304.55,293.96,286.83,282.12,278.00,288.32,279.69,268.49,267.46
2018-10-18 22:05:53.709000,L8,313.57,303.83,293.38,285.74,281.64,277.48,287.92,278.96,267.78,266.76
2018-10-25 22:11:42.546000,L8,367.11,365.73,331.75,325.30,299.14,431.06,427.62,303.62,393.67,539.02
2018-11-03 22:05:33.462000,L8,289.20,,195.01,249.74,249.16,265.68,263.61,,260.83,
2018-11-03 22:05:57.421000,L8,458.92,485.94,,,,512.20,504.08,,299.18,299.98
2018-12-05 22:05:56.093000,L8,,,,,,241.61,265.17,,,
2019-01-06 22:05:29.894000,L8,,,,,,,,,,264.29
2019-01-06 22:05:53.844000,L8,,453.03,444.90,411.01,524.59,,,,534.39,409.06
2019-01-22 22:05:26.296000,L8,223.45,,278.79,290.75,287.09,278.16,288.22,276.58,261.26,267.41
2019-01-22 22:05:50.255000,L8,324.67,,,248.57,285.41,276.05,286.64,274.67,252.43,264.10
2019-02-14 22:11:33.473000,L8,311.37,299.86,293.45,248.40,282.60,256.06,284.94,266.15,243.67,262.39
2019-03-02 22:11:29.304000,L8,309.81,297.86,292.41,243.42,281.71,265.86,285.18,269.48,242.56,
2019-04-12 22:05:06.784000,L8,314.50,306.48,296.38,293.95,283.68,280.73,288.55,280.13,267.29,270.21
2019-04-12 22:05:30.743000,L8,311.06,291.41,292.90,247.36,279.80,274.18,223.99,,,
2019-04-28 22:05:02.570000,L8,313.11,306.37,297.51,293.05,284.54,280.35,289.02,282.61,252.86,271.49
2019-06-15 22:05:51.895000,L8,,,288.68,,,,283.49,,,
2019-07-24 22:11:48.987000,L8,314.61,308.46,295.15,289.55,177.37,239.04,286.73,237.14,240.51,
2019-08-02 22:05:42.028000,L8,317.11,306.01,293.95,251.39,,284.70,291.94,,269.85,272.63
2019-08-02 22:06:05.991000,L8,320.40,313.47,297.70,291.79,,286.60,292.86,,273.30,273.74
2019-08-09 22:11:55.358000,L8,279.79,,285.45,243.28,,,,,,
2019-08-18 22:05:47.276000,L8,314.26,307.51,293.47,216.78,283.37,202.40,287.20,277.50,,
2019-08-18 22:06:11.235000,L8,236.85,,245.83,240.34,,220.26,282.38,,,
2019-10-21 22:06:01.934000,L8,316.74,307.65,296.43,291.73,274.77,282.58,289.35,283.64,243.89,259.30
2019-10-21 22:06:25.884000,L8,317.95,309.87,297.55,292.29,279.17,283.09,289.51,284.44,246.03,262.65
2019-11-06 22:06:00.727000,L8,313.93,304.33,291.05,285.53,281.73,277.78,287.43,278.42,246.57,265.89
2019-11-06 22:06:24.678000,L8,314.41,304.88,291.13,285.69,281.64,277.86,287.44,278.37,246.63,265.37
2019-11-22 22:05:57.141000,L8,307.09,291.29,278.05,242.07,,264.86,279.49,,,244.76
