dates,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0005,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030,satname
2014-03-06 22:01:37.193,389.43,394.7416666666666,378.28200000000004,394.82399999999996,378.63199999999995,405.986,402.89,398.47400000000005,378.832,381.474,386.346,385.944,396.485,380.235,383.1875,386.51599999999996,388.29,385.57,390.9983333333333,391.72333333333336,397.76,381.68399999999997,364.072,349.2833333333333,346.65500000000003,347.06166666666667,345.185,342.8,360.18999999999994,328.9166666666667,331.85,L8
2014-07-12 22:00:55.077,387.5425,388.1225,379.28,378.9125,380.1725,390.735,387.92,384.2875,382.67249999999996,383.595,391.045,389.42,397.51,383.22749999999996,386.1625,381.0325,380.615,379.53,381.63750000000005,384.8075,388.17,383.86249999999995,362.26500000000004,342.995,340.8325,341.43,350.87250000000006,346.67500000000007,357.3175,325.46500000000003,333.84000000000003,L8
2014-08-13 22:01:06.684,383.94500000000005,384.5,377.2375,375.55499999999995,377.9275,388.74499999999995,386.99750000000006,383.765,383.385,382.88,388.725,387.46999999999997,393.1966666666667,389.5225,391.1525,379.6575,379.6425,378.1375,379.2025,383.6075,387.89250000000004,381.87249999999995,360.65500000000003,342.57,341.09000000000003,341.6775,351.95750000000004,343.03999999999996,355.2425,322.9,326.7866666666667,L8
2014-11-01 22:01:14.483,382.84000000000003,385.4649999999999,378.56499999999994,372.88499999999993,372.92500000000007,385.9599999999999,397.8966666666667,382.3499999999999,382.8,380.775,399.41,402.17333333333335,385.82000000000005,405.25666666666666,402.23,378.705,394.71999999999997,376.52500000000003,389.3433333333333,396.40333333333336,391.98333333333335,400.78000000000003,363.81500000000005,345.275,341.84000000000003,347.15500000000003,377.5566666666667,400.74,354.185,326.11,317.79,L8
2014-11-17 22:01:14.600,388.2833333333333,389.74333333333334,382.29999999999995,378.45666666666665,381.77,392.98999999999995,398.53749999999997,385.3866666666666,386.24333333333334,385.31,407.1325,405.3375,385.82000000000005,417.38,402.825,380.51666666666665,395.935,381.6933333333333,389.9375,395.785,398.8825,397.9825,365.3933333333334,347.7966666666666,345.01666666666665,350.0466666666666,382.5825,408.7,363.82,344.635,346.485,L8
2015-01-04 22:01:05.828,392.1425,397.495,390.2575,387.4375,392.5675,402.35749999999996,403.67999999999995,391.9625,393.5825,390.745,407.778,405.71999999999997,394.9666666666667,416.796,403.366,387.64750000000004,397.006,386.9175,392.79200000000003,396.24,400.03000000000003,401.146,368.505,351.87,349.4275,350.97,377.826,405.0425,365.51,347.24333333333334,348.7166666666667,L8
2015-03-09 22:00:42.428,397.71000000000004,402.39000000000004,393.30333333333334,394.39000000000004,404.68333333333334,412.40333333333336,411.05749999999995,392.08666666666664,394.28000000000003,392.4533333333334,411.2875,408.62,395.77,419.7875,400.6175,396.59000000000003,412.3933333333334,397.31000000000006,402.1233333333334,402.05,401.48249999999996,402.6,367.0533333333333,351.3433333333333,347.9533333333333,347.92,381.98249999999996,408.5575,368.64000000000004,352.10999999999996,354.1366666666667,L8
2015-05-12 22:00:04.946,392.08750000000003,394.5525,385.2825,384.9175,392.6625,402.4925,398.73749999999995,384.90999999999997,386.075,386.7875,395.8375,389.505,384.4633333333333,400.5125,385.12,385.84,388.66333333333336,387.78999999999996,386.1133333333334,386.1066666666666,393.47249999999997,385.70750000000004,359.6475,345.15,340.8325,343.675,361.1025,380.425,360.06,342.65,344.415,L8
2015-05-28 22:00:07.580,386.9275,387.90000000000003,379.27250000000004,378.8475,384.22249999999997,394.83000000000004,393.295,380.09499999999997,380.20000000000005,379.515,380.2075,379.005,380.6275,379.28249999999997,376.7325,379.89000000000004,378.6333333333334,380.03000000000003,380.8866666666667,379.97666666666663,383.18,381.5525,354.225,340.4225,335.4475,338.2475,349.48,364.905,350.96000000000004,335.78,337.1425,L8
2015-06-13 22:00:19.815,383.67600000000004,384.412,378.82800000000003,378.274,382.582,394.478,393.37600000000003,381.014,381.63800000000003,377.864,379.804,377.81399999999996,378.886,377.396,375.894,376.5775,373.995,375.5675,380.53,380.205,382.552,379.45,353.738,338.466,333.70799999999997,337.53000000000003,349.324,361.84,348.634,334.568,338.44,L8
