dates,nzd0028-0000,nzd0028-0001,nzd0028-0002,nzd0028-0003,nzd0028-0004,nzd0028-0005,nzd0028-0006,nzd0028-0007,nzd0028-0008,nzd0028-0009,nzd0028-0010,nzd0028-0011,nzd0028-0012,nzd0028-0013,nzd0028-0014,nzd0028-0015,nzd0028-0016,nzd0028-0017,nzd0028-0018,nzd0028-0019,nzd0028-0020,nzd0028-0021,nzd0028-0022,nzd0028-0023,nzd0028-0024,nzd0028-0025,nzd0028-0026,nzd0028-0027,nzd0028-0028,nzd0028-0029,nzd0028-0030,nzd0028-0031,nzd0028-0032,nzd0028-0033,nzd0028-0034,nzd0028-0035,nzd0028-0036,nzd0028-0037,satname
2005-06-06 22:05:05.724,403.1625,358.93333333333334,340.6666666666667,326.75166666666667,330.3183333333333,330.9,233.46666666666667,243.81499999999997,340.17833333333334,308.7083333333333,216.64166666666665,253.115,235.35166666666666,212.38,229.64000000000001,231.31333333333336,228.36166666666668,265.3516666666667,241.35999999999999,273.94,304.70666666666665,327.36833333333334,330.4683333333333,335.85714285714283,329.9871428571428,328.45714285714286,340.35571428571427,329.6114285714286,327.3671428571428,339.1871428571429,346.9271428571428,326.7057142857143,309.45714285714286,345.6257142857143,348.29857142857145,336.2371428571428,338.4271428571428,331.32571428571424,L5
2005-08-25 22:05:41.221,399.712,358.74999999999994,344.364,340.606,339.088,335.45,232.81799999999998,245.56,346.18399999999997,313.862,218.122,253.88000000000002,237.16,217.22199999999998,232.484,235.66666666666666,232.21166666666667,268.9066666666667,244.96333333333334,278.1983333333333,306.84499999999997,334.37333333333333,331.51500000000004,340.365,335.875,332.46166666666664,341.87000000000006,331.39,333.82,342.45666666666665,348.84833333333336,328.01800000000003,313.0516666666667,348.2333333333333,347.35833333333335,336.595,338.65333333333336,331.15333333333336,L5
2005-09-03 21:59:32.312,399.712,358.74999999999994,344.364,340.606,339.088,335.45,232.81799999999998,245.56,346.18399999999997,313.862,218.122,253.88000000000002,237.16,217.22199999999998,232.484,242.22600000000003,230.88799999999998,266.70799999999997,242.44400000000002,276.4683333333333,305.075,332.685,331.2633333333333,339.08000000000004,334.446,329.52599999999995,339.564,331.994,333.13199999999995,343.78999999999996,354.57666666666665,325.70250000000004,312.354,347.352,346.674,335.554,338.06800000000004,328.65600000000006,L5
2005-09-19 21:59:32.955,399.712,358.74999999999994,344.364,340.606,339.088,335.45,232.81799999999998,245.56,346.18399999999997,313.862,218.122,253.88000000000002,237.16,217.22199999999998,232.484,242.22600000000003,230.88799999999998,266.70799999999997,242.44400000000002,276.4683333333333,298.6171428571428,332.685,331.2633333333333,339.08000000000004,334.446,325.0333333333333,339.564,327.16,329.7416666666666,342.42571428571426,351.6385714285714,325.70250000000004,312.354,347.352,346.674,335.554,338.06800000000004,328.65600000000006,L5
2005-09-26 22:05:42.687,399.712,359.36833333333334,344.39000000000004,340.5416666666667,339.33333333333337,335.26750000000004,233.91833333333332,245.75333333333333,345.78833333333336,314.3733333333334,220.05833333333337,253.66666666666666,236.045,215.96166666666667,232.18499999999997,241.43500000000003,230.0333333333333,266.61833333333334,243.28,276.9242857142857,298.30625,332.6542857142857,331.6942857142857,340.42,335.1816666666667,327.02,339.745,327.3014285714286,329.9342857142857,342.38125,351.29875,323.54200000000003,311.0833333333333,348.84666666666664,347.1383333333333,335.8883333333333,338.39833333333337,330.02833333333336,L5
2006-02-17 22:08:11.136,383.05,357.03666666666663,340.84666666666664,334.0833333333333,337.4433333333333,339.6350000000001,235.1933333333333,247.75333333333333,345.09666666666664,315.1933333333333,224.63666666666666,253.31333333333336,231.60666666666665,216.14,233.7033333333333,238.61,224.9333333333333,265.89666666666665,245.6833333333333,280.5625,291.772,328.2675,324.9675,325.4533333333333,328.61999999999995,322.1325,332.81666666666666,315.62,321.22,340.71999999999997,348.44399999999996,306.05499999999995,307.0133333333333,348.94,345.12000000000006,335.40333333333336,338.6266666666667,335.9733333333333,L5
2006-04-06 22:09:08.139,388.11,350.225,331.08500000000004,318.7,321.04499999999996,,232.64999999999998,242.775,333.145,302.33500000000004,215.14,250.93,225.505,209.14499999999998,225.18499999999997,226.36,216.04499999999996,258.74,235.91499999999996,275.81500000000005,293.78,304.865,298.27,291.91999999999996,306.54499999999996,308.275,322.81,301.17,308.46500000000003,325.61,329.53999999999996,305.45,296.78,335.03,338.28999999999996,328.745,331.735,331.695,L5
2006-05-08 22:09:38.251,401.90333333333336,352.16333333333336,331.71,321.99666666666667,326.24666666666667,327.49,230.85999999999999,243.13666666666668,337.14666666666665,307.8233333333333,213.25,251.04999999999998,225.82000000000002,210.43999999999997,225.76999999999998,230.24333333333334,217.5233333333333,261.46999999999997,233.88666666666666,277.8966666666667,296.1933333333333,309.02,305.9733333333333,303.0,311.42,315.61333333333334,326.6666666666667,309.89000000000004,314.78000000000003,331.40333333333336,334.0466666666667,312.18333333333334,302.92333333333335,341.2733333333333,342.0933333333333,332.8066666666667,336.31333333333333,332.9066666666667,L5
2006-06-25 22:10:20.606,401.90333333333336,351.775,331.97749999999996,323.59749999999997,326.8325,326.92,228.1975,240.4475,338.57,308.51,210.625,250.775,222.77249999999998,209.405,224.0675,231.68,216.695,262.4375,234.04,278.3625,297.7025,312.905,310.1,312.5675,315.8425,318.0975,326.745,313.47,317.4575,333.185,335.2625,316.2,305.2175,343.6925,342.5425,333.7225,336.52500000000003,332.7825,L5
2006-07-11 22:10:34.443,401.90333333333336,351.274,331.658,326.448,329.908,328.97333333333336,227.654,240.12800000000001,337.39799999999997,309.79200000000003,211.122,251.738,223.696,210.416,224.78599999999997,233.628,222.37999999999997,264.884,242.378,282.91400000000004,301.97200000000004,320.424,317.988,321.046,321.36199999999997,323.134,330.394,316.32,319.808,334.57,337.92600000000004,318.976,313.092,350.392,351.418,333.7225,336.52500000000003,332.7825,L5
