dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026
2004-07-07 21:47:45+00:00,357.735,314.17,330.5933333333333,272.98,303.1066666666667,307.6466666666667,313.07,310.69,308.76666666666665,269.07499999999993,296.63999999999993,297.7033333333333,298.56,305.005,291.7175,279.70000000000005,275.47249999999997,275.79,276.2,267.0225,250.47999999999996,270.42333333333335,273.79999999999995,297.42,311.9925,284.5175,276.3275
2004-07-23 21:48:09+00:00,357.735,314.17,335.22249999999997,272.98,305.7075,307.9975,313.6975,312.6475,310.9,269.07499999999993,299.5525,300.08,303.024,311.0,301.46999999999997,285.776,280.062,280.105,278.93,271.764,250.47999999999996,275.9575,273.79999999999995,302.77200000000005,315.742,288.63199999999995,279.276
2004-07-30 21:54:28+00:00,357.735,286.125,320.98199999999997,272.695,294.088,295.906,303.976,312.6475,297.71999999999997,263.43333333333334,287.984,292.1,300.705,307.34166666666664,296.97499999999997,280.56,274.875,268.03000000000003,269.356,265.045,247.85666666666665,271.98,270.7133333333333,299.505,311.135,285.2133333333333,277.19166666666666
2004-09-16 21:55:41+00:00,347.58500000000004,255.315,307.996,260.7575,283.488,281.55,292.758,316.7633333333333,286.26800000000003,249.32333333333335,277.988,283.15999999999997,294.06166666666667,302.22166666666664,291.21666666666664,274.41333333333336,267.62666666666667,258.46999999999997,261.15400000000005,258.68333333333334,235.26999999999998,266.414,262.32666666666665,295.2633333333333,305.7033333333333,279.9683333333333,273.755
2004-09-25 21:49:43+00:00,347.58500000000004,257.48333333333335,301.00666666666666,265.194,278.0416666666667,275.17333333333335,287.71666666666664,316.7633333333333,280.2266666666667,250.695,272.9783333333333,277.59666666666664,290.8828571428571,299.21571428571434,287.2214285714286,271.65999999999997,264.9414285714286,252.54999999999998,255.95000000000005,254.71857142857144,236.415,263.72666666666663,263.44,292.4428571428571,301.29,277.83,271.1485714285714
2004-11-03 21:56:42+00:00,364.055,257.48333333333335,301.00666666666666,273.88,278.0416666666667,275.17333333333335,289.7242857142857,312.56,280.2266666666667,262.8325,272.9783333333333,277.59666666666664,295.90142857142854,304.2542857142857,292.6671428571429,276.24857142857144,269.5942857142857,253.39428571428567,256.8414285714286,259.81714285714287,244.635,269.06166666666667,270.59749999999997,296.40857142857146,304.28000000000003,281.1014285714286,273.2242857142857
2004-11-19 21:56:55+00:00,367.43666666666667,258.09000000000003,288.74666666666667,273.615,267.35833333333335,260.06166666666667,281.3285714285714,311.1066666666666,269.52000000000004,262.038,264.34499999999997,267.98,289.3128571428571,297.8371428571428,287.2957142857143,270.85285714285715,264.6942857142857,245.7342857142857,250.67285714285714,253.40714285714284,244.084,266.45714285714286,269.412,292.05285714285714,297.77285714285716,275.14,268.96999999999997
2005-01-15 21:51:45+00:00,365.27,258.622,276.73333333333335,279.30833333333334,254.66166666666672,247.795,273.17,309.235,258.455,259.885,253.5466666666667,257.39000000000004,283.3957142857143,292.1657142857143,280.06857142857143,263.4542857142857,258.68857142857144,237.23142857142855,242.5714285714286,245.58285714285716,242.54833333333332,261.1957142857143,268.8966666666667,287.29571428571427,290.3985714285714,269.9771428571429,264.6928571428571
2005-01-22 21:58:02+00:00,369.96999999999997,261.93666666666667,263.4866666666666,277.97571428571433,242.9433333333333,236.33833333333334,264.61857142857144,299.95,246.7166666666667,258.7857142857143,241.83500000000004,247.33,276.3985714285714,284.06142857142856,268.29285714285714,254.63142857142856,252.1,228.12714285714284,235.4042857142857,238.21142857142857,242.6585714285714,255.81142857142854,268.85,281.66714285714284,283.99142857142857,264.33142857142855,260.84142857142854
2005-02-23 21:58:31+00:00,369.96999999999997,262.70799999999997,263.38,278.9983333333334,242.01,234.098,270.5357142857143,304.26,247.06000000000003,259.89166666666665,241.86000000000004,244.76,274.28000000000003,289.5285714285714,274.12714285714287,260.1928571428571,258.1542857142857,229.52666666666664,236.12833333333333,244.8557142857143,242.66666666666666,260.54,273.4771428571429,285.48285714285714,288.1985714285714,267.5414285714286,262.95
2005-03-11 21:58:44+00:00,373.1033333333333,262.70799999999997,263.38,278.9983333333334,242.01,234.098,274.375,305.1133333333333,247.06000000000003,259.89166666666665,241.86000000000004,244.76,279.2628571428572,291.56375,276.3575,262.53,261.1625,229.52666666666664,241.59714285714287,248.26375000000002,247.54,263.395,275.51875,287.41375,290.415,269.38875,264.385
2005-06-08 21:53:09+00:00,378.77,268.0366666666667,267.07,273.66,242.47,239.53,276.4,307.69499999999994,247.0233333333333,250.86333333333334,242.01333333333332,245.5666666666667,279.7525,293.884,278.372,264.944,264.862,224.51999999999998,241.765,251.03400000000002,247.51999999999998,265.96000000000004,277.172,291.194,294.412,272.46799999999996,267.014
2005-07-17 21:59:35+00:00,388.77,269.93666666666667,273.5833333333333,277.60333333333335,250.01666666666665,249.4433333333333,280.172,307.69499999999994,254.51666666666665,256.1566666666667,246.64666666666668,253.09,282.36,295.44,281.7975,269.77200000000005,266.62,228.67,246.0225,252.86599999999999,252.6075,267.92600000000004,277.57,292.45,296.346,274.14799999999997,269.616
2005-07-26 21:53:30+00:00,395.02,265.65,275.56000000000006,294.5933333333333,253.42499999999998,269.3066666666667,291.454,309.09666666666664,258.34,258.14,250.96000000000004,271.20666666666665,292.975,305.21,289.7133333333333,282.72400000000005,270.2,228.345,256.5425,256.29999999999995,263.95,275.858,284.816,299.136,304.37399999999997,279.668,273.336
2005-11-22 22:00:23+00:00,386.13,272.40333333333336,274.63000000000005,294.5933333333333,250.34,269.3066666666667,283.16999999999996,311.9,254.73000000000002,256.95,248.39333333333335,271.20666666666665,287.58000000000004,297.64000000000004,260.17499999999995,280.44,250.07000000000002,229.1,246.745,238.65666666666667,255.31,264.6325,275.94,291.8575,296.3375,272.20000000000005,266.4125
2006-02-03 21:55:55+00:00,376.6,285.91,272.77,314.77,244.17,296.5,304.15,299.31,247.51,254.57,243.26,303.42,325.65,323.97,258.52,286.75,242.95,230.61,254.35000000000002,260.41,260.945,267.205,279.43,294.695,301.725,276.015,267.175
2006-02-19 21:56:15+00:00,365.9066666666667,271.605,264.765,314.77,236.20499999999998,296.5,304.15,299.31,240.985,248.51999999999998,236.035,303.42,293.155,297.82500000000005,253.85999999999999,260.365,235.39,217.57,254.35000000000002,260.41,260.945,260.18666666666667,274.0,287.45,293.35999999999996,268.27333333333337,261.86
2006-04-08 21:57:12+00:00,365.9066666666667,272.04,266.11999999999995,296.5,239.8233333333333,296.5,304.15,299.31,243.74333333333334,251.17999999999998,239.75333333333333,303.42,286.14000000000004,292.06666666666666,256.6933333333333,257.63666666666666,238.47,218.29333333333332,254.35000000000002,260.41,260.945,258.6225,272.5775,285.9425,290.5675,266.4075,261.625
2006-05-17 22:03:57+00:00,365.9066666666667,272.04,266.11999999999995,296.5,239.8233333333333,300.15,308.57,304.78,260.8725,263.365,254.04250000000002,299.98,292.09000000000003,298.105,256.6933333333333,265.9525,250.5675,218.29333333333332,262.8666666666667,268.4666666666667,269.25,264.906,278.56399999999996,290.54,295.114,270.986,264.914
2006-06-02 22:04:12+00:00,363.365,265.105,262.79499999999996,296.5,237.64999999999998,304.31333333333333,310.0333333333333,305.49,275.4625,275.34250000000003,267.0925,299.58666666666664,296.456,304.348,255.77999999999997,273.668,263.03749999999997,212.135,279.9266666666667,283.22,279.50666666666666,268.77,284.486,295.236,300.748,275.95,268.108
2006-08-21 22:05:19+00:00,,271.985,270.9,279.485,251.52999999999997,291.0833333333333,299.3333333333333,308.58000000000004,283.4225,281.4175,275.7275,286.8733333333333,295.33750000000003,303.8325,262.36,279.14,271.6175,228.505,270.4266666666667,271.09,270.47,268.16,284.2875,295.38750000000005,301.0825,276.6975,268.9
2006-12-11 22:06:52+00:00,391.84,291.635,272.97,298.44,274.59999999999997,274.53,285.5,296.3,278.87,270.335,265.83500000000004,269.61,287.24,285.71500000000003,249.59,255.95499999999998,251.265,228.715,230.19,231.395,234.93,239.51,250.655,285.16,293.71,268.49,265.71
2007-02-13 22:06:47+00:00,383.505,287.40000000000003,274.12,291.98,267.43333333333334,274.53,285.5,296.3,278.87,265.14,260.56333333333333,264.2366666666667,281.86333333333334,283.03333333333336,255.82999999999998,255.33666666666667,251.51666666666665,227.66666666666666,229.93999999999997,231.82333333333335,236.17333333333332,242.92666666666665,255.77666666666664,278.4,286.6,263.63,258.28499999999997
2007-09-18 21:58:42+00:00,,,,316.51,292.86,292.44,300.82,289.25,297.74,289.73,,291.63,,,,292.69,288.54,,,,,,298.8,310.82,318.52,290.85,280.96
2008-12-25 21:50:10+00:00,,283.22,281.9,281.65,252.14,251.6,265.22,,,254.67,243.31,246.76,268.4,277.93,260.09,244.23,248.53,225.92,225.72,235.7,239.53,251.85,271.06,282.35,277.67,256.59,255.49
2009-02-02 21:57:22+00:00,,283.22,299.28999999999996,294.455,270.635,271.03,283.58500000000004,303.76,301.93,271.875,264.06,264.63,284.78999999999996,294.515,275.68499999999995,262.29,263.06,225.92,250.72500000000002,256.595,258.715,268.8,285.05,297.19,295.62,274.58,266.97
2010-01-13 21:56:25+00:00,368.9,275.6,,277.98,254.01,249.53,259.58,,,255.47,246.48,248.03,271.38,278.08,270.72,252.49,255.82,227.74,235.9,241.53,244.08,257.85,271.71,284.22,282.56,260.31,253.02
2010-10-28 21:55:27+00:00,376.79,,316.5,310.67,290.71,285.84,298.03,294.74,302.05,291.65,,,305.01,308.48,302.56,287.83,282.33,,270.93,276.97,277.39,279.33,295.19,306.29,317.37,288.14,276.02
2010-12-31 21:55:32+00:00,379.90999999999997,279.13,316.5,292.425,266.84499999999997,285.84,278.355,294.74,302.05,271.78499999999997,242.35,246.0,288.815,295.6,302.56,267.89,264.84,226.63,252.36,256.985,258.4,265.14,281.405,292.64,299.35,273.43,265.24
2011-01-07 22:01:44+00:00,382.3833333333334,279.13,315.94,295.17,272.04333333333335,284.855,282.46999999999997,291.20500000000004,295.4,275.9033333333333,261.58,262.695,291.44,297.00333333333333,293.175,269.42,268.2633333333333,226.63,256.96999999999997,260.89000000000004,262.16,267.26,282.03,293.24,302.0566666666667,275.83,267.5733333333333
