dates,satname,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0023,nzd0055-0024,nzd0055-0025,nzd0055-0007,nzd0055-0008,nzd0055-0009,nzd0055-0010,nzd0055-0011,nzd0055-0012,nzd0055-0006,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0022,nzd0055-0021
2016-11-04 22:11:45.464000,L8,,,,354.85,355.91,353.38,,,,310.89,374.55,377.92,364.60,,,315.47,,,,,
2016-11-20 22:11:45.458000,L8,360.96,354.84,343.60,326.73,372.98,289.56,,,,367.32,383.78,383.17,376.09,,,334.11,,,,,
2017-01-30 22:17:38.957000,L8,410.73,400.10,383.30,365.28,403.67,395.13,,,,341.47,,,,,,353.47,,,,,
2017-02-24 22:11:18.074000,L8,369.01,354.96,344.52,323.25,370.30,369.82,360.06,360.72,,364.24,377.34,377.34,373.13,,,315.83,,,,361.26,354.96
2017-03-03 22:17:25.727000,L8,403.65,399.57,374.94,361.67,403.29,283.38,,280.79,334.61,338.48,392.16,,,,,340.30,,,,,
2017-03-19 22:17:15.956000,L8,,,,,,394.42,,,,335.15,318.11,317.02,260.00,,,345.65,,,,,
2017-03-28 22:11:00.765000,L8,357.09,350.75,335.79,319.22,359.90,358.76,,,,311.00,287.54,333.63,340.39,318.78,338.92,271.36,,,,,
2017-04-20 22:16:59.468000,L8,,,,,,,370.01,361.14,345.48,,,,,,,,,,,385.63,
2017-05-06 22:16:55.401000,L8,,,,,,,375.80,368.53,347.03,,,,,,,,,,,392.22,329.39
2017-07-02 22:11:12.012000,L8,355.46,378.42,339.78,329.54,381.31,395.83,,,,368.03,382.64,382.66,377.92,,,332.13,,,,,
2017-07-09 22:17:23.906000,L8,,,,,,,383.92,370.23,352.06,,,,,,,,,,,393.69,316.23
2017-07-25 22:17:30.862000,L8,405.16,411.68,375.82,363.45,407.81,,378.49,369.97,348.87,,,,,,,,,,,387.97,
2017-08-03 22:11:23.994000,L8,350.59,351.73,332.57,309.85,353.99,352.80,,,,,,,,,,,,,,,
2017-08-10 22:17:37.375000,L8,392.47,392.12,364.99,340.89,392.50,259.39,,,,329.93,297.68,355.25,351.39,358.60,359.09,278.24,354.39,306.89,260.90,,
2017-08-19 22:11:29.174000,L8,358.64,378.81,341.76,323.60,378.17,398.40,,,,368.22,382.91,382.67,376.79,,,332.26,,,,,
2017-09-04 22:11:31.619000,L8,359.52,363.44,340.44,327.57,377.99,385.98,359.32,355.60,,365.29,380.08,380.45,374.07,,,337.35,,,,411.80,
2017-09-27 22:17:48.664000,L8,275.39,346.77,396.19,324.69,,,354.14,,,,,,,,,,,,,369.48,
2017-11-30 22:17:44.511000,L8,,,,,,,386.41,370.56,347.58,,,,,,,,,,,371.21,
2018-01-10 22:11:30.163000,L8,371.23,364.23,341.36,324.53,372.16,395.35,,,,361.53,378.66,379.46,374.19,,,326.07,,,,,
2018-02-18 22:17:22.771000,L8,,,,,,,418.90,,,,,,,,,,,,,392.88,
2018-04-07 22:16:59.037000,L8,,,,,,,377.12,378.38,345.21,,,,,,,,,,,369.80,
2018-05-09 22:16:40.331000,L8,,,,,,,393.87,379.28,358.21,,,,,,,,,,,379.80,
2018-05-25 22:16:28.178000,L8,,,,,,,391.25,378.22,353.62,,,,,,,,,,,378.27,
2018-06-03 22:10:11.794000,L8,351.31,356.33,335.94,317.85,363.40,357.65,,,,312.26,300.37,343.34,349.62,364.47,,310.48,,,,,
2018-06-26 22:16:36.823000,L8,,,,,,,388.33,372.01,357.19,,,,,,,,,,,378.70,
2018-07-05 22:10:30.841000,L8,357.19,359.70,339.01,331.23,376.56,381.53,,,,367.00,382.15,383.83,375.05,,,332.28,,,,,
2018-08-06 22:10:46.333000,L8,359.87,373.61,364.43,329.37,380.45,394.25,,,,368.21,381.81,385.03,378.13,,,328.19,,,,,
2018-08-29 22:17:08.269000,L8,395.22,395.17,364.96,350.83,392.14,253.62,,,,,,347.94,344.95,351.54,360.05,273.80,,,,,
2018-09-07 22:11:00.442000,L8,361.40,381.69,362.72,320.61,379.60,389.50,,,,364.81,379.61,381.98,375.48,,,328.75,,,,,
2018-10-09 22:11:13.339000,L8,369.91,356.12,362.71,322.22,374.04,372.64,,,,365.44,378.34,381.36,375.62,,,332.02,,,,,
2018-11-01 22:17:30.804000,L8,,,,,406.03,344.90,,,,384.98,,,,,,356.48,,,,,
2018-11-17 22:17:31.986000,L8,,,,,,,334.53,353.14,300.95,,,,,,,,,,,328.35,
2018-12-19 22:17:28.292000,L8,,,,,,,382.41,368.75,348.72,,,,,,,,,,,371.05,
2019-01-04 22:17:27.803000,L8,,,,,405.62,405.17,369.39,359.29,,369.25,,,,,,360.17,,,,358.90,
2019-02-05 22:17:21.574000,L8,418.80,399.87,378.94,364.76,403.01,389.64,369.03,357.41,,341.00,363.45,,,,,356.37,,,,360.79,
2019-02-14 22:11:09.519000,L8,411.66,370.39,366.20,324.45,369.81,313.90,,,,363.67,379.84,381.14,375.95,,,332.19,,,,,
2019-03-02 22:11:05.349000,L8,367.99,360.94,361.60,322.84,373.48,384.38,,,,348.33,376.95,378.85,374.64,,,332.70,,,,,
2019-03-25 22:17:09.739000,L8,405.84,411.51,381.91,370.26,406.81,393.47,376.13,369.20,351.48,,,,,,,364.13,,,,364.96,
2019-04-26 22:16:59.330000,L8,,,,,,,371.86,364.06,345.74,,,,,,,,,,,364.49,
2019-06-06 22:11:11.322000,L8,322.16,340.10,283.21,308.90,320.94,,,,,,,,,,272.53,,326.78,306.47,,,
2019-06-22 22:11:17.033000,L8,,,,,179.65,229.52,,,,303.46,,,,,,303.46,,,,,
2019-07-08 22:11:20.766000,L8,396.64,395.49,383.59,347.20,387.36,393.21,,,,,,,,,,,,,,,
2019-07-24 22:11:25.033000,L8,338.15,396.04,370.31,324.68,382.29,380.13,,,,369.56,385.01,385.28,378.98,,,333.84,,,,,
2019-07-31 22:17:38.893000,L8,,,,,,,369.20,327.14,336.95,,,,,,,,,,,361.85,
2019-08-16 22:17:44.396000,L8,,312.34,288.00,259.28,291.14,257.49,,273.37,320.88,,,,,,,233.02,,,,,
2019-09-26 22:11:45.238000,L8,425.56,360.38,334.96,321.32,373.22,397.31,,,,371.96,386.33,386.52,379.15,,,335.94,,,,,
