dates,satname,nzd0360-0000,nzd0360-0020,nzd0360-0021,nzd0360-0022,nzd0360-0023,nzd0360-0024,nzd0360-0025,nzd0360-0026,nzd0360-0027,nzd0360-0028,nzd0360-0029,nzd0360-0030,nzd0360-0031,nzd0360-0032,nzd0360-0033,nzd0360-0034,nzd0360-0035,nzd0360-0036,nzd0360-0037,nzd0360-0038,nzd0360-0039,nzd0360-0040,nzd0360-0041,nzd0360-0042,nzd0360-0001,nzd0360-0002,nzd0360-0003,nzd0360-0014,nzd0360-0015,nzd0360-0016,nzd0360-0019,nzd0360-0043,nzd0360-0004,nzd0360-0005,nzd0360-0007,nzd0360-0008,nzd0360-0009,nzd0360-0011,nzd0360-0012,nzd0360-0013,nzd0360-0010,nzd0360-0044,nzd0360-0045,nzd0360-0018,nzd0360-0017,nzd0360-0006,nzd0360-0046,nzd0360-0054,nzd0360-0055,nzd0360-0056,nzd0360-0057,nzd0360-0058,nzd0360-0059,nzd0360-0047,nzd0360-0048,nzd0360-0049,nzd0360-0050,nzd0360-0051,nzd0360-0052,nzd0360-0053,nzd0360-0060,nzd0360-0061
2005-08-27 21:55:20.007000,L5,363.29,,359.80,363.86,358.97,375.06,401.13,413.77,406.04,401.77,402.49,390.42,389.40,370.05,364.65,370.39,357.69,342.91,334.98,340.46,345.31,346.37,338.97,317.69,414.19,396.94,369.31,,,,,,345.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-28 21:55:20.450000,L5,399.48,,360.72,365.77,360.74,376.45,400.99,409.84,407.19,402.09,402.69,388.35,379.89,373.91,367.21,374.13,361.82,345.61,337.40,347.37,351.45,347.23,340.49,320.34,409.64,380.81,339.56,,,,,,399.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-19 21:57:51.685000,L5,407.85,,339.68,340.06,344.56,355.41,371.14,382.05,389.13,388.99,395.18,381.99,372.28,360.34,358.91,363.52,350.17,340.81,329.54,337.18,339.51,331.52,322.25,,387.59,370.14,334.52,,,,,,376.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-27 22:00:00.431000,L5,339.10,,359.57,354.48,357.05,378.94,408.38,415.29,404.23,391.85,395.32,380.85,382.70,376.22,368.92,369.42,362.70,348.89,330.05,340.52,336.87,338.75,331.10,,406.75,399.67,357.48,,,,,,316.64,,,402.83,401.15,,,,402.48,,,,,,,,,,,,,,,,,,,,,
2006-09-15 22:01:03.273000,L5,377.00,,363.95,369.66,356.97,371.98,391.78,399.69,398.66,390.44,392.85,383.56,383.46,377.52,374.17,378.16,359.98,348.52,,,,,,,407.08,376.14,352.99,,,,,,376.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11-02 22:01:32.743000,L5,409.90,,368.61,371.01,369.69,381.39,393.53,397.65,397.86,393.59,396.08,380.73,374.31,378.55,375.68,383.11,367.57,352.66,339.62,349.79,338.95,331.07,327.08,,399.65,432.29,420.13,,,,,,407.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-05 22:02:04.371000,L5,420.42,,343.52,340.68,345.83,360.01,361.78,331.76,,,383.76,370.68,364.31,,,,,,,,,,,,384.10,371.02,352.09,,,,,,389.98,400.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01-21 22:02:09.591000,L5,420.67,,,,,,,,,,383.03,364.18,359.20,,,,,,,,,,,,387.01,380.08,351.76,,,,,,388.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02-06 22:02:11.997000,L5,415.71,,,,,,,,,,,,,,,,,,,,,,,,372.85,369.21,343.06,,,,,,354.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-25 21:57:37.029000,L5,400.98,,350.34,343.42,339.64,358.03,389.59,380.38,,,,,,,,,,,,,,,,,396.25,370.55,345.35,,,,,,387.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-25 21:51:46.135000,L5,,,350.29,351.71,352.38,370.45,392.56,387.22,395.27,397.93,396.57,377.03,376.15,362.10,347.18,353.68,353.42,343.20,337.14,333.56,335.72,327.17,322.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-29 21:58:05.346000,L5,,,344.50,347.16,345.75,363.34,392.51,328.99,337.89,386.05,392.25,376.58,365.52,360.30,350.18,356.56,353.39,345.35,325.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-12 21:57:13.086000,L5,,,,,464.24,456.71,451.00,442.96,438.06,436.89,445.26,435.32,424.92,423.36,423.26,422.36,401.16,381.23,382.37,383.59,388.35,370.39,367.19,358.49,,,,,,,,340.04,,,,,,,,,,329.60,331.04,,,,305.60,,,,,,,,,,,,,,,
2011-01-16 21:57:09.950000,L5,412.06,,355.97,359.12,357.55,369.26,398.41,391.01,396.70,392.07,394.93,376.01,368.16,359.30,356.95,366.68,359.77,347.06,,,,,,,391.23,369.97,352.61,,,,,,415.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
