dates,satname,nzd0005-0000,nzd0005-0001,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0005,nzd0005-0015,nzd0005-0016,nzd0005-0017,nzd0005-0029,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0009,nzd0005-0010,nzd0005-0011
2020-09-19 22:17:52.015000,L8,298.98,263.65,271.58,309.79,267.18,,,,273.65,275.06,279.21,282.89,272.77,266.34,263.70,268.68,269.84,267.83,251.98,245.63,245.04,235.83,232.40,242.46,247.19,223.12,251.12,260.10,273.11,297.51,291.45,261.68,193.74,193.71,208.76,231.04,266.71,272.77,263.46,,,
2021-01-25 22:17:44.203000,L8,,,,280.06,248.73,,,,,,,,,,,,,,,,235.59,230.22,224.67,237.29,242.82,218.96,250.32,261.16,274.33,286.51,287.74,,,,,,,,,,,
2021-03-14 22:17:26.977000,L8,,,,,,,,,,,,,,,,,,,,,,,221.65,236.03,241.33,217.86,251.44,258.65,225.02,262.53,,,,,,,,,,,,
2021-03-30 22:17:22.624000,L8,,,,,,,,,,,,,,,,,,,,,229.42,222.04,223.59,233.63,240.95,215.14,250.27,258.77,270.64,286.68,281.57,,,,,,,,,,,
2021-04-15 22:17:16.883000,L8,,,,265.74,248.01,,,,,,,,,,,,,,,,195.52,221.94,222.59,235.01,241.69,218.33,251.15,259.11,271.49,285.59,282.96,,,,,,,,,,,
2021-05-01 22:17:07.841000,L8,296.85,267.59,267.47,255.51,257.00,,,,214.13,289.98,285.98,284.03,278.04,271.08,280.24,280.52,266.20,267.86,251.02,239.28,242.66,238.24,230.82,239.68,245.64,223.56,254.67,262.96,278.63,288.59,291.99,259.63,,,192.01,226.15,263.88,260.38,259.55,,,
2021-05-17 22:17:12.707000,L8,,,264.96,272.31,251.34,,,,214.50,287.75,280.65,275.44,269.90,262.70,,,,,,204.66,241.91,236.13,231.36,242.06,246.00,222.63,256.64,261.09,283.85,288.63,289.11,258.01,,,176.63,,,260.46,256.89,,,
2021-10-24 22:18:01.850000,L8,,,,,,,,,210.57,270.18,284.72,279.94,269.53,265.13,257.58,,,205.68,252.85,249.60,246.77,238.08,227.09,238.60,244.71,212.43,247.44,254.51,276.50,292.82,285.77,,,,199.46,227.51,,,,,,
2021-11-09 22:17:58.951000,L8,,,267.01,277.78,248.65,,,,,258.92,283.17,274.78,267.24,261.78,,,,258.20,250.29,239.91,242.58,233.79,224.76,238.63,243.78,215.62,252.91,260.15,273.48,291.18,281.82,260.69,,,,222.56,,,258.80,,,
2021-12-19 22:17:52.616000,L9,,,,,,,,,,,,,,,,,,,,,193.21,234.49,228.63,238.99,249.00,220.59,254.75,264.40,277.58,293.03,288.50,,,,,,,,,,,
2022-01-04 22:17:52.138000,L9,,,,306.00,247.18,,,,,,,,,,,,,,,,232.97,227.44,224.94,235.48,244.86,218.14,251.61,261.94,275.83,292.10,285.68,,,,,,,,,,,
2022-01-12 22:17:49.562000,L8,258.62,266.58,268.22,312.01,265.00,302.56,293.35,282.92,298.27,291.04,287.86,284.08,274.41,270.93,276.32,273.54,281.03,273.22,262.87,249.96,247.77,239.11,234.36,244.00,251.90,223.06,259.25,270.32,280.64,297.56,294.75,260.58,282.17,289.25,295.06,230.36,264.21,260.25,260.64,,,
2022-01-20 22:17:51.591000,L9,,,,275.27,249.37,,,,,,,,,,,,,,,,239.85,234.95,228.99,238.36,246.71,221.35,255.31,265.37,278.17,291.47,285.98,,,,,,,,,,,
2022-02-13 22:17:40.833000,L8,,,,,,,,,215.45,256.99,267.17,280.07,272.93,267.43,264.83,254.27,265.18,264.45,253.18,211.27,242.29,233.00,229.34,239.02,246.45,219.99,256.58,263.06,282.15,292.58,291.84,,,,206.53,226.25,,,,,,
2022-05-04 22:17:26.026000,L8,,,258.85,255.66,248.47,,,,,251.14,277.49,259.02,268.15,262.97,,,,265.37,246.47,,240.36,231.11,231.25,234.69,244.36,220.34,251.88,257.30,280.32,281.53,276.57,,,,,,,,,,,
2022-05-12 22:17:13.223000,L9,,,264.02,251.92,252.65,,,,213.87,284.62,287.66,266.14,273.29,263.72,252.73,223.90,280.66,269.50,256.65,238.66,245.45,235.30,232.10,238.95,246.44,220.95,255.52,261.21,284.63,289.92,284.31,259.62,,,190.61,,263.64,256.42,255.10,,,
2022-06-05 22:17:39.656000,L8,297.69,,263.06,253.26,259.52,,,,,290.24,283.59,258.88,252.80,,,,,,,,187.92,232.42,227.42,234.87,242.50,221.03,254.62,260.89,282.08,288.05,287.63,255.77,,,,,,,,,,
2022-06-21 22:17:48.970000,L8,,,261.11,265.32,256.53,,,,212.71,261.46,283.98,265.56,270.25,267.09,,,,267.95,253.03,249.84,243.11,233.15,231.37,233.76,240.55,221.80,251.25,257.40,272.63,288.03,282.33,,,,,,,,,,,
2022-07-15 22:17:24.696000,L9,,,274.41,313.54,,,,,,,,265.38,268.93,266.25,270.33,272.56,275.96,271.67,254.18,231.64,,,,,184.36,228.45,259.48,265.39,285.91,291.59,295.69,258.58,,,,220.30,,,258.13,,,
2022-07-31 22:17:39.593000,L9,,,265.94,255.44,258.74,,,,,,,,262.96,263.70,256.98,262.24,265.97,266.39,252.44,238.96,241.97,234.05,230.75,239.33,244.85,222.95,253.04,261.46,276.78,288.51,285.71,,,,,227.60,,,,,,
