dates,satname,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033
2006-04-15 22:06:18.610000,L5,424.58,300.32,302.44,311.13,306.55,306.09,296.90,302.39,301.13,306.35,306.19,312.16,310.38,311.34,317.39,325.04,310.14,302.71,326.44,325.52,321.05,319.02,317.81,317.46,323.63,327.53,326.75,336.40,321.05,320.14,306.23,281.25,286.77,288.37
2006-06-25 22:13:31.961000,L5,376.42,366.70,305.49,328.24,275.76,279.90,287.88,284.21,283.94,285.87,273.18,275.89,285.33,312.46,322.62,321.79,304.96,303.38,326.55,325.72,320.41,328.68,328.31,342.53,339.92,346.22,325.92,330.69,325.59,340.42,314.12,326.69,380.16,347.50
2006-07-27 22:13:58.731000,L5,398.48,271.78,274.29,271.49,269.97,271.59,269.27,269.87,271.86,270.01,265.69,,,,,,,,,282.92,289.46,291.65,285.13,287.25,289.14,290.34,288.46,284.99,,,,,,
2006-08-05 22:07:55.109000,L5,,356.32,310.53,298.16,303.72,317.57,314.47,302.17,301.19,308.71,300.87,293.91,301.14,301.06,296.43,278.03,202.58,,,,,,,,,,,,,,,,,
2006-08-28 22:14:23.601000,L5,427.69,304.42,309.25,316.69,312.66,313.68,305.73,309.43,290.02,294.63,288.96,288.37,296.98,299.46,306.42,313.68,297.34,301.58,331.59,324.32,328.49,325.19,327.47,323.25,328.06,328.80,329.50,329.52,324.04,323.12,301.97,284.70,278.33,293.72
2006-09-13 22:14:35.259000,L5,393.85,264.51,259.63,256.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-08 22:08:40.914000,L5,427.37,300.51,300.88,305.45,304.11,297.88,289.93,293.08,294.42,296.69,292.78,294.29,298.80,304.06,313.06,324.46,310.18,309.68,328.73,329.20,322.96,323.92,321.36,320.10,325.14,324.85,325.76,319.49,318.26,318.96,301.37,287.48,283.73,296.40
2006-10-31 22:15:04.884000,L5,398.18,270.31,286.64,,,,,,,,,,,289.88,295.26,299.77,282.72,300.31,309.39,306.10,305.14,301.33,343.61,381.39,,,,,,,,,,
2006-11-25 22:09:07.763000,L5,410.70,281.90,288.75,289.93,292.23,291.77,283.43,285.59,288.39,290.96,301.02,304.40,310.28,312.81,320.11,326.34,314.02,309.07,329.63,325.11,318.52,312.67,310.84,311.56,315.01,316.70,323.23,315.38,316.30,313.59,299.59,280.44,276.77,286.87
2007-01-03 22:15:37.058000,L5,403.54,277.20,284.09,290.37,302.74,,,,,,,,,,,314.54,295.23,306.92,319.69,316.69,315.96,308.13,309.83,311.50,341.89,379.71,,,,,,,,
2008-11-14 21:57:52.281000,L5,405.69,292.77,299.41,306.66,304.54,305.07,299.13,292.75,302.65,307.96,307.46,311.39,315.89,316.41,327.34,330.92,308.37,307.91,327.03,326.32,320.38,316.96,313.84,318.96,319.15,322.28,330.57,322.53,317.68,307.19,295.26,301.37,289.19,396.72
2009-01-17 21:59:44.398000,L5,426.06,310.04,316.89,318.46,318.38,315.66,311.92,311.44,312.71,317.63,317.22,317.33,321.44,324.17,332.16,336.82,329.86,332.07,334.86,330.60,325.11,322.42,328.76,330.05,329.54,333.13,336.47,334.44,332.52,326.54,315.24,304.90,303.58,301.65
2010-02-05 22:05:29.575000,L5,,,,,,,,,,,260.52,262.69,270.31,272.33,282.74,286.36,255.97,217.79,289.34,287.37,284.14,,,,,,,,,,,,,
2010-12-22 22:04:29.137000,L5,403.16,304.72,311.37,320.17,320.00,320.13,315.24,303.99,306.58,316.81,316.99,318.85,319.80,319.86,327.92,330.51,310.74,311.85,335.49,325.89,325.27,325.07,321.21,323.52,326.31,326.37,334.50,329.13,329.08,320.52,308.39,295.58,294.18,297.85
