dates,satname,nzd0425-0000,nzd0425-0001,nzd0425-0002,nzd0425-0003,nzd0425-0004,nzd0425-0005,nzd0425-0006,nzd0425-0007,nzd0425-0008,nzd0425-0009,nzd0425-0010,nzd0425-0011,nzd0425-0012,nzd0425-0013,nzd0425-0014,nzd0425-0015,nzd0425-0016,nzd0425-0017,nzd0425-0018,nzd0425-0019,nzd0425-0020,nzd0425-0021,nzd0425-0022,nzd0425-0023,nzd0425-0025,nzd0425-0026,nzd0425-0024
2023-01-23 22:20:20.544000,L9,322.12,313.10,312.47,316.21,304.54,285.41,279.68,282.26,273.37,284.97,282.77,290.02,256.09,187.91,,,,,,,,,,,,,
2023-02-08 22:20:30.253000,L9,326.68,330.14,331.21,365.50,304.59,285.59,280.37,281.96,271.15,282.86,280.97,288.77,254.77,188.47,365.25,402.25,,,,,,,,,,,
2023-02-16 22:20:13.766000,L8,324.69,336.55,319.40,360.60,306.92,285.26,281.26,283.70,272.05,283.67,281.61,290.43,257.33,189.04,,,,,,,,,,,285.64,269.70,296.86
2023-02-24 22:20:15.533000,L9,323.33,318.10,309.59,315.37,303.98,285.72,281.25,281.30,271.74,281.62,281.79,288.53,255.75,188.83,,,,,,,,,,,,,
2023-03-12 22:20:08.489000,L9,325.59,319.08,315.46,314.33,303.96,284.28,280.36,279.68,270.91,277.65,278.61,334.92,289.09,201.48,,,,,,,,,,,,,
2023-03-28 22:19:57.226000,L9,331.71,316.97,316.83,317.68,305.36,285.05,281.08,284.06,271.49,282.25,281.28,288.93,254.84,190.63,,,,,,,,,,,,,
2023-04-05 22:19:40.549000,L8,328.83,337.22,337.91,356.67,352.57,356.13,319.19,360.22,374.20,365.02,372.69,378.91,398.14,395.61,406.55,402.44,388.63,390.43,376.59,,,,,,264.73,274.68,269.82
2023-04-13 22:19:50.783000,L9,302.10,285.88,285.40,290.93,276.22,258.61,252.77,252.30,236.83,247.51,235.47,206.84,,,,,,,,,,,,,,,
2023-05-23 22:19:17.699000,L8,311.62,303.75,298.10,300.78,282.67,268.65,257.67,257.68,247.73,237.75,241.71,252.11,,,,,,,,,,,,,,,
2023-06-08 22:19:24.116000,L8,306.55,292.11,290.31,296.37,277.82,264.08,256.58,252.34,239.76,211.80,223.65,,,,,,,,,,,,,,,,
2023-06-16 22:19:18.751000,L9,310.71,297.99,294.20,302.85,283.53,269.15,257.84,257.19,245.01,247.86,225.75,,,,,,,,,,,,,,,,
2023-07-26 22:19:47.089000,L8,306.23,291.87,289.30,296.03,275.98,262.65,255.59,249.92,240.77,233.93,221.99,,,,,,,,,,,,,,,,
2023-08-27 22:19:59.676000,L8,333.28,339.25,340.21,352.32,361.19,322.94,339.06,342.66,354.65,287.38,342.52,344.32,357.94,381.57,370.76,272.46,257.56,245.64,225.86,334.85,342.83,230.36,184.44,196.78,190.58,176.57,190.22
2023-09-12 22:20:01.977000,L8,330.22,319.41,344.87,350.86,361.70,368.89,367.79,372.97,331.87,385.66,342.87,372.45,381.11,384.08,380.88,370.69,366.61,372.96,382.50,386.93,,,388.62,357.50,311.65,293.93,327.32
2023-10-06 22:20:06.973000,L9,309.22,297.09,296.41,302.46,292.21,273.75,267.07,268.42,256.61,264.94,261.40,266.52,209.94,168.04,,,,,,,,,,,,,
2023-10-30 22:20:12.688000,L8,299.79,284.26,279.99,285.14,277.23,260.03,254.71,251.24,241.50,198.63,219.92,250.94,,,,,,,,,,,,,,,
2023-11-23 22:20:17.141000,L9,343.16,322.46,329.15,315.88,340.23,351.59,359.71,365.73,375.66,282.00,283.95,287.92,258.20,188.60,382.21,370.14,357.30,366.58,346.13,,,,,334.94,321.83,302.95,314.59
2023-12-09 22:20:14.489000,L9,341.31,335.30,335.93,352.48,344.18,345.30,351.23,363.11,370.44,370.77,370.46,373.95,386.70,396.89,387.27,364.69,371.66,372.29,368.99,,,385.12,385.73,356.02,308.05,296.67,291.14
2023-12-17 22:20:12.171000,L8,294.97,279.89,277.13,278.02,264.33,250.32,220.55,249.63,238.33,166.08,248.54,254.37,,,,,,,,,,,,,,,
2024-02-19 22:20:03.384000,L8,323.60,319.54,335.06,342.60,345.36,339.98,360.52,324.66,372.33,369.15,342.87,387.52,404.77,416.18,398.21,386.58,403.61,410.69,,,,,,336.43,309.50,288.62,315.14
2024-02-27 22:20:07.716000,L9,324.94,329.45,326.83,339.16,352.78,355.93,366.69,367.81,361.07,373.80,374.23,379.14,383.07,402.94,,400.74,407.18,376.41,,,,,352.73,333.56,309.44,261.59,315.24
2024-03-22 22:19:42.401000,L8,323.17,324.74,325.54,338.40,339.26,289.73,283.66,286.93,273.59,287.47,284.77,292.84,261.32,194.27,,,,,,,,,,,280.45,282.10,
2024-04-07 22:19:35.570000,L8,301.04,282.80,282.54,287.99,273.48,260.81,253.05,247.84,237.57,,,,,,,,,,,,,,,,,,
2024-06-10 22:19:04.365000,L8,310.91,300.31,297.23,299.84,282.92,269.48,259.81,256.06,247.26,253.66,228.57,253.10,,,,,,,,,,,,,,,
2024-07-04 22:19:15.863000,L9,311.95,297.95,295.86,297.36,281.47,267.16,259.36,256.79,243.58,255.13,224.33,218.75,,,,,,,,,,,,,,,
2024-07-12 22:19:24.745000,L8,307.08,294.07,292.45,294.59,277.43,266.58,255.32,253.32,241.50,248.25,215.05,,,,,,,,,,,,,,,,
2024-07-20 22:19:26.642000,L9,311.97,299.25,295.73,297.55,280.06,266.39,256.35,254.88,245.25,249.40,225.03,,,,,,,,,,,,,,,,
2024-08-13 22:19:38.484000,L8,302.78,290.07,288.00,289.29,275.34,260.03,253.80,251.66,238.53,250.76,213.10,,,,,,,,,,,,,,,,
2024-11-17 22:20:02.598000,L8,317.55,319.33,316.84,333.01,306.26,285.82,281.17,283.89,276.17,284.02,286.24,291.22,261.22,191.10,,,,,,,,,,,,,
2024-12-27 22:20:09.787000,L9,319.55,321.43,317.66,317.89,309.30,287.24,283.21,286.77,274.76,285.79,285.83,295.46,264.05,192.49,,,,,,,,,,,,,
