dates,satname,nzd0152-0000,nzd0152-0001,nzd0152-0002,nzd0152-0003,nzd0152-0004,nzd0152-0005,nzd0152-0006,nzd0152-0011,nzd0152-0012,nzd0152-0007,nzd0152-0008,nzd0152-0009,nzd0152-0010
2019-11-22 22:05:57.141000,L8,299.33,300.35,297.77,302.55,281.16,281.89,287.80,275.13,279.32,283.01,278.40,273.81,265.40
2019-11-22 22:06:21.092000,L8,300.01,300.86,297.00,302.09,279.60,281.59,286.69,274.04,276.79,280.27,276.62,272.67,264.03
2019-12-08 22:05:56.780000,L8,336.52,324.87,299.61,304.45,283.42,288.04,293.08,278.71,284.07,287.38,282.51,281.62,270.29
2019-12-08 22:06:20.730000,L8,298.51,300.48,297.38,301.16,279.36,281.89,289.51,275.19,279.25,282.74,276.99,274.15,265.79
2020-01-09 22:05:49.761000,L8,,,,,,,,268.68,272.63,,271.44,266.26,259.27
2020-01-09 22:06:13.711000,L8,,,,,,,,270.07,272.86,276.48,272.89,267.96,260.64
2020-01-25 22:05:45.614000,L8,321.57,324.59,295.72,297.83,280.57,284.69,291.47,277.19,281.27,286.29,281.49,278.35,267.86
2020-01-25 22:06:09.569000,L8,354.82,342.35,295.93,298.08,280.38,285.23,291.31,277.22,280.73,285.70,280.88,278.13,267.68
2020-02-10 22:05:40.938000,L8,348.92,345.76,296.80,298.19,281.99,287.27,292.29,277.50,282.91,287.96,283.22,279.34,268.94
2020-02-10 22:06:04.888000,L8,348.70,345.71,296.37,297.80,280.76,286.69,291.96,276.80,281.26,287.03,282.19,278.56,268.58
2020-02-26 22:05:36.872000,L8,290.68,289.12,290.65,294.64,276.74,280.55,,273.29,277.65,280.48,276.39,272.03,264.62
2020-03-13 22:05:30.251000,L8,300.63,295.46,290.76,292.45,281.88,286.44,291.27,,263.72,284.83,,,
2020-05-16 22:05:27.607000,L8,364.44,284.73,,,,,,,,,,,
2020-08-04 22:05:59.720000,L8,329.04,326.98,314.02,330.84,293.73,299.75,304.95,284.51,293.76,325.67,293.58,310.11,286.86
2020-08-20 22:05:42.019000,L8,,,,,,,,,263.45,,,,
