dates,nzd0327-0000,nzd0327-0001,nzd0327-0002,nzd0327-0003,nzd0327-0004,satname
2016-10-30 21:55:13.361,213.84099999999998,205.993,203.66374999999996,281.0016666666667,271.95846153846156,L8
2016-11-15 21:54:48.578,209.5611111111111,202.78222222222223,207.20888888888888,270.75636363636363,264.9216666666667,L8
2016-11-15 21:55:12.541,213.59700000000004,205.34700000000004,207.20888888888888,275.2008333333333,268.90846153846155,L8
2016-11-22 22:00:59.693,216.04181818181817,206.5409090909091,210.656,277.07153846153847,271.78714285714284,L8
2017-01-09 22:00:50.195,218.204,208.25,214.05888888888887,279.1741666666667,272.16749999999996,L8
2017-02-03 21:54:29.385,225.9988888888889,212.69555555555556,222.93875000000003,283.2681818181818,276.9309090909091,L8
2017-02-03 21:54:53.348,227.968,213.69400000000002,225.61,284.3975,279.93916666666667,L8
2017-02-10 22:00:36.499,229.0090909090909,214.15272727272725,228.748,291.0790909090909,287.17818181818177,L8
2017-03-30 22:00:14.213,238.01375000000002,219.85875,241.04571428571427,297.62625,295.131,L8
2017-04-15 22:00:06.096,233.3577777777778,216.77777777777777,234.535,294.1433333333333,292.76,L8
2017-04-24 21:53:49.213,229.04900000000004,214.698,231.45444444444445,291.831,291.34499999999997,L8
2017-05-01 21:59:55.729,225.7027272727273,212.32636363636365,227.208,289.65818181818184,296.8363636363636,L8
2017-06-11 21:54:09.489,218.785,208.49750000000003,224.35375,279.5111111111111,286.4122222222222,L8
2017-06-11 21:54:33.448,218.785,208.49750000000003,224.35375,277.258,282.762,L8
2017-07-04 22:00:26.578,218.785,208.49750000000003,224.35375,276.18454545454546,280.16545454545457,L8
2017-10-01 21:54:42.738,204.9975,199.4375,207.65250000000003,268.15714285714284,267.34714285714284,L8
2017-10-01 21:55:06.697,212.31000000000003,203.73399999999998,215.36600000000004,271.3325,272.64875,L8
2017-12-04 21:54:37.226,241.46500000000006,223.54,246.03500000000003,273.086,274.19,L8
2017-12-11 22:00:48.493,239.39666666666668,221.8025,239.67666666666665,284.7225,291.555,L8
2017-12-20 21:54:40.369,241.805,221.998,241.51999999999998,289.802,295.988,L8
2017-12-20 21:55:04.332,243.286,222.3083333333333,243.012,293.1983333333333,298.98833333333334,L8
2018-01-12 22:00:43.434,242.74333333333334,221.88857142857142,241.45666666666668,295.56333333333333,305.98333333333335,L8
2018-02-22 21:54:13.622,236.46571428571428,217.505,233.55714285714288,290.7657142857143,298.29285714285714,L8
2018-02-22 21:54:37.577,231.80375,214.11333333333334,227.78125,287.2075,292.605,L8
2018-03-10 21:54:04.984,228.97666666666666,213.129,225.38444444444445,285.8411111111111,291.29555555555555,L8
2018-03-10 21:54:28.942,226.683,212.31272727272727,223.44699999999997,284.726,290.206,L8
2018-03-26 21:53:57.680,225.24454545454546,211.7591666666667,222.35363636363635,284.3945454545455,289.4190909090909,L8
2018-03-26 21:54:21.634,226.87333333333333,212.48384615384614,223.2458333333333,285.87916666666666,291.46750000000003,L8
2018-04-11 21:53:49.309,223.955,210.94000000000003,218.68799999999996,282.93636363636364,286.2581818181818,L8
2018-04-18 21:59:55.573,223.955,210.94000000000003,218.68799999999996,281.11999999999995,283.43083333333334,L8
2018-05-29 21:53:41.312,221.3436363636364,208.86833333333334,215.89999999999998,279.8715384615385,282.15615384615387,L8
2018-06-14 21:53:21.713,217.88,204.3990909090909,212.10818181818178,279.24333333333334,280.2269230769231,L8
2018-06-14 21:53:45.680,218.99749999999997,205.4283333333333,212.21916666666664,280.61,281.85785714285714,L8
2018-06-21 21:59:37.175,212.973,201.85,205.06,274.13,275.3176923076923,L8
2018-07-16 21:53:39.240,209.96666666666664,198.398,200.26399999999998,272.3541666666667,272.66846153846154,L8
2018-07-16 21:54:03.204,209.96666666666664,197.14636363636365,198.9227272727273,271.25307692307695,271.87857142857143,L8
2018-08-01 21:53:46.752,212.15900000000002,199.3083333333333,201.5325,272.60857142857145,273.4566666666667,L8
2018-08-01 21:54:10.706,214.27272727272728,201.52384615384614,204.00615384615384,273.94,275.383125,L8
2018-08-24 22:00:09.684,219.685,205.39333333333335,209.12583333333336,277.2907142857143,280.106,L8
2018-10-20 21:54:20.636,225.46,205.57222222222222,211.64222222222222,279.4011111111111,283.651,L8
