dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049
2015-03-14 22:20:47.169000,L8,322.11,307.85,295.18,287.19,282.45,276.12,269.76,262.28,262.93,258.16,251.97,249.59,252.57,256.10,253.23,258.30,264.73,259.91,249.37,242.37,231.18,222.70,224.06,227.81,230.70,235.11,242.17,252.68,250.56,233.78,218.61,209.83,202.95,201.66,202.03,202.51,175.50,147.19,,,142.86,150.19,163.36,180.07,176.11,182.15,193.66,204.27,195.26,207.54
2015-08-21 22:20:33.210000,L8,231.25,212.60,208.56,199.91,189.77,237.74,233.35,192.53,190.32,191.04,182.10,195.52,175.67,178.07,174.09,185.66,202.70,208.42,189.38,179.88,188.08,138.35,140.11,169.31,176.86,180.47,171.89,210.01,215.71,206.05,,,,,,,,,,,,,,,,,,,,
2015-08-21 22:20:57.178000,L8,232.24,213.76,209.57,200.83,189.96,237.34,233.60,193.23,193.74,190.76,182.79,196.11,176.89,178.72,175.06,186.55,203.96,209.80,190.81,182.29,187.33,139.51,139.31,167.42,177.60,180.96,171.93,209.81,215.26,152.57,,,,,,,,,,,,,,,,,,,,
2016-03-16 22:20:36.438000,L8,345.77,346.21,338.49,335.85,323.50,311.54,277.43,268.07,268.75,265.95,273.47,296.08,307.33,304.04,306.03,304.13,307.20,298.59,284.10,277.43,276.83,276.14,272.39,267.97,268.57,261.65,263.74,284.71,280.67,274.02,267.68,253.95,243.79,239.22,237.12,240.72,218.30,190.82,162.20,175.21,181.99,190.03,195.10,194.42,203.01,215.25,228.76,234.25,217.01,223.14
2016-07-06 22:20:41.229000,L8,304.76,219.37,266.63,261.55,197.57,237.62,232.91,201.75,194.54,193.25,184.06,197.18,176.29,175.88,174.62,200.12,205.20,211.12,214.70,184.05,189.28,150.45,141.46,171.91,184.21,188.40,179.45,213.47,213.47,201.21,,,,,,,,,,,,,,,,,,,,
2016-07-06 22:21:05.197000,L8,306.56,278.92,274.74,269.78,250.55,245.94,240.93,225.30,201.93,219.09,191.55,209.90,182.62,184.09,193.31,208.53,213.69,224.54,221.93,190.96,195.38,170.91,151.00,176.44,192.78,198.73,192.50,219.97,218.66,208.85,,,,,,,,,,,,,,,,,165.72,176.80,164.86,169.24
2016-09-08 22:21:00.541000,L8,330.63,321.16,313.75,307.41,295.40,314.66,312.64,314.03,316.58,315.79,277.13,282.97,289.56,272.99,304.24,299.09,308.50,304.70,295.96,290.21,289.32,285.95,276.33,270.21,270.41,280.50,292.13,296.01,296.22,280.21,272.68,257.78,246.86,241.72,238.07,241.75,209.37,168.52,,150.24,196.31,204.45,200.44,199.50,206.97,218.70,239.90,242.31,223.48,242.16
2016-11-11 22:21:31.069000,L8,306.05,282.07,210.88,265.28,,,198.57,183.70,176.52,176.02,196.93,204.14,181.79,181.81,177.07,210.70,244.80,244.42,232.91,223.06,211.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-30 22:20:50.623000,L8,316.28,303.55,289.93,280.94,270.51,261.38,255.02,250.60,247.72,246.14,250.03,246.81,249.44,249.72,251.50,261.85,285.93,261.07,247.72,239.33,228.72,219.14,219.83,223.17,229.11,233.73,274.95,232.69,237.01,228.07,214.79,208.68,198.98,,,,,,,,,,,,156.92,166.26,181.32,192.20,185.40,206.04
2017-04-04 22:20:20.280000,L8,,,455.38,440.01,427.58,424.90,438.75,,,,520.78,479.25,422.81,416.05,432.00,445.14,445.03,426.98,399.02,368.14,459.71,,,331.35,417.66,475.64,338.89,375.18,455.86,508.57,,442.21,418.43,359.50,416.16,402.03,366.28,311.75,210.07,200.48,203.90,207.65,213.62,219.97,294.38,322.05,338.13,323.08,230.74,237.34
2017-04-04 22:20:44.243000,L8,,,460.02,442.38,429.74,425.38,436.87,,,,,483.75,424.43,417.73,433.81,446.57,447.01,430.09,401.77,369.64,452.56,,,331.89,401.14,476.73,365.54,373.99,452.87,506.55,,443.39,424.94,360.41,417.31,402.82,369.73,310.87,209.73,200.30,202.88,206.37,212.25,218.53,290.42,319.11,335.02,322.04,228.25,235.33
2017-04-20 22:20:11.117000,L8,304.71,280.19,273.31,263.89,257.15,244.85,237.41,213.91,232.03,231.99,230.13,231.98,191.95,216.07,196.82,213.17,236.51,231.08,225.58,216.21,200.39,173.01,167.20,192.13,191.51,205.99,203.67,214.53,216.61,211.68,194.66,183.80,183.45,182.16,176.38,,,,,,,,,,,,,,,
2017-05-06 22:20:07.089000,L8,302.52,263.20,269.72,258.71,249.22,233.53,230.57,201.35,199.59,194.20,185.93,208.40,174.78,177.13,175.39,189.00,206.22,204.49,187.80,179.63,187.82,143.24,139.43,172.40,178.96,185.79,176.96,210.41,210.09,206.42,,,,,,,,,,,,,,,,,,,,
