dates,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0011,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021,satname
2020-09-21 22:07:30.724,335.9866666666667,355.09125,376.30999999999995,361.73999999999995,305.36833333333334,295.42333333333335,177.69285714285715,201.3385714285714,159.626,213.3516666666667,174.79999999999998,186.78666666666666,304.625,285.63,284.745,183.95666666666668,196.73,197.69857142857146,213.66285714285712,278.19000000000005,340.45,324.84857142857146,L8
2020-09-21 22:07:54.687,340.64428571428573,354.36777777777775,375.97777777777776,361.73999999999995,310.85571428571427,295.42333333333335,176.39625,201.3385714285714,159.626,213.3516666666667,174.79999999999998,186.78666666666666,305.5466666666667,285.63,284.745,183.95666666666668,196.73,194.7825,210.2775,278.19000000000005,337.5875,326.555,L8
2020-10-23 22:07:33.943,341.1328571428571,351.2988888888889,375.40444444444444,359.382,316.95666666666665,295.8333333333333,177.20375,200.43285714285713,172.0716666666667,213.05,174.958,186.3,305.75333333333333,293.93,288.22,184.466,194.41,192.76625,197.53875,256.76666666666665,335.49,333.87624999999997,L8
2020-10-23 22:07:57.902,344.335,351.728,375.483,359.382,316.95666666666665,295.96571428571434,178.6688888888889,200.49249999999998,181.29999999999998,213.05,174.958,186.3,305.7925,293.93,288.22,184.466,194.41,192.01111111111112,197.09666666666666,253.86499999999998,334.15333333333336,333.87624999999997,L8
2021-02-12 22:07:19.216,371.234,351.96999999999997,374.842,354.455,353.33666666666664,294.46,179.50799999999998,199.015,246.9333333333333,,313.79,,305.18,345.83,289.58,329.87,243.10000000000002,179.72500000000002,209.592,280.33666666666664,333.712,341.60249999999996,L8
2021-02-12 22:07:43.180,373.65333333333336,356.1133333333333,375.95000000000005,362.6766666666667,349.71750000000003,294.46,179.50799999999998,199.015,253.79999999999998,,316.065,198.02,306.535,349.26,295.82,356.85,265.9766666666667,179.72500000000002,231.02666666666667,299.94,338.62333333333333,345.018,L8
2021-03-16 22:07:03.784,375.8357142857143,357.82142857142856,376.3885714285715,362.3625,354.608,294.46,180.8216666666667,208.92999999999998,257.448,,315.56333333333333,198.02,306.535,351.34999999999997,294.71999999999997,365.3933333333334,275.47,179.72500000000002,245.56571428571428,311.128,340.79285714285714,346.39166666666665,L8
2021-03-16 22:07:27.743,379.07624999999996,359.82624999999996,377.30875000000003,365.368,358.65166666666664,294.46,180.8216666666667,213.145,262.2183333333333,,318.005,198.02,306.535,355.375,297.6175,371.75,282.57800000000003,179.72500000000002,257.3825,319.36833333333334,343.46,348.12857142857143,L8
2021-04-17 22:06:54.118,380.90714285714284,363.42,378.2757142857143,364.0883333333333,366.866,292.38,186.67399999999998,227.248,257.97714285714284,247.44,289.254,192.97,306.084,337.70799999999997,297.6175,337.466,288.29,190.6833333333333,281.42,317.69,348.59714285714284,351.0783333333333,L8
2021-04-17 22:07:18.077,380.32124999999996,363.25375,378.255,363.44428571428574,367.9066666666667,291.902,186.87333333333333,249.46166666666667,255.12125,248.37000000000006,270.17,192.35333333333332,306.00166666666667,326.96,295.084,315.0833333333333,277.09333333333336,190.6833333333333,282.03375,316.83,349.0,350.3771428571428,L8
