dates,nzd0150-0000,nzd0150-0001,nzd0150-0002,nzd0150-0003,nzd0150-0004,nzd0150-0005,nzd0150-0006,nzd0150-0007,nzd0150-0008,nzd0150-0009,nzd0150-0010,nzd0150-0011,nzd0150-0015,nzd0150-0016,nzd0150-0017,nzd0150-0026,nzd0150-0027,nzd0150-0012,nzd0150-0013,nzd0150-0014,nzd0150-0018,nzd0150-0019,nzd0150-0023,nzd0150-0024,nzd0150-0025,nzd0150-0020,nzd0150-0021,nzd0150-0022,satname
2019-11-06 22:06:00+00:00,339.57250000000005,344.98,349.9,331.145,342.745,345.1550000000001,21.045,62.004999999999995,105.83500000000001,147.41,196.42000000000002,165.08499999999998,307.925,303.99,296.755,301.8933333333334,316.40250000000003,211.21,,328.53333333333336,316.66,308.79,307.71,287.5433333333333,286.36666666666673,299.015,280.4433333333333,272.64,L8
2019-11-22 22:05:57+00:00,339.57250000000005,344.98,349.9,331.145,342.745,345.1550000000001,20.463333333333335,58.28,99.53000000000002,145.63,192.96333333333334,160.83333333333334,307.925,303.99,296.755,301.8933333333334,322.37600000000003,211.21,,337.0375,323.4925,308.79,307.71,287.5433333333333,286.36666666666673,299.015,285.345,272.64,L8
2020-01-09 22:06:13+00:00,337.345,342.9,347.41499999999996,328.975,337.59000000000003,339.955,23.78,54.833333333333336,94.24666666666667,146.37,191.11333333333332,157.91666666666666,305.41999999999996,298.32,293.06,295.72666666666663,322.272,199.23,178.02,345.9875,322.1225,305.51,304.99,284.59999999999997,284.4166666666667,292.95500000000004,287.14,266.93499999999995,L8
2020-01-25 22:06:09+00:00,339.128,342.39000000000004,345.68666666666667,330.614,338.75,340.49,26.125,59.792500000000004,98.46000000000001,148.235,193.8475,169.555,304.09666666666664,298.51,291.8,295.84749999999997,320.34,205.875,178.02,339.346,318.15999999999997,304.93,302.49333333333334,286.42499999999995,282.65999999999997,292.5733333333333,286.96000000000004,268.46999999999997,L8
2020-02-10 22:06:04+00:00,341.43,342.39000000000004,345.415,335.67400000000004,340.0175,340.49,26.125,59.792500000000004,98.46000000000001,148.235,193.8475,169.555,303.72249999999997,299.2975,291.1425,295.768,319.0414285714286,205.875,178.02,334.85333333333335,315.38,304.845,301.4875,287.46,282.136,292.895,286.77333333333337,274.905,L8
2020-08-20 22:06:05+00:00,308.13,303.17,,310.36,321.27,326.74,,,,,,,,,,,,,,,,,,,,,,,L8
2020-12-26 22:05:56+00:00,308.13,303.17,,310.36,332.355,335.855,26.51,58.7,100.79,153.86,199.75,169.84,307.37,300.53,291.01,297.04,313.01,189.18,160.75,312.22,301.89,303.97,306.78,294.96,286.29,292.12,275.1,299.62,L8
2021-02-12 22:06:07+00:00,308.13,303.17,,310.36,332.355,335.855,26.51,58.7,100.79,154.04000000000002,199.51,188.69,306.8,301.025,290.77,297.275,313.28499999999997,193.94,167.22,312.505,302.73,305.23,305.68499999999995,294.69,285.12,292.9,279.74,304.59000000000003,L8
2021-04-01 22:05:48+00:00,303.51,,,305.24,331.345,334.96000000000004,26.51,58.7,100.79,154.04000000000002,199.51,188.69,306.8,301.025,290.77,297.275,313.28499999999997,193.94,167.22,312.505,302.73,305.23,305.68499999999995,294.69,285.12,292.9,279.74,304.59000000000003,L8
2021-05-03 22:05:08+00:00,303.51,347.98,,324.21000000000004,335.8833333333333,340.0,28.535,67.35,106.25,152.9,201.82333333333335,193.78,308.04333333333335,301.76,293.21999999999997,299.0233333333333,315.02,191.82000000000002,165.6,313.87000000000006,304.56333333333333,307.26,307.29999999999995,295.7733333333333,287.20666666666665,294.92333333333335,281.6333333333334,304.37666666666667,L8
