dates,nzd0420-0000,nzd0420-0001,nzd0420-0002,nzd0420-0003,nzd0420-0004,nzd0420-0005,nzd0420-0006,nzd0420-0007,nzd0420-0008,nzd0420-0009,nzd0420-0010,nzd0420-0011,nzd0420-0012
2020-03-13 22:07:30+00:00,302.146,285.19166666666666,268.7142857142857,278.36428571428576,237.17333333333332,236.27999999999997,237.844,278.808,304.61,308.495,297.9625,250.445,276.162
2020-05-07 22:13:12+00:00,307.3233333333333,295.28000000000003,277.02500000000003,281.74666666666667,243.57000000000002,233.504,237.844,285.20750000000004,307.46,308.255,297.14,244.69400000000002,256.744
2020-05-16 22:07:03+00:00,307.3233333333333,265.995,263.56666666666666,280.62,238.97000000000003,232.9675,235.6725,282.78333333333336,307.08666666666664,303.345,295.36,237.276,231.72000000000003
2020-06-01 22:07:08+00:00,307.3233333333333,265.995,263.56666666666666,280.62,243.23666666666668,226.91,235.6725,282.78333333333336,307.08666666666664,303.345,294.875,233.76999999999998,218.71
2020-06-08 22:13:23+00:00,307.495,255.93666666666664,258.12,279.1025,240.31800000000004,226.91,233.16333333333333,276.795,305.49,299.46333333333337,291.56166666666667,227.62333333333333,197.67833333333337
2020-07-10 22:13:39+00:00,307.495,240.75749999999996,258.12,280.408,248.37333333333333,227.4333333333333,233.16333333333333,277.0133333333333,305.49,299.92,292.76142857142855,227.8857142857143,197.67833333333337
2020-07-26 22:13:44+00:00,307.495,228.23599999999996,258.12,278.495,252.25,225.9742857142857,233.16333333333333,277.0133333333333,305.49,299.582,292.38625,227.19625,192.1614285714286
2020-08-04 22:07:35+00:00,307.495,219.51,251.63000000000002,277.7942857142857,253.26625,224.57,233.16333333333333,277.0133333333333,305.49,299.8433333333333,292.38625,226.70222222222222,188.175
2020-08-27 22:13:56+00:00,307.495,219.51,252.48833333333334,277.96714285714285,258.42375,224.85500000000002,232.58,272.81,303.43666666666667,299.9342857142857,291.96777777777777,226.837,187.04777777777778
2020-09-21 22:07:54+00:00,,202.952,238.596,277.21,265.6257142857143,221.33714285714285,218.66,266.89,297.11,298.40142857142854,290.4971428571429,222.13777777777779,173.72375
2021-02-19 22:13:51+00:00,312.1,293.185,257.43,279.35499999999996,258.18666666666667,235.1,263.42,261.61,303.53999999999996,299.67499999999995,300.825,237.13333333333335,248.86999999999998
