dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043,nzd0343-0013
2004-10-13 21:39:20.914000,L5,,,,,248.42,268.52,262.75,285.05,311.74,310.30,308.01,306.84,280.06,315.00,328.49,315.84,312.76,315.15,312.51,312.12,307.62,307.06,306.01,283.90,285.90,296.36,303.82,302.25,307.95,311.60,301.96,297.76,310.70,318.04,321.39,314.36,297.51,305.67,296.22,295.90,294.81,306.99,311.91,
2004-10-20 21:45:16.509000,L5,340.01,329.98,320.98,324.34,316.81,324.74,338.88,347.89,364.88,350.19,350.99,340.75,296.07,337.66,341.03,329.45,342.05,338.42,344.74,338.68,336.45,336.19,329.61,319.16,311.80,312.65,323.04,327.43,329.71,327.80,315.68,307.71,326.20,340.40,337.32,330.01,320.54,323.59,319.70,316.48,315.36,306.44,313.42,342.45
2004-11-30 21:40:15.914000,L5,,,,,,,,,,,,,,,,,,371.40,367.70,351.73,361.03,352.83,345.53,354.31,361.41,349.58,,,,,,,,,,,,,,,,,,
2004-12-16 21:40:34.991000,L5,322.60,308.23,305.47,300.63,298.68,303.84,318.37,311.16,350.18,336.21,345.44,343.44,298.77,336.88,337.67,332.32,321.34,323.27,324.48,324.49,319.32,316.46,318.72,318.12,305.59,309.19,320.47,329.80,325.21,323.39,314.19,307.82,313.35,321.15,324.55,313.92,305.97,307.26,306.05,301.36,300.25,311.45,316.07,339.18
2005-01-17 21:41:01.708000,L5,,,,,,,,,,,,,,,,,,367.20,364.74,363.57,368.56,349.57,358.31,353.31,340.03,328.27,344.69,362.81,359.59,,,,,,,,,,,342.46,335.88,330.63,334.84,
2005-02-09 21:47:07.285000,L5,363.88,353.78,342.39,337.45,329.41,330.17,337.31,352.29,379.95,378.18,374.52,361.29,352.68,363.37,369.62,358.33,351.14,346.61,342.75,327.16,330.31,332.07,328.64,329.60,324.04,328.83,346.49,358.79,355.78,359.16,338.19,335.13,341.68,358.50,344.61,326.92,313.73,311.52,311.18,313.09,303.94,311.68,326.15,368.13
2005-02-18 21:41:30.252000,L5,381.07,357.91,347.24,345.43,347.79,347.35,358.09,373.37,402.46,397.42,389.88,389.73,373.22,372.45,370.99,358.61,361.33,347.81,355.73,359.16,360.58,354.49,352.13,347.56,343.26,330.22,348.02,360.59,361.05,365.14,352.47,341.16,349.79,,,,348.54,338.43,335.28,328.18,329.71,328.03,335.27,370.13
2005-03-06 21:41:43.946000,L5,,,,,,,,,,,,305.90,280.78,326.16,331.59,319.69,316.34,320.20,326.60,322.54,322.60,321.14,323.85,307.60,308.49,308.19,322.92,312.97,324.63,325.45,,,,,,,,,,,,,,335.98
2005-03-13 21:47:59.531000,L5,293.95,298.50,271.81,281.71,252.30,273.02,,,,,,315.60,280.15,312.70,324.72,312.38,305.67,309.14,313.63,305.62,303.16,299.91,306.03,296.48,293.52,298.45,307.56,310.63,310.67,314.09,302.91,295.34,307.87,314.82,314.42,304.83,291.07,291.00,290.57,289.96,290.86,296.43,297.42,320.75
2005-04-30 21:48:14.979000,L5,,246.18,259.82,258.60,241.31,282.28,277.51,296.94,324.07,319.08,325.39,321.79,295.97,322.02,327.90,314.44,312.61,311.89,311.22,306.31,304.74,305.68,314.05,315.12,323.88,320.54,323.47,327.03,325.98,317.85,308.76,299.92,300.43,319.85,318.14,318.34,314.51,321.05,320.04,300.10,292.25,300.84,307.15,325.06
