dates,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
2005-07-12 21:42:35+00:00,331.63,,309.53,,310.845,316.205,330.26,335.094,361.745,350.33,355.97,340.28999999999996,303.806,345.58,350.38,346.5,337.21500000000003,328.62,332.3,328.28,,,320.11,326.12,327.4,,,,320.03,,,,,,,,,,,,,,,
2005-07-28 21:42:45+00:00,331.63,,310.81399999999996,,310.845,316.46,328.2625,334.3183333333333,361.0133333333333,350.27799999999996,355.97,340.28999999999996,304.0416666666667,348.485,350.38,346.5,337.21500000000003,328.62,332.3,328.28,,,320.11,326.12,328.8566666666666,,,,320.03,,,,,,,,,,,,,,,
2005-08-29 21:42:58+00:00,333.46333333333337,,310.4266666666667,,309.634,316.3016666666667,327.214,331.39142857142855,361.77750000000003,350.3966666666667,355.1066666666666,341.41,303.5357142857143,348.485,349.125,346.5,337.21500000000003,328.62,332.3,328.28,,,320.11,331.405,330.0875,327.71,,,320.03,,,,,,,,,,,,,,,
2005-11-17 21:43:19+00:00,333.46333333333337,,310.4266666666667,,309.634,316.3016666666667,331.09166666666664,328.91999999999996,361.77750000000003,350.3966666666667,355.1066666666666,341.41,299.5933333333333,348.485,349.125,346.5,339.1166666666667,330.7633333333333,332.3,328.28,,,320.11,331.405,330.0875,327.71,,,320.03,,,,,,,,,,,,,,,
2006-01-20 21:44:49+00:00,337.13,,312.21999999999997,,304.79,299.31333333333333,331.92333333333335,307.37333333333333,361.81000000000006,350.5300000000001,353.38,343.65,302.86,335.805,347.87,,342.92,335.05,273.59,298.46,288.23,,280.11,336.69,317.21,307.6,293.41,304.13,300.54,301.46,303.24,294.92,287.13,299.43,308.78,303.49,295.88,282.02,285.68,286.83,285.31,285.63,290.05,291.83
2006-01-27 21:51:10+00:00,337.13,,308.49,,304.79,284.63666666666666,336.75,289.0466666666667,364.07,350.99,353.38,324.90999999999997,300.5,321.54,347.87,,342.92,335.05,283.47,304.31,295.34000000000003,,282.415,318.22,302.41999999999996,299.21999999999997,293.84000000000003,304.945,301.44500000000005,302.06,305.41499999999996,297.925,291.955,299.43,308.78,310.565,295.88,286.17999999999995,289.41499999999996,288.63,288.865,285.63,290.05,295.605
2006-02-21 21:45:32+00:00,346.68,,308.49,,304.79,284.63666666666666,336.75,305.5675,364.07,350.99,353.38,324.90999999999997,310.395,321.54,347.87,,342.92,335.05,300.0466666666667,304.31,295.34000000000003,,282.415,318.22,302.41999999999996,299.21999999999997,293.84000000000003,304.945,301.44500000000005,302.06,305.41499999999996,297.925,291.955,299.43,308.78,310.565,295.88,286.17999999999995,289.41499999999996,288.63,288.865,285.63,290.05,295.605
2006-04-26 21:46:44+00:00,356.23,,,,,269.2,350.48,309.835,,,,306.17,319.47,321.54,,,342.92,335.05,300.0466666666667,304.31,295.34000000000003,,282.415,320.21000000000004,286.74,284.975,293.84000000000003,304.945,301.44500000000005,302.06,305.41499999999996,297.925,291.955,299.43,308.78,310.565,295.88,286.17999999999995,289.41499999999996,288.63,288.865,285.63,290.05,295.605
2006-06-13 21:47:25+00:00,356.23,,,,,282.41333333333336,310.48,310.678,348.46,334.82,346.33,321.53499999999997,308.81,328.07,339.67,342.43,340.14,,300.0466666666667,304.31,295.34000000000003,,298.71000000000004,323.50333333333333,297.86333333333334,292.6433333333334,293.84000000000003,304.945,301.44500000000005,302.06,305.41499999999996,297.925,291.955,299.43,308.78,310.565,295.88,286.17999999999995,289.41499999999996,288.63,288.865,285.63,290.05,295.605
2006-07-15 21:47:54+00:00,356.23,,,,312.23,282.41333333333336,324.46500000000003,315.6616666666667,353.265,334.82,346.33,321.53499999999997,307.9825,336.055,343.8,345.40999999999997,341.755,343.35,309.3025,315.3833333333333,307.6666666666667,329.97,305.46250000000003,326.6925,306.9125,303.07000000000005,293.84000000000003,304.945,312.4166666666667,311.40333333333336,305.41499999999996,297.925,291.955,299.43,308.78,310.565,295.88,286.17999999999995,289.41499999999996,288.63,288.865,285.63,290.05,295.605
2006-08-23 21:54:35+00:00,,,,,313.68,315.345,325.6466666666667,330.0675,353.265,340.315,347.485,336.9,301.02750000000003,350.57,343.8,345.40999999999997,341.755,343.35,333.875,336.07,330.6,332.495,331.2866666666667,336.5525,331.1933333333333,321.1650000000001,,,334.36,330.09,,,,,,,,,,,,,,
2006-09-17 21:48:42+00:00,329.69,,,,310.9666666666667,315.58666666666664,322.0625,327.742,353.265,341.48333333333335,347.10999999999996,340.275,299.242,347.4533333333334,343.8,345.40999999999997,341.2133333333333,336.385,333.875,336.07,330.6,332.495,331.2866666666667,336.5525,331.2375,321.1650000000001,,,334.36,330.09,,,,,,,,,,,,,,
2006-11-20 21:49:20+00:00,329.69,326.01,,315.5,312.3,316.9125,321.99,326.992,358.3433333333333,343.7525,349.4275,340.275,298.71999999999997,347.4533333333334,343.8,345.40999999999997,341.2133333333333,336.385,333.875,336.07,330.6,332.495,331.2866666666667,335.18,331.2375,321.1650000000001,,,334.36,330.09,,,,,,,,,,,,,,
2007-01-30 21:56:00+00:00,322.49,318.38,309.97,313.265,308.185,314.14250000000004,315.21,322.99,362.575,345.5575,349.77500000000003,344.98,300.5075,345.515,338.93,334.92,331.695,322.765,323.39,334.61,328.88,335.02,336.84,339.19,333.3966666666667,,,,,,,,,,,,,,,,,,,
2007-02-08 21:49:50+00:00,322.49,318.38,309.97,313.265,308.185,319.384,322.76599999999996,322.99,371.89000000000004,345.5575,353.944,344.98,306.496,345.515,338.93,334.92,331.695,322.765,323.39,334.61,328.88,335.02,336.84,339.19,333.3966666666667,,,,,,,,,,,,,,,,,,,
2013-06-07 22:02:40+00:00,303.0,,307.94,304.16,304.5,315.39,321.92,296.93,361.57,327.19,319.1,339.28,290.71,337.88,323.04,333.68,323.82,319.73,327.41,317.42,310.21,310.78,307.21,316.28,308.98,302.54,302.62,317.43,311.03,310.65,314.6,,,,,,,293.33,293.57,293.46,288.06,,,
2013-06-23 22:02:34+00:00,303.655,,308.405,309.11,310.675,322.205,321.92,296.93,361.57,327.19,319.1,339.28,292.095,337.88,323.04,337.305,326.325,321.995,327.025,325.01,314.92499999999995,316.335,312.78999999999996,322.145,312.45500000000004,306.82000000000005,304.8,314.19,313.565,314.105,314.98,,,,,,,294.71500000000003,294.9,293.46,288.06,,,
2013-07-25 22:03:01+00:00,303.34666666666664,,308.405,309.11,310.675,322.205,329.6,296.93,361.57,327.19,319.1,339.28,292.095,341.43,323.04,337.305,326.325,321.995,328.6366666666667,325.01,314.92499999999995,316.335,316.8533333333333,326.3933333333333,319.44,305.76,304.8,314.19,313.565,314.105,314.98,,,,,,,294.71500000000003,296.55,293.46,288.06,,,
2013-10-29 22:02:46+00:00,300.4525,289.18,292.37,301.73,295.95666666666665,307.2,309.4166666666667,293.235,341.075,321.69,318.12,329.245,292.70666666666665,331.8833333333334,320.72,334.00666666666666,322.93333333333334,316.98,323.1175,320.19,312.16,312.88,314.495,322.83,314.31,303.775,301.68666666666667,312.00666666666666,309.9266666666667,312.09666666666664,313.25666666666666,296.95,288.83,296.04,300.49,304.46,297.36,290.2966666666667,293.9925,290.42499999999995,287.345,286.51,293.3,
2013-11-14 22:02:21+00:00,298.38,287.77,283.4625,297.8175,289.505,300.205,299.58,292.45666666666665,337.5733333333333,320.46666666666664,318.4766666666667,326.1266666666666,291.9925,327.39750000000004,319.29,331.775,321.025,314.2575,320.04200000000003,317.8125,310.89,311.055,312.634,320.504,310.894,302.462,300.4325,310.8875,307.9175,311.8325,312.46000000000004,296.375,287.685,295.435,300.4,305.62,297.79,287.93,292.092,289.19,286.8666666666667,292.375,297.23,
